,0.0,0.025,0.05
0.9,-8.503859877604967e-31,-8.419663245153448e-33,-8.336300242726142e-35
0.925,-8.253762616560524e-37,-8.172042194614302e-39,-8.091130885756644e-41
0.9500000000000001,-8.011020678966954e-43,-7.93170364254151e-45,-7.853171923308396e-47
0.9750000000000001,-7.775417745849894e-49,-7.698433411732553e-51,-7.622211298745065e-53
1.0,-7.546743860143629e-55,-7.472023623904536e-57,-7.398043191984719e-59
1.0250000000000001,-7.324795239588807e-61,-7.252272514444303e-63,-7.1804678360833804e-65
1.0500000000000003,-7.109374095132006e-67,-7.038984252605945e-69,-6.9692913392137525e-71
1.0750000000000002,-6.900288454667041e-73,-6.831968766997057e-75,-6.764325511878269e-77
1.1,-6.697351991958642e-79,-6.631041576196624e-81,-6.5653876992045336e-83
1.1250000000000002,-6.500383860598516e-85,-6.436023624354943e-87,-6.372300618173174e-89
1.1500000000000004,-6.309208532844747e-91,-6.246741121628437e-93,-6.184892199632073e-95
1.1750000000000003,-6.123655643200032e-97,-6.063025389306956e-99,-6.002995434957353e-101
