,0.0,0.025,0.05
0.9,0.9911905611067072,0.9792384679502942,0.20476174570199518
0.925,0.9905921916771944,0.9782623867429449,0.10356210983603938
0.9500000000000001,0.9910871447605981,0.9732790577727503,0.09220887707785365
0.9750000000000001,0.9898910139265884,0.9681732564406031,0.07908490543570128
1.0,0.9891323595948048,0.9482953383631137,0.0744431393404398
1.0250000000000001,0.9892947985257017,0.28373645952421545,0.0666217017882306
1.0500000000000003,0.9873858026494005,0.09138757673145612,0.06262490024663793
1.0750000000000002,0.9881294807894693,0.07922764176250718,0.05867522392684674
1.1,0.9871100947502504,0.0727953450111273,0.05536577516010064
1.1250000000000002,0.9870905445082567,0.06876434283104513,0.054822979390352175
1.1500000000000004,0.9818770028057676,0.06357586943789623,0.05111883867938712
1.1750000000000003,0.9778401812047597,0.061971354827284206,0.05194164312595351
