,amplitude,c_-8,c_-7,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8
10,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
11,(-0.23760442329517711+0j),(-0.08113616435965326+0.011302995489300208j),(0.06392411148512087-0.0587377241153418j),(0.05247004866972528-0.12219201532422154j),(-0.03259476853873529-0.06174605357889343j),(0.007726566685890159-0.012433579105884395j),(0.035963494046248906-0.043674447347520864j),(0.00046751137718948515+0.020398756782026354j),(0.1747303305888161-0.21004312061769512j),(-0.06928890884142375+0.0617082790046563j),(0.04346122501967157-0.02732321288158828j),(0.1695200015249373-0.02878770638150635j),(0.014126952183792675+0.0022904866711942837j),(0.1121675904336461+0.046771626264739324j),(0.03223318878217592+0.07873121013525826j),(0.0005625334316993469+0.0541584169049381j),(0.11284885010997214-0.021793863050705124j),(-0.017395127730833508-0.011917983627660455j)
12,(-0.23760442329517711+0j),(-0.08113616435965326+0.011302995489300208j),(0.06392411148512087-0.0587377241153418j),(0.05247004866972528-0.12219201532422154j),(-0.03259476853873529-0.06174605357889343j),(0.007726566685890159-0.012433579105884395j),(0.035963494046248906-0.043674447347520864j),(0.00046751137718948515+0.020398756782026354j),(0.1747303305888161-0.21004312061769512j),(-0.06928890884142375+0.0617082790046563j),(0.04346122501967157-0.02732321288158828j),(0.1695200015249373-0.02878770638150635j),(0.014126952183792675+0.0022904866711942837j),(0.1121675904336461+0.046771626264739324j),(0.03223318878217592+0.07873121013525826j),(0.0005625334316993469+0.0541584169049381j),(0.11284885010997214-0.021793863050705124j),(-0.017395127730833508-0.011917983627660455j)
13,(0.0492147691895809+0j),(0.06192503447484274+0.034729682604873385j),(0.07514937347006846-0.04983697631403937j),(0.07006988088305002-0.10419327334841319j),(-0.031021185702057846-0.08717125625265487j),(-0.01601387601323+0.012234429334767077j),(0.01968028515096631+0.1095541150570541j),(-0.0006488917767219856+0.005688462967583085j),(0.17867869023681549-0.2240414621169204j),(0.007256675869360282+0.1385687164274065j),(0.0491999217667962-0.029913437680391352j),(0.1816008932742357-0.09815034643705718j),(-0.02807909384113671-0.013055528342392405j),(0.14054566715190592+0.08980453525482208j),(0.018084288706598155-0.05708910969339119j),(0.054303251530718646+0.10591898238999214j),(0.07583828996686406-0.04432892948315884j),(-0.025414386648106913+0.041111716035302975j)
14,(0.0492147691895809+0j),(0.06192503447484274+0.034729682604873385j),(0.07514937347006846-0.04983697631403937j),(0.07006988088305002-0.10419327334841319j),(-0.031021185702057846-0.08717125625265487j),(-0.01601387601323+0.012234429334767077j),(0.01968028515096631+0.1095541150570541j),(-0.0006488917767219856+0.005688462967583085j),(0.17867869023681549-0.2240414621169204j),(0.007256675869360282+0.1385687164274065j),(0.0491999217667962-0.029913437680391352j),(0.1816008932742357-0.09815034643705718j),(-0.02807909384113671-0.013055528342392405j),(0.14054566715190592+0.08980453525482208j),(0.018084288706598155-0.05708910969339119j),(0.054303251530718646+0.10591898238999214j),(0.07583828996686406-0.04432892948315884j),(-0.025414386648106913+0.041111716035302975j)
15,(0.0492147691895809+0j),(0.06192503447484274+0.034729682604873385j),(0.07514937347006846-0.04983697631403937j),(0.07006988088305002-0.10419327334841319j),(-0.031021185702057846-0.08717125625265487j),(-0.01601387601323+0.012234429334767077j),(0.01968028515096631+0.1095541150570541j),(-0.0006488917767219856+0.005688462967583085j),(0.17867869023681549-0.2240414621169204j),(0.007256675869360282+0.1385687164274065j),(0.0491999217667962-0.029913437680391352j),(0.1816008932742357-0.09815034643705718j),(-0.02807909384113671-0.013055528342392405j),(0.14054566715190592+0.08980453525482208j),(0.018084288706598155-0.05708910969339119j),(0.054303251530718646+0.10591898238999214j),(0.07583828996686406-0.04432892948315884j),(-0.025414386648106913+0.041111716035302975j)
16,(0.0492147691895809+0j),(0.06192503447484274+0.034729682604873385j),(0.07514937347006846-0.04983697631403937j),(0.07006988088305002-0.10419327334841319j),(-0.031021185702057846-0.08717125625265487j),(-0.01601387601323+0.012234429334767077j),(0.01968028515096631+0.1095541150570541j),(-0.0006488917767219856+0.005688462967583085j),(0.17867869023681549-0.2240414621169204j),(0.007256675869360282+0.1385687164274065j),(0.0491999217667962-0.029913437680391352j),(0.1816008932742357-0.09815034643705718j),(-0.02807909384113671-0.013055528342392405j),(0.14054566715190592+0.08980453525482208j),(0.018084288706598155-0.05708910969339119j),(0.054303251530718646+0.10591898238999214j),(0.07583828996686406-0.04432892948315884j),(-0.025414386648106913+0.041111716035302975j)
17,(0.6189164379527352+0j),(0.10723209774186286-0.01465799072500431j),(-0.043002554186002954+0.018796913984041073j),(-0.08444118280591413-0.02050213043338435j),(-0.007852400275465913-0.013595621422261017j),(0.07442186152802252+0.044335919169723736j),(-0.0334794760826335+0.09055160761528454j),(-0.10734762564821343-0.14293760352777787j),(0.21000669093013108-0.22247556800817656j),(-0.003234177209738123+0.16899070753722437j),(-0.020580472062724498-0.07008990876270488j),(0.2237123803387004-0.06552276520897489j),(-0.02690847998245842-0.020940302539948805j),(0.1427299031721834+0.020616005221980233j),(0.03035960155209015-0.03245322125980095j),(-0.03356070954254108-0.016102728944559205j),(0.06476639827331784+0.008860528074149592j),(0.07775223703941224+0.09303656908311417j)
18,(-0.1493291887788812+0j),(0.032496033831614216+0.027310367812255876j),(-0.04139345847920986+0.03469756982983365j),(-0.10356303861388988+0.030695468895373293j),(-0.0356675258066593+0.014337598314149711j),(0.07867597242468674+0.1111643395805649j),(0.02799026196307229+0.0740368917774668j),(-0.06677771419670962-0.04734635734859229j),(0.26341263271875787-0.2528887484434487j),(0.012417420349566104+0.15148572476693994j),(0.045831162769770756+0.06180666986298594j),(0.2299859915823074-0.12047082994069848j),(0.03662029660878249+0.008660494563524333j),(0.025761594171379062+0.05783039940130664j),(-0.07090169261927062+0.08479664985513538j),(0.019237304704130466+0.012315781778111016j),(0.035824157763557365+0.015664309697932755j),(-0.00714876998764195+0.048344861595659316j)
19,(-0.1493291887788812+0j),(0.032496033831614216+0.027310367812255876j),(-0.04139345847920986+0.03469756982983365j),(-0.10356303861388988+0.030695468895373293j),(-0.0356675258066593+0.014337598314149711j),(0.07867597242468674+0.1111643395805649j),(0.02799026196307229+0.0740368917774668j),(-0.06677771419670962-0.04734635734859229j),(0.26341263271875787-0.2528887484434487j),(0.012417420349566104+0.15148572476693994j),(0.045831162769770756+0.06180666986298594j),(0.2299859915823074-0.12047082994069848j),(0.03662029660878249+0.008660494563524333j),(0.025761594171379062+0.05783039940130664j),(-0.07090169261927062+0.08479664985513538j),(0.019237304704130466+0.012315781778111016j),(0.035824157763557365+0.015664309697932755j),(-0.00714876998764195+0.048344861595659316j)
