,amplitude,c_0
0,(0.16621769243127876+0j),(0.46980350247970737-0.9473058987586832j)
1,(-0.0455549308237006+0j),(-0.41302123803010204+0.16832293712168162j)
2,(0.08421065811262496+0j),(0.29833934562841713+1.240489691711335j)
3,(0.6218265541929014+0j),(-0.6914669557359323-0.721584729988396j)
4,(-0.1873768517232776+0j),(-0.6400613164388108+0.10559418148739896j)
5,(0.05195227159441919+0j),(0.08302457747067038+0.49350912515555045j)
6,(-0.04414591044662203+0j),(-0.8589659659847888-0.49543147683038j)
7,(-0.2585174699698701+0j),(1.1018428260956965-0.17615184541034157j)
8,(0.043812673703166036+0j),(0.8727392344266984+0.6828268872082337j)
9,(-0.11625691380085906+0j),(-0.10777142858029004-0.8083640424402639j)
10,(-0.1270590223241535+0j),(-0.21300167578624096+0.9069257775889763j)
11,(0.571733119317354+0j),(-0.9952215961877077-0.3421301827946418j)
12,(-0.47744351286075404+0j),(0.11865240405498323+0.9024104932093225j)
13,(0.2738341870582689+0j),(1.2928685456424418+0.5003885015428204j)
14,(-0.1636452533319251+0j),(0.6963415346096369-0.48243126780393386j)
15,(-0.28553382564582325+0j),(-0.47851375520972134+0.476056874697557j)
16,(0.622068437312961+0j),(-0.717261909859457-0.09571758902475774j)
17,(0.08176095430952357+0j),(0.7502082651842223-0.5242856328322277j)
18,(-0.0714590541290128+0j),(-0.17328239429237347+1.179655989318373j)
19,(0.31196253658616896+0j),(0.6856805079844779+0.6587756225300626j)
20,(-0.26982076002857247+0j),(-1.0573910013118186-0.2064130093320572j)
21,(0.015666274435745586+0j),(1.148499108046735+0.40378016475516393j)
22,(-0.28426466654224714+0j),(1.2240535773635473+0.03208254636316209j)
23,(0.1637391232621044+0j),(-0.841015760168118+0.07983511267138699j)
24,(0.09223959226677467+0j),(0.5631087998843084+0.6092917396822138j)
25,(-0.5698823342406035+0j),(0.2729703395115667-0.20551127452852946j)
26,(0.05960377806004563+0j),(-0.0376708345519203+0.9696942909165744j)
27,(-0.19231195085869424+0j),(-0.1853847689738306+1.2715287644992925j)
28,(-0.4934511419238864+0j),(0.41739797500102394-0.9812581627137609j)
29,(0.24715957637242725+0j),(0.5859434609235344+0.43267515775198373j)
30,(-0.026471125907104792+0j),(0.679837098045886-0.7529840121007102j)
31,(-0.2672900438969007+0j),(0.5219934055815058-0.6623798355767654j)
