,abs_amplitude,amplitude_squared,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3
0,0.5902255174320065,0.34836616142787974,0.39854562572849683,0.3442887218354026,0.3682635931170078,0.4767346118180794,0.620029237959511,0.20869767981749957,0.1633540389460069
1,0.9095555213138542,0.827291246352517,0.35466564562519964,0.2657201642344036,0.5355533381269676,0.14917085064857918,0.683581002681229,0.2195305293198393,0.19715604753338256
2,0.2871687003018266,0.08246586243304031,0.2066439368337369,0.5275420521285035,0.3247258396087944,0.6087123250625869,0.3321346402431589,0.2015034344351365,0.3948762833022557
3,0.31512404424317264,0.09930316326017302,0.23421343290456598,0.09194546510038615,0.508728783073299,0.5291713683159739,0.24684272701059853,0.18291812918286138,0.22758427114164068
4,0.15821058677016736,0.025030589766160655,0.1436082259472762,0.3213056679992879,0.4415220287890635,0.4871048083677958,0.2021739897609696,0.16843019920232455,0.13380993240566139
5,0.02794285965524248,0.0007808034057125778,0.16924030892608657,0.16021168448365286,0.3643629541558701,0.36545160861096093,0.4669859599433482,0.22142429710077155,0.10722789902294837
6,0.036754626795294926,0.0013509025908614118,0.3014795532026075,0.20945357464105038,0.6063459596059507,0.5798646452143187,0.5475215006434664,0.3373018872195471,0.24633745555948974
7,0.5783703453563704,0.3345122563876472,0.4685493606439399,0.15990339711208318,0.689368363181052,0.18514600530530154,0.4064611235512139,0.02783296529725482,0.1549868167484421
8,0.7143103867860385,0.51023932867042,0.3368336223035903,0.4759437946393308,0.7931167233141398,0.33364669502473504,0.679402955069038,0.14398537297689865,0.3880169050209258
9,0.04889706584109782,0.0023909230478686553,0.06243598305326797,0.6468643029198322,0.6411491275599058,0.3294867580800595,0.27287383101676477,0.36215708664380036,0.24198589659792338
10,0.570789474954646,0.3258006247190005,0.09692348122261663,0.15307776654684022,0.49520745603808314,0.5696844119136046,0.2064078018735618,0.4132761461145865,0.22193353125463733
11,0.3063622309973986,0.09385781658170343,0.2997048541121197,0.45370521118402485,0.4092798760396225,0.034824792112984226,0.2378006424686126,0.19068729337495832,0.12263792221351177
12,0.0963658705780196,0.009286381012259624,0.18917328933558358,0.21205458715788608,0.2501330969708884,0.3824118471792381,0.3983465836325464,0.17059487380897714,0.2661271912135431
13,0.242058675182889,0.05859240223129537,0.06793355314757547,0.11477267066500652,0.7064487511755432,0.13719834686007829,0.3294367060558205,0.4236074721823901,0.2651857564546424
14,0.057600144849083934,0.0033177766866354505,0.10798179266158674,0.3418720262001994,0.3716739551407651,0.3236433668502549,0.0982310353877829,0.0766132537356179,0.19899817630340497
15,0.33304334844335237,0.11091787194236022,0.1732333378541468,0.3092641589433417,0.1095504339948788,0.5766121812588743,0.4182634402619517,0.32815169270402134,0.2843173694514404
16,0.4172012690245416,0.17405689887568793,0.15905989712383006,0.19453375955799648,0.04757342576554268,0.8806103981988911,0.37743153938978863,0.36021644114019347,0.11075594367681801
17,0.4775723420739336,0.22807534191398227,0.13381629276772022,0.19140246566028332,0.1249387951468218,0.7790092037653676,0.097841364312201,0.5336773234011252,0.09480879753336095
18,0.3587897218193257,0.12873006448318913,0.07769272166020467,0.35671396983597836,0.1281417731877064,0.6787038122666224,0.4911280302782333,0.08442694878151409,0.12329782247281555
19,0.5973944087504408,0.35688007960628876,0.18870258797553155,0.22523638193576465,0.2844394362516414,0.7337309382512477,0.4267820597850002,0.28254350964192004,0.3125593592362628
20,0.023308871511878673,0.0005433034911572692,0.4016790733195649,0.08076069848434252,0.35514670382232116,0.49179947066721275,0.4219740722741223,0.3666423308371543,0.15622596514569764
21,0.26335667090661274,0.06935673611101392,0.043007127055890514,0.10274941600381175,0.27504010934885786,0.5346344061066514,0.8664214895979333,0.3248339340816384,0.03228331796703985
22,0.32291548133973536,0.10427440808887298,0.2149787627299592,0.3000663750992751,0.5746874108272672,0.21106934223188878,0.7265387959588834,0.2520552862644195,0.09868123239089811
23,0.5010537648093971,0.2510548752296706,0.1621591567868619,0.33652227244583144,0.22887574294866272,0.6487303540125696,0.36233302793149996,0.2844211066324802,0.19651243511482
24,0.04106944571496268,0.0016866993713342666,0.17512482431323603,0.13917201014892586,0.19860820156490205,0.8618581879374664,0.38281612077151744,0.22634621776811334,0.10948567023426095
