,ampiltude,real_c_-1,real_c_0,real_c_1,img_c_-1,img_c_0,img_c_1
0,-0.4413067180880855,0.1098039106224396,-0.808152271649835,-0.04354533859778784,0.2598066671650109,0.12973569985912284,-0.03320013364021068
1,0.1324963646090408,0.05208420204402035,-0.8125041366239393,0.06529042143519606,-0.06735105188460067,0.040690651054959226,0.13705523353178742
2,0.252614633488442,0.17648892548057388,-0.9246874882308266,-0.1188937250590939,-0.16672755089351013,0.21450459754332862,0.07141138140383299
3,-0.28887371723856653,-0.18994964528409108,-0.5876419022281382,0.5416112284177799,-0.20564350401892517,0.2322203722000697,-0.33305525092256705
4,-0.12102932688138662,-0.3157910533376756,-0.6689584284661321,-0.18420595896705194,-0.11347109230492243,0.4696452187780081,-0.13182761171533003
5,-0.2770837944389938,0.12554969040448724,-0.4477647764514452,-0.22172800983088392,-0.5283791974761655,0.49034044914795305,0.1837995010920092
6,0.4851921354168004,0.4854117743877704,-0.31316313583149685,0.11762880415464506,-0.3367888301599986,0.5789186399708361,0.4024349768059942
7,0.5017256634855618,0.30525874765177097,0.6764002429294836,-0.4062808977360553,0.07471860693115723,0.6705112175530655,-0.40557176936670747
8,-0.04495896941939341,0.0678519066074195,1.0298064498189368,0.01784978829598069,0.1131134116744078,0.1411421838728996,-0.16497755327388663
9,0.6023718903250619,-0.03705869952832659,-0.02570150958392406,-0.22141910161571768,-0.04338199801306403,-0.501570657815592,0.5098342012284894
10,-0.26644600716941247,0.0543060230839483,0.7980443684026874,-0.04308895340588763,-0.05784699079874031,-0.5098290798624029,0.05735612220205569
11,0.6305593487599152,0.17851985562072173,0.47826119799288935,-0.2732775148626422,-0.014213580128003347,-0.2329260685829819,0.015817614002593988
12,-0.2966633775362763,0.3343479671164402,0.6205265909539823,-0.4030449097364165,0.034042187717082006,0.24360078183777403,0.10734016563589666
13,-0.4946076350170431,-0.06951733449554642,-0.056512576593500286,-0.18987744108679008,0.3333462765665252,-0.8501573100128454,-0.012135744496985013
14,0.12029699207675204,-0.09495962075841399,-0.20061663464311316,0.1384330282022371,0.4547084488323554,-0.14138652863151518,-0.24124783621631346
15,-0.1512759793287839,-0.3253677873512498,0.4525940349045088,0.060836694543101366,0.10271370266221588,-0.6962435971938541,-0.44607747989590363
16,0.2636330184826188,-0.48505291305921716,0.5334436840671505,0.10149587733622498,0.02288818959672624,-0.5066441917264661,-0.2568897634843613
17,0.16440583635509168,0.1189449447257283,-0.1391036107888442,0.2153354578019202,-0.2729113991355402,-0.9249179154355595,0.012092391581973203
18,0.8078839081977671,-0.051307768971282974,0.1406156314417112,-0.4295651772236322,0.042030886982367524,-0.8697534653057707,-0.03547122793390925
