,abs_amplitude,amplitude_squared,abs_c_-5,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4,abs_c_5
0,0.09965129287930796,0.009930380172517614,0.0704687453865744,0.09342495962911207,0.38627720845165175,0.4621208767728062,0.48781091789983017,0.41791441150033176,0.17233163745019367,0.03404070877571957,0.0610910520149701,0.12212171633892328,0.126461327745823
1,0.08911349340109477,0.00794121470614696,0.06136419731514526,0.2452510353172055,0.5324321552502358,0.3549334312918493,0.3820709268164591,0.26026260705510645,0.2644128800585734,0.12547611581288312,0.06862181052307136,0.12115681308230088,0.2781844439498245
2,0.05860785405359048,0.003434880556766962,0.12671877032166312,0.18082793544487027,0.5349414892971529,0.5929331018400946,0.5120235359879708,0.23305389790425463,0.3199501241790363,0.294695337574509,0.2089548145595622,0.09514819651234475,0.16251611105034836
3,0.2911589505423337,0.08477353448091313,0.09665625842923493,0.044003119718115206,0.4754096882626686,0.4902835646832219,0.540689018494373,0.22208060906077262,0.3143092681092459,0.3053144437873453,0.15911526070611273,0.10965868493393043,0.035828327933420924
4,0.8591292369755962,0.7381030458262701,0.15060046504026162,0.16628427940694565,0.588884595248929,0.43482896726647924,0.4735017340508625,0.10618589274105326,0.28235363970238186,0.2869588603621806,0.2706844571073465,0.11392136460214493,0.07170214748731134
5,0.5008511983418489,0.25085192288046604,0.1272583448482317,0.26463663488510175,0.6538006667133798,0.45825864411628914,0.47099221922196516,0.1292866907043885,0.38586850701701797,0.29476996292693824,0.05635399921547639,0.18356114481377694,0.14738544886726604
6,0.5008511983418489,0.25085192288046604,0.15316568930195498,0.25260828393437346,0.5399290135236591,0.28593326774926064,0.48736775814900846,0.1910796118252672,0.38370104294654117,0.3265048808916701,0.19661468334068974,0.17206535702026787,0.19135435501244383
7,0.6975524634048502,0.4865794392021749,0.040876699741695784,0.38919000150456623,0.4823049872762182,0.36094720398592184,0.564478557697261,0.2628986523132889,0.2872050795864285,0.33067922566838304,0.16566041340760923,0.2261687774998291,0.137004297853812
8,0.5536577752173515,0.3065369320586273,0.17987029632432794,0.3370199115655288,0.3158165148323279,0.3297013306509695,0.5757019044650695,0.1528167993539143,0.3625184336636897,0.2877502581430053,0.09173015111050187,0.0495961829753827,0.05884411395346961
9,0.5536577752173515,0.3065369320586273,0.17313848050418357,0.32022117510810066,0.22515238453185335,0.3175337782326634,0.5404223047929907,0.20309319265476758,0.2895679884901457,0.24000349126931642,0.06384525679329721,0.10426064239141793,0.11028825738156808
