,abs_amplitude,amplitude_squared,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4
0,0.7743434685538653,0.5996078072920309,0.17389808426065617,0.21129900304933702,0.07651842874050292,0.31557922285394324,0.11749489164642835,0.4564095264649586,0.45944037413364447,0.3211490513208012,0.19575811744932956
1,0.3053988821140494,0.09326847719651106,0.11914263509259818,0.16260836743279528,0.1381952505287801,0.4307626875837115,0.34627135784853025,0.7017327594071222,0.4385283162503031,0.0821104228336567,0.08055590072806271
2,0.31697221356572725,0.100471384172757,0.07550586622113704,0.22526785448494985,0.11582721780675026,0.31444716362086506,0.28126952475091316,0.8542379704179841,0.14672494808879855,0.13637115154193463,0.032499452475002355
3,0.40400871081306133,0.1632230384128318,0.22523791099608595,0.08082838920706756,0.4050106110764137,0.30576309042352035,0.3775059214057714,0.49379910999040955,0.3447361289290969,0.25515139998884284,0.18819587150691605
4,0.5882116666347383,0.34599296476521657,0.16206488656186516,0.17205632147969807,0.6623395337155362,0.21536182648033536,0.2141394440947245,0.2784112883934342,0.32839409612957704,0.2887709965617528,0.15187643241045756
5,0.3148736479159758,0.09914541415191387,0.16192173412694424,0.24323181280683978,0.3923062604556624,0.19451601916826727,0.16221585779853287,0.563023140935327,0.2171119664895534,0.3386692716761885,0.11397028907006239
6,0.1358112301099219,0.018444690223970158,0.08390943667488933,0.22682419293643177,0.14590687251568268,0.3494021920598544,0.3320762673015345,0.5757965231685646,0.18191171326408145,0.018403686453508792,0.07036426800383802
7,0.1825467049531102,0.03332329948923787,0.09529670844014973,0.1983984000449626,0.1682467104637842,0.33169163583407235,0.5173238798403528,0.5889476886727602,0.1991494262784755,0.06684196427603822,0.12192965836195134
8,0.19086301370096295,0.03642868999901397,0.1409415665391657,0.23967616347748674,0.17831342786607784,0.6420095874888048,0.4476769051885789,0.5129993581370033,0.11292058503075375,0.059112116486821575,0.1331888892188973
9,0.12887981924186756,0.016610007807816456,0.0807043461239531,0.2921268228988684,0.3551975208568205,0.5726343893365897,0.23974931162230892,0.598627573104164,0.3225838682859029,0.21014231041073622,0.21603351512503594
10,0.12887981924186756,0.016610007807816456,0.06154613002495643,0.12977129409162869,0.36660516061026627,0.6450427319534323,0.13777871226853733,0.5938999871312841,0.3208426403120125,0.20446549090648686,0.03095750785409595
11,0.36045061343135093,0.1299246447230372,0.12648021579671312,0.054685844717088185,0.10145533509004949,0.612493712759599,0.2985711252755058,0.3778416782658295,0.3049957352031288,0.08211863928925857,0.15422418945299282
