,abs_amplitude,amplitude_squared,abs_c_-1,abs_c_0,abs_c_1
228,0.6494312926727792,0.421761003902637,0.24885003109651124,0.902658996009031,0.25107003202972783
229,0.4165217447071335,0.17349036381387448,0.3729314183115913,0.858698790795793,0.4476966773817477
230,0.13023593301595326,0.016961398248535865,0.07971029835934697,1.0924727037492068,0.19286094207276103
231,0.06123785916769145,0.003750075395442012,0.25439687153542584,0.9324597105730631,0.19322189578548027
232,0.09804046156549084,0.009611932103974487,0.4003535125763205,0.9505932816161301,0.4107825119113925
233,0.5307103483517761,0.28165347384766354,0.23937952076990962,0.7276749629815785,0.08992576141867466
234,0.4681368956946574,0.21915215311063052,0.047896181902417866,0.9004545746288064,0.10669803801490818
235,0.3969063010796896,0.1575346118367612,0.34288451937988473,0.9846940511683692,0.36680764050530656
236,0.09431059654193186,0.008894488620095049,0.2842180310754706,0.49387870394448347,0.3197054604823723
237,0.24455410279538653,0.05980670919405648,0.9130652344703962,0.267142070865058,0.5703370776458978
238,0.36366867716038004,0.13225490674758072,0.9768794530419421,0.18526105728536146,0.1256175628750445
239,0.6836827034538036,0.4674220390019015,0.2471181753636473,0.8866606588447382,0.2832995869644531
240,0.1578770501505748,0.02492516296424711,0.13319030785304162,0.9394516893823093,0.1917373229153582
241,0.34514064787000726,0.11912206681212835,0.22750156132948562,0.8566605077750603,0.1442370462875507
242,0.40402314219985025,0.16323469943304042,0.451044892193162,0.9031845846777078,0.1013591835446445
243,0.40110952789383075,0.1608888533672118,0.23705351205694103,0.8000263018017615,0.16072762612648234
244,0.4192684924895024,0.1757860687944199,0.4441034508230617,0.6481348593301823,0.4613112421037877
245,0.02042183108000825,0.00041705118466039097,0.18723556816333595,1.2199631064257126,0.07450901005470113
246,0.0826017083782643,0.006823042227007819,0.5674573170980336,0.4563680802823366,0.3987576530979801
247,0.1785195558987396,0.03186923183828322,0.4382781004597016,1.043336567123129,0.500899019476864
248,0.16863157383516492,0.028436607694124677,0.5147102497371876,0.6586079295890396,0.43671581358051315
249,0.1555195302617619,0.024186324292839078,0.09392458173751625,0.5361284415123191,0.4390202731834233
250,0.7052464611024045,0.4973725708974654,0.06304821661503894,0.4475122896332842,0.7966791524881844
251,0.10170574490297427,0.010344058546268875,0.5981666337309792,0.4823935319499587,0.5652749545681269
252,0.006996071761996292,4.89450200990019e-05,0.1799241459310218,0.6086499521023243,0.5603914861893211
253,0.0712219740980339,0.0050725695944210105,0.40074567281973805,0.2581285418869402,0.7400303466313101
254,0.023383577889515894,0.0005467917149150565,0.18317182935499515,0.9082210130297947,0.16617675890899342
255,0.5323146722934311,0.28335891033886296,0.14797495640583977,0.9294857254998581,0.17992852572078566
256,0.14041754692008918,0.019717087483055444,0.2297957970916819,1.0866472387280046,0.2579232728305237
257,0.25963077638795856,0.06740814004781415,0.18545926954839828,0.8347960631324056,0.44623078825267265
258,0.38572548708641397,0.14878415138805132,0.5187138492894623,0.6601629044345081,0.5241898598083979
259,0.4688851248997366,0.2198532603522416,0.5430609138768369,0.6058738867047113,0.4268140974827603
260,0.11123630657556483,0.012373515900573047,0.5304850398901569,0.4981924138981072,0.41767512778150795
261,0.36277209652612485,0.13160359401796004,0.3580044860321674,0.8966206435026438,0.1162873593224456
262,0.04116288410526892,0.001694383027863801,0.5106796164318779,0.559167408588901,0.5302690499916406
263,0.3005763076365421,0.09034611671241718,0.7725135355221878,0.0722025988319854,0.10783332576134544
264,0.023453419828851463,0.0005500629016683629,0.11258786375777897,0.3551927224732774,0.6624194245561724
265,0.4606819196452254,0.21222783108800994,0.3585109238639385,0.8401684793660198,0.4470049169306315
266,0.5114593018287912,0.2615906174271945,0.3528647084200143,0.849892583268971,0.7469266483836685
267,0.20211629031428735,0.04085099481040929,0.3605499995238953,0.5300112080971789,0.2588532323362823
268,0.014936542175050443,0.00022310029214706064,0.1729458004819807,0.08626176738415745,1.0786039577845115
269,0.4056158765836884,0.16452423933675395,0.15030401114138914,1.0761747661230723,0.029952739377945042
270,0.0058842836120550635,3.462479362709979e-05,0.34613951621401984,0.9114123807635529,0.19136618273779893
271,0.8300324629230015,0.6889538895060239,0.38041982050444006,0.7133614307763013,0.44929991512880624
272,0.5651688146395455,0.31941578904106893,0.40630631275061596,0.9451366495204008,0.624273147451431
273,0.06400562092438461,0.004096719509916021,0.24739128464500804,0.7142945820716137,0.36027588842330927
274,0.5155855042900492,0.26582841223402437,0.2901918864961125,0.6885723247910698,0.4442623189380098
275,0.5353786421518247,0.28663029047233163,0.12107629991193945,0.9031226193240945,0.4227141096864188
276,0.010669986447949587,0.00011384861079942784,0.34679722682656206,0.8439083182573822,0.3039141646257841
277,0.4027042959156646,0.16217074994893116,0.17973019694172665,1.1822768965283639,0.06823920588148075
278,0.21573543085747315,0.04654177612725958,0.805958713637991,0.45517079165316077,0.45044448566888473
279,0.22519286478518885,0.05071182635016035,0.7985885743569702,0.06377659948601842,0.44621429951677927
280,0.20894124939975572,0.04365644570073092,0.2879282635252867,0.44086114201394194,0.4967058286618229
281,0.21627345892059535,0.046774209033478446,0.08009540850761639,1.0072270754984716,0.22621058601384864
282,0.3570598185633028,0.12749171403245874,0.16202568817958274,1.1608872019241312,0.21544815132579348
283,0.03424453967495156,0.0011726884975493312,0.4991211799823194,0.7298232909152819,0.2706068282100284
284,0.38588894397870005,0.1489102770849963,0.794606030452501,0.36095302147364444,0.22749003703673526
285,0.24042210065429565,0.05780278648302427,0.35296794552248495,0.8845354998805594,0.16840718984965566
286,0.18041581957316066,0.032549867952255264,0.229966979263335,0.7037750234123129,0.6099281212562331
287,0.07779167183462062,0.006051544206825307,0.01618090115159937,0.9036494039520858,0.41133651550682493
288,0.40453083832781705,0.16364519915820647,0.7442828829248176,0.3877926536560414,0.19404917748749662
289,0.5247995076554633,0.2754145232354167,0.16632738869387811,1.0874925963293969,0.06029511605379754
290,0.044993050960484574,0.002024374634732762,0.17452098233823296,0.850335576223914,0.22598144489049277
291,0.6724978005733123,0.45225329177594253,0.38856297032225834,0.41193984760414987,0.4737024129044856
292,0.33711062934780267,0.1136435764192716,0.6188548802396227,0.21371772728904076,0.4428780254117815
293,0.012930442748869786,0.00016719634968179924,0.560133313897357,0.7603827664516714,0.16676459972972793
294,0.4229524285113744,0.17888875678366925,0.15194325125425923,0.4750928892708335,0.4991902497889174
