,0.0,0.025,0.05
0.95,0.9308498729444298,3.692459540861941e-08,3.520353702868429e-08
0.975,4.553084732156214e-08,4.2172927435100764e-08,3.662973820879978e-08
1.0,4.395506697789236e-08,3.710404577276002e-08,2.776693583898008e-08
1.025,3.9611568440505856e-08,4.053202043065691e-08,3.923696528049642e-08
1.05,3.865562342564406e-08,2.3570529709317343e-08,2.911302085432089e-08
1.0750000000000002,3.818871532542756e-08,2.7175453259229956e-08,1.4520250365130002e-08
1.1,3.6745405916962316e-08,2.819202695619489e-08,1.646187600361368e-08
1.125,3.526051258981145e-08,3.201360434514325e-08,2.7147625145921627e-08
1.1500000000000001,3.296477301723907e-08,3.55413359069846e-08,1.428055464148693e-08
1.1750000000000003,3.4483267328352846e-08,2.6336495297981076e-08,2.6632742781959302e-08
1.2000000000000002,2.8610199909635902e-08,2.6529017671413147e-08,1.0884892780099998e-08
1.225,2.803792899245213e-08,2.7448425270025208e-08,9.6391977058329e-09
1.2500000000000002,2.5484568240568048e-08,2.2695867663503967e-08,2.4899192787311157e-08
1.2750000000000004,2.3727800773727303e-08,8.851625778826948e-09,2.6226562489416808e-08
1.3000000000000003,2.2963145580174607e-08,2.0461646160254684e-08,8.843902046147228e-09
