,0.0,0.025,0.05
0.95,-2.383331446552399e-249,-2.3618599920789562e-250,-2.3405819741323013e-251
0.975,-2.3194956500410216e-252,-2.2985992928334452e-253,-2.27789119109621e-254
1.0,-2.2573696488340808e-255,-2.2370329853310733e-256,-2.21687953501278e-257
1.025,-2.1969076473099644e-258,-2.1771156865233884e-259,-2.157502031689846e-260
1.05,-2.1380650764493997e-261,-2.1188032289138156e-262,-2.0997149115362113e-263
1.0750000000000002,-2.0807985609818337e-264,-2.062052628000017e-265,-2.0434755772973123e-266
1.1,-2.025065887411761e-267,-2.006822050588236e-268,-1.9887425726550084e-269
1.125,-1.9708259729013654e-270,-1.9530707839563118e-271,-1.9354755516684233e-272
1.1500000000000001,-1.918038834986732e-273,-1.9007592058427044e-274,-1.883635249033307e-275
1.1750000000000003,-1.8666655621050797e-276,-1.8498487552392699e-277,-1.8331834511380147e-278
1.2000000000000002,-1.8166682849115496e-279,-1.8003019039664031e-280,-1.7840829678946352e-281
1.225,-1.7680101483640524e-282,-1.7520821290094254e-283,-1.736297605324656e-284
1.2500000000000002,-1.7206552845559615e-285,-1.705153885596e-286,-1.6897921388789184e-287
1.2750000000000004,-1.6745687862764105e-288,-1.6594825809946422e-289,-1.6445322874721664e-290
1.3000000000000003,-1.6297166812787256e-291,-1.6150345490149515e-292,-1.600484688213014e-293
