,0.0,0.15,0.3,0.44999999999999996
0.005,0.044708736688310165,0.1422788803920727,0.0881230496864153,0.01979653753935904
0.155,0.12747758329165879,0.08997118755743837,0.04130681185815439,0.02760241530278766
0.305,0.17098530613976257,0.06334974555755694,0.043359450558937807,0.03567815595550174
0.45499999999999996,0.05699899290664012,0.050011232124277306,0.0456045666522406,0.040401744719852986
0.605,0.04995248833146476,0.05217361191162605,0.045667189909953616,0.04381449291063476
0.755,0.060812808687786116,0.0506162050526696,0.04441218749346157,0.04959205939146209
0.9049999999999999,0.04563144580370733,0.04774285715037727,0.04828056456857575,0.04033332073506603
1.055,0.049811793977254465,0.0554058713077424,0.05016415334317129,0.045825431682241895
1.2049999999999998,0.052100058246645375,0.051527521259086675,0.04275229362249156,0.040048733280366025
1.3549999999999998,0.05208323627209866,0.05073592882734279,0.04445218416511474,0.04234540888471808
