,0.0,0.15,0.3,0.44999999999999996
0.005,0.011548833531362417,0.007220948484143578,0.045368559845106966,0.011745309511058061
0.155,0.059947358369646785,0.028107984713637343,0.028781554372125148,0.05251159754378252
0.305,0.034503904086833695,0.0351617611243459,0.05655623674557955,0.039946795814657717
0.45499999999999996,0.05179556905167043,0.048110382533344154,0.05733079839151659,0.04245816508229636
0.605,0.062313924908455685,0.054068620613729135,0.046021787931559456,0.04391225727349063
0.755,0.06135095389807293,0.05058241435179593,0.04428030662870938,0.05022276178891158
0.9049999999999999,0.04563729291919997,0.04819969827105863,0.048449978857877975,0.04043828045530978
1.055,0.055074283625134036,0.05675732864966534,0.052721338637860694,0.05276177450615232
1.2049999999999998,0.0615599881627223,0.053651491847086855,0.046308044412479495,0.04091569395957472
1.3549999999999998,0.06805258666477919,0.08772982434375699,0.05745753368335184,0.0547065028383482
