,amplitude,c_0
0,(0.9460092658817776+0j),(-0.2546935662589386+1.6795674010755066j)
1,(-0.2936907084605428+0j),(-0.06838444253092332+1.3730519728824404j)
2,(0.37271478513638384+0j),(-1.019802255330109+0.8714554034490826j)
3,(0.48673344565404403+0j),(1.2369831196736134+0.8640741470259432j)
4,(-0.1769183676207585+0j),(-0.2512962745360404+1.4543373585022188j)
5,(0.11642881817180892+0j),(-1.2544269416654596-0.5700956533162218j)
6,(-0.247803141632088+0j),(0.4462057154749208-1.521841426055056j)
7,(-0.3546602164028266+0j),(0.4551070907211223-1.2618281383424563j)
8,(0.45992513670993834+0j),(-1.1244642584969524-1.009062067676753j)
9,(-0.4565411749406489+0j),(0.17013012179126158-1.4114665180044228j)
10,(0.6051934396135084+0j),(1.2369214531556096+0.8426780651713409j)
11,(0.8938294420680648+0j),(-1.2411043939717112+0.24830126219315996j)
12,(0.4403073530431543+0j),(-1.2582794712017438-0.28350501899451386j)
13,(-0.3632851076338296+0j),(-1.108488925617683+0.2499823578907629j)
14,(0.4595036253091279+0j),(-1.0624798805554931-0.6377316124674406j)
15,(-0.05317451600150661+0j),(0.16252509198228976-1.583138831288222j)
16,(0.219339391299676+0j),(0.12930808762803314-1.505934463662287j)
17,(-0.25742039834615393+0j),(-0.37972630674530516-1.550031183994596j)
18,(-0.8696546075784148+0j),(0.9564221724931689-0.8022316252057771j)
19,(-0.038086399998864984+0j),(1.2539315746331-0.5109256138878098j)
20,(-0.8528326987668648+0j),(0.67655231738932-1.3455218716272375j)
21,(-0.3344818571922059+0j),(0.6900501153176166-1.297762956251439j)
22,(0.4331898567820369+0j),(1.4743940758730225-0.5465017534241214j)
23,(0.5670464823105738+0j),(1.5350831034265746-0.18071164451038446j)
24,(0.4576685979882906+0j),(-0.41660157836619843-1.4068769926225233j)
25,(-0.09503443733304243+0j),(1.3738122152811831-0.43142410711318435j)
26,(-0.6017838227571692+0j),(0.7025403474272791-1.2707210796907562j)
27,(-0.27045711000670625+0j),(1.3235349445006517-0.6524123219255121j)
28,(-0.06230573783339937+0j),(1.255427450983918-0.7816041489478835j)
29,(0.5902478557694382+0j),(-0.5423812121311251-1.3689436999737439j)
30,(-0.10953410820862475+0j),(-1.2434402375601536+0.5186903654086572j)
31,(0.6823252381251103+0j),(-0.35065927831250676+1.316074307871701j)
32,(-0.4145972952500602+0j),(1.0643058616721275+0.912881117586005j)
33,(-0.4806618945181955+0j),(-0.2990385356347345+1.4124315525183109j)
34,(-0.6242688881455728+0j),(-0.5816260209804994+1.3323530207695968j)
35,(0.6114430173533076+0j),(1.0994226374813432-1.0463571992639038j)
36,(0.25621283680328744+0j),(0.9158118894798329-1.1731933778840842j)
37,(0.5506948540487514+0j),(1.0191021865897254-0.9034781946742743j)
38,(-0.15402171657154606+0j),(0.35565708943005575-1.2853072206813045j)
39,(0.09694218507185748+0j),(-1.3367166631163985-0.0393999789777954j)
40,(-0.10436340549873835+0j),(-1.257008368228734-0.9604929727806815j)
41,(-0.0611913740157469+0j),(-1.3676679867640786-0.5883655431163676j)
42,(-0.08781902072026251+0j),(-0.5073889794774359-1.2883356330464488j)
43,(-0.38846791353622834+0j),(-0.6382864359970195-1.2184503890278051j)
44,(0.3439052077563072+0j),(-0.9067195820051887-0.9171502903671707j)
45,(0.15941621369072936+0j),(-1.3122787676065455+0.6387812174011023j)
46,(0.2897814777328732+0j),(-1.2759479848941881+0.07339207142174275j)
47,(-0.08179171544073072+0j),(-1.3259731983280132-0.822893241536919j)
48,(-0.016388363774229545+0j),(-0.3920417171673143-1.2473371606214805j)
49,(-0.293498320340294+0j),(-1.065500146095539-0.9820433656218862j)
50,(-0.5735871225939861+0j),(-0.8670324187311725-1.0803804086217002j)
51,(-0.15278397189559767+0j),(-0.45417247321963106-1.1688428093636072j)
52,(-0.8359579696317828+0j),(-0.019638724229302185-1.3045567910266003j)
53,(-0.7389067164982547+0j),(-0.3096980192000164-1.4703144275683973j)
54,(0.6031422896525087+0j),(0.5138071219477915-1.4036276433687873j)
55,(-0.08460329046188025+0j),(0.44222016337969455-1.1472804701169919j)
56,(0.9006405022223031+0j),(-0.19498953069592284-1.3752558582848464j)
57,(-0.22750209196738258+0j),(-0.2078719461918549+1.4762080791513474j)
58,(-0.07429468859122434+0j),(-1.3998132134465187+0.5222487676238022j)
59,(-0.18029956966553798+0j),(-1.2714402177937596-0.3125385502130504j)
60,(-0.3681976801756466+0j),(-1.0017758056050354-0.7587931012993735j)
61,(0.0933263317990054+0j),(-1.49755490006345-0.17094954718815775j)
62,(-0.09036785560677602+0j),(-1.134568325141724+0.7985173205416405j)
63,(0.24657520297950403+0j),(-1.1234639540533642+0.9926676212711667j)
64,(0.14973003241716334+0j),(-1.2995504386412857+0.482385618172695j)
65,(-0.24527176101560205+0j),(-1.1781485038365918-1.004631854789186j)
66,(0.9054497838373782+0j),(-1.1654917626176624-0.8938340511798057j)
67,(-0.1786054944317621+0j),(-1.3351489292064145-0.8302535668102184j)
68,(0.43452591710240485+0j),(-0.677971385566991-1.2230436813664263j)
69,(-0.06691187700033402+0j),(-1.1545902558581245-0.6874163945020167j)
70,(-0.07825217038797781+0j),(-1.4382522986731732+0.44037916538670024j)
71,(-0.5280276208364034+0j),(-0.9146121331514869+1.1153016715948618j)
72,(0.29080805548626687+0j),(-0.5212864496370561+1.3667123453829766j)
73,(-0.334780550834866+0j),(-1.0621946891248517+0.9891161406118791j)
74,(-0.1346839032516156+0j),(-1.2178200728457274+0.42324244148266643j)
75,(-0.7895631224228442+0j),(-1.1559975120096744+0.7340805507909087j)
76,(-0.38285984838881204+0j),(-1.3408970832811198+0.013971099930589037j)
77,(-0.40090045507319755+0j),(-0.1143465113172879-1.4119427276344043j)
78,(-0.2297511057286778+0j),(-0.9056964619277685-1.2076682218761514j)
79,(0.07624445017120227+0j),(-1.0760236627995565-1.1032077198747154j)
80,(-0.007563259042914383+0j),(0.16846676071400002-1.417044527191299j)
81,(-0.08663492946454612+0j),(-0.3237774785052926-1.3507201989617106j)
82,(-0.24129130596352083+0j),(0.2152039236233119-1.5392083408572406j)
83,(0.44732045845231616+0j),(0.6925133280769713-1.0270596556981046j)
84,(0.2796354408078383+0j),(-0.10103138316541493-1.372904818269204j)
85,(0.4645660599802103+0j),(-0.46276586142611414-1.3608022082495626j)
86,(-0.9049372539299614+0j),(-0.569970560935432-1.0664044467122353j)
87,(0.6520135030431524+0j),(-1.1072995533413021-0.8582154009815717j)
88,(-0.21002158190834083+0j),(-1.3076894028846526-0.27720179264831907j)
89,(-0.21002158190834083+0j),(-0.10453679829867607+1.1110947428416247j)
90,(-0.07211592420138524+0j),(-0.12487302228708635+1.5324537455138394j)
91,(-0.40765409029753696+0j),(0.12182547770082205+1.370920030711763j)
92,(0.1724161617540858+0j),(-0.2524903637964518+1.432827471983422j)
93,(0.04944611898168451+0j),(-0.9375782374812045+1.0654057098314906j)
94,(0.07938324194684872+0j),(1.1972657507752071+0.6633258239901048j)
95,(-0.2635898168453038+0j),(-1.2595268824090986+0.7190194724615532j)
96,(-0.7477334903406887+0j),(-0.3933298191269413+1.2523140846273608j)
97,(0.0829837245550347+0j),(-0.5320663494694746+1.1026399104342375j)
98,(-0.7348721370867549+0j),(0.4507476505128352+1.423910850705654j)
99,(0.2993322409528787+0j),(-1.417177855436906-0.106025522814298j)
100,(-0.07390217023536572+0j),(-1.3794758276648453+0.2529834040676444j)
101,(0.47213502668936724+0j),(-1.3526947027873137+0.35740934267847246j)
102,(-0.3907445023126884+0j),(-1.286359304102205+0.33272821591427565j)
103,(0.7705290407483327+0j),(-0.9316489123255358+1.175812046821229j)
104,(0.5842363257687178+0j),(-1.1990474012166377+0.1625787296436425j)
105,(0.6460903574617094+0j),(0.10420277151025659+1.1762533878229315j)
106,(-0.19793051637881573+0j),(-0.5028503091973471+1.3965201448737838j)
107,(0.6324705252899183+0j),(-1.2939573124763213+0.7790792297169278j)
108,(0.08192362056573121+0j),(-1.0663283363383045+0.9314443210809257j)
109,(-0.01860210313166505+0j),(-1.0165411826953998+0.6882251329298273j)
110,(-0.3320008294040049+0j),(-0.33837746869971874+1.4114029264511394j)
111,(0.19834275356984943+0j),(0.7122246117776244+1.1945193178310056j)
112,(0.04444096679758603+0j),(1.2161552010467647+0.8950159590350859j)
113,(0.334235646569972+0j),(1.3384576486677364+0.4655927725555784j)
114,(0.6860598671084044+0j),(1.4370494702040801+0.34907914635097714j)
115,(-0.2698067509683363+0j),(1.2906397891462325+0.19794316098953874j)
116,(-0.8301915937126287+0j),(1.2569405326163365-0.6913374261744418j)
117,(-0.19745553663034926+0j),(1.169849948969673-0.804913820618263j)
118,(0.4102613846730764+0j),(0.45792176035204996-1.167013621589721j)
119,(0.8346068311582402+0j),(0.46144641076642995-1.2073284138258358j)
120,(-0.09761500286580635+0j),(0.3099779542751602-1.2750025435095727j)
121,(0.7139760143520882+0j),(-0.8781153082722777-1.3260548874937326j)
122,(-0.6233926307674933+0j),(-0.8395390794394805-1.2556558115166503j)
123,(-0.7661569970503455+0j),(-0.03820868630718327-1.4751127055779159j)
124,(0.26348214912290857+0j),(-0.7726850737034358-1.010409756101125j)
125,(0.22048213379731452+0j),(-0.8926771881943638-0.8308070006584951j)
126,(0.4365437366290589+0j),(-0.34038484944397385+1.323812570810834j)
127,(0.8248632383389428+0j),(-1.2838886090743806+1.0118160497515345j)
128,(0.5231927208678128+0j),(-1.4897543884180902-0.2807330706013802j)
129,(0.1645329365535404+0j),(-1.02394960740091-0.9749686040667517j)
130,(0.5393142262298658+0j),(-1.1748303926323524-0.8199397517236616j)
131,(0.6623075965983524+0j),(0.8268641108790978-1.2273364251424883j)
132,(0.28145723660926397+0j),(-1.4696123115218551-0.5173965784930706j)
133,(-0.3444701734878696+0j),(0.28614551481847905+1.1842320458087652j)
134,(-0.8797239571171631+0j),(-1.2921441856704299+0.3487283154991914j)
135,(-0.9685501939319489+0j),(-1.4903120123443065+0.11879785234877574j)
136,(-0.9326712332615894+0j),(-1.281157585942464-0.6711890304921352j)
137,(0.2627724508843913+0j),(-1.1789307647801093-0.9196943098236237j)
138,(-0.25705240411596897+0j),(-1.255151576920134-0.45024910980555805j)
139,(0.14801576529594368+0j),(-0.9483439861447428-1.1390420664205037j)
140,(0.49222861063860807+0j),(-1.0163134598253718+0.0773574309955426j)
141,(0.4303385103116506+0j),(0.5575422658784693+1.3307171609312j)
142,(0.10696909626460306+0j),(0.739453483379092+1.0500213330296524j)
143,(0.40398085297140807+0j),(-0.4487421245730221+1.3061964853070362j)
144,(0.40398085297140807+0j),(-0.03891939510733333+1.3907741998791991j)
145,(-0.27509525309846583+0j),(1.0619764888149763-1.3064883584446052j)
146,(0.15292003134184756+0j),(1.3241858767803547-0.7571464685378635j)
147,(0.7015160438206012+0j),(1.4584334606141232+0.07899768501755888j)
148,(0.1374133582881022+0j),(0.6856176594435418+1.3486926664171206j)
149,(0.06177144697276227+0j),(1.253066871898418-0.42053017939304776j)
150,(0.21420144324314452+0j),(1.3677065001842705-0.41404161377654347j)
151,(-0.4753896114237065+0j),(1.349478089619405-0.37922220280190955j)
152,(-0.17152447718238867+0j),(1.4439001143964447+0.35986442971193977j)
