,ampiltude,real_c_0,img_c_0
0,-0.0005999104180370965,0.0,0.0
1,-0.0008644637641638192,0.0,0.0
2,0.0005253763700593616,0.0,0.0
3,-0.004056989804884668,0.0,0.0
4,-0.00199650403833313,0.0,0.0
5,-0.001907620578358209,0.0,0.0
6,-0.0035411094459179586,0.0,0.0
7,-0.0015558671122296195,0.0,0.0
8,-0.0012844664444864563,0.0,0.0
9,-0.002809305709029997,0.0,0.0
10,-0.008508849800515403,0.0,0.0
11,-0.011136648869030517,0.0,0.0
12,0.011288081563686795,0.0,0.0
13,-0.048709193443684164,0.0,0.0
14,-0.06336401299462012,0.0,0.0
15,-0.13810156362165538,0.0,0.0
16,-0.19486641638133628,0.0,0.0
17,-0.23737857966622422,0.0,0.0
18,-0.278463619833715,0.0,0.0
19,-0.33829813828427874,0.0,0.0
20,-0.43624847601730027,0.0,0.0
21,-0.4700835664678466,0.0,0.0
22,-0.5620026032119754,0.0,0.0
23,-0.6421394506019565,0.0,0.0
24,-0.6834474406394252,0.0,0.0
25,-0.6817237169165798,0.0,0.0
26,-0.691858366001065,0.0,0.0
27,-0.7100878231014316,0.0,0.0
28,-0.7011378447594674,0.0,0.0
29,-0.6813876216228681,0.0,0.0
30,-0.6889396372981367,0.0,0.0
31,-0.6909441431088307,0.0,0.0
32,-0.6879767245324764,0.0,0.0
33,-0.6902582468366266,0.0,0.0
34,-0.7034717700650858,0.0,0.0
35,-0.7144004128779511,0.0,0.0
36,-0.684813003860227,0.0,0.0
37,-0.6967366817769577,0.0,0.0
38,-0.6964960632455638,0.0,0.0
39,-0.6970581728149171,0.0,0.0
40,-0.6971144954601202,0.0,0.0
41,-0.7169340864621772,0.0,0.0
42,-0.6754416118199348,0.0,0.0
43,-0.6847755857837607,0.0,0.0
44,-0.6993292567419412,0.0,0.0
45,-0.6759126397109206,0.0,0.0
46,-0.6820266865008315,0.0,0.0
47,-0.7058279335790776,0.0,0.0
48,-0.7082509594680013,0.0,0.0
49,-0.6967702462611971,0.0,0.0
50,-0.693766702459188,0.0,0.0
51,-0.711674670559542,0.0,0.0
52,-0.6790044170783677,0.0,0.0
53,-0.7038385709411696,0.0,0.0
54,-0.701653134138388,0.0,0.0
55,-0.6902925479510946,0.0,0.0
56,-0.6749883606537066,0.0,0.0
57,-0.6875558613165148,0.0,0.0
58,-0.6803426856506842,0.0,0.0
59,-0.7089408257508872,0.0,0.0
60,-0.6695941950265236,0.0,0.0
61,-0.7005332320175764,0.0,0.0
62,-0.7003592887865701,0.0,0.0
63,-0.6936074068825049,0.0,0.0
64,-0.6970239531482476,0.0,0.0
65,-0.6939816426486956,0.0,0.0
66,-0.6793532365284475,0.0,0.0
67,-0.6874880641666106,0.0,0.0
68,-0.7085387573302386,0.0,0.0
69,-0.693566582158611,0.0,0.0
70,-0.6980563562991992,0.0,0.0
71,-0.7019743380124929,0.0,0.0
72,-0.7028509527202054,0.0,0.0
73,-0.6768460706175855,0.0,0.0
74,-0.689268020209279,0.0,0.0
75,-0.6924584875141443,0.0,0.0
76,-0.6817941910302799,0.0,0.0
77,-0.6883978865253386,0.0,0.0
78,-0.6981940216862379,0.0,0.0
79,-0.6896976654073954,0.0,0.0
80,-0.6940097489845538,0.0,0.0
81,-0.684836335761448,0.0,0.0
82,-0.6952548693441535,0.0,0.0
83,-0.700059416460602,0.0,0.0
84,-0.686180500668436,0.0,0.0
85,-0.701810642160176,0.0,0.0
86,-0.680318947682096,0.0,0.0
87,-0.6973280189518738,0.0,0.0
88,-0.7036192513402958,0.0,0.0
89,-0.7099595976487962,0.0,0.0
90,-0.6936143397025072,0.0,0.0
91,-0.6936143397025072,0.0,0.0
92,-0.7082857159790601,0.0,0.0
93,-0.6827506432966292,0.0,0.0
94,-0.700357073933253,0.0,0.0
95,-0.6865214258525658,0.0,0.0
96,-0.6972240492788371,0.0,0.0
97,-0.6839994433738459,0.0,0.0
98,-0.7293889176879385,0.0,0.0
99,-0.7088811561733002,0.0,0.0
100,-0.7044773844422177,0.0,0.0
101,-0.701211871931785,0.0,0.0
102,-0.6992832500704278,0.0,0.0
103,-0.6843599334996274,0.0,0.0
