,amplitude,c_0
0,(0.029265867331779605+0j),(-0.09842387489671689-0.002948408680477778j)
1,(-0.23202276225414287+0j),(-0.15376179495865142-0.058371442180996824j)
2,(-0.839777712887785+0j),(-0.06390502194806165+0.31021023086179944j)
3,(0.49288430957964724+0j),(-0.14650159831974266-0.31048343629699005j)
4,(0.2892931737442552+0j),(-0.5296508101727899-0.12969113817797467j)
5,(-0.7055978863072673+0j),(0.08423810054258717+0.2575206970989067j)
6,(-0.0408492898619201+0j),(-0.20724168324370085-0.7051538913218438j)
7,(-0.9731329423066837+0j),(0.2643432533988079-0.08524945499130787j)
8,(-0.9011231231704977+0j),(-0.061367618781631064-0.13417957787209284j)
9,(0.3000344516266101+0j),(0.6597870355921351+0.35014499874508714j)
10,(-0.2797648746747123+0j),(-0.20729309169643056+0.3286906783381304j)
11,(0.23828274952953077+0j),(0.035549316870418124-0.386142300899577j)
12,(-0.3897910233638112+0j),(-0.10529146287855569-0.4638675608549989j)
13,(-0.8786715555687675+0j),(0.15517663152093303+0.4851476804602821j)
14,(0.3160361654882158+0j),(-0.22002264913399477+0.25472585406421805j)
15,(0.342945913658564+0j),(0.3829110093082002-0.7256148469858265j)
16,(0.4460014198986784+0j),(-0.0560125434546509-0.24684661608223385j)
17,(0.9427092295504045+0j),(0.03146016535880714+0.45767856475676816j)
18,(-0.159917743385531+0j),(0.15927539859041334+0.36564484699081323j)
19,(-0.02889461264692078+0j),(-0.39385874241679014-0.4049458954741788j)
20,(0.38215651178359156+0j),(-0.49576203754147996+0.3749678347524007j)
21,(-0.7356053273487002+0j),(-0.5981158557676818-0.3389898894974346j)
22,(0.49586955892875056+0j),(-0.4871189257373044+0.42599810407327043j)
23,(0.48952831510168937+0j),(0.10980752616047651+0.3416558724508924j)
24,(-0.524673934731756+0j),(0.19830368090934913-0.3591352446511149j)
25,(0.7274313350396356+0j),(-0.6066709931617762-0.0937698905177996j)
26,(-0.9662749634270056+0j),(0.08777834069747725+0.3134080566425228j)
27,(0.8920131080744678+0j),(0.3656705850920722-0.5259585945630495j)
28,(0.4893254559915451+0j),(-0.000693240187592703+0.2281243308997794j)
29,(-0.7600924590693129+0j),(0.6192513047158289-0.12802462240169057j)
30,(0.5034895739700965+0j),(-0.5596545635506789-0.028143998295404704j)
31,(-0.7143429993790813+0j),(0.6774584819347859-0.41274595318884455j)
32,(-0.5790877270616281+0j),(-0.32322301898183653-0.44351273143043546j)
33,(0.7598368212626432+0j),(-0.4700495866820014+0.37683633331814054j)
34,(-0.27107227007813384+0j),(-0.24438752382586806+0.33422156734028197j)
35,(0.7200932003853068+0j),(0.1954618334176822+0.2449816900324775j)
36,(-0.5546688788121925+0j),(0.08223347476458129+0.46888306550548714j)
37,(-0.8647510819274942+0j),(-0.29985369533890865-0.13267970388866873j)
38,(0.557135716556368+0j),(0.33572401068131585+0.22048095092978048j)
39,(0.7725337345009438+0j),(-0.23097168024844283-0.44408779594508163j)
40,(-0.11563330371179104+0j),(-0.6515697191163794-0.29940350062688803j)
41,(-0.74783729844678+0j),(-0.15651773288970183-0.28580325382911065j)
42,(-0.8241139076847576+0j),(-0.6064923052419153-0.22850930493077115j)
43,(-0.9279869999423673+0j),(0.07148788694765766-0.5648961309014564j)
44,(0.6388853676180315+0j),(-0.13688620859425116+0.4248810295621644j)
45,(-0.12739212065846395+0j),(0.2155992299800623+0.04325246969295782j)
46,(0.6902136077864208+0j),(0.10719708837526705-0.2649113604435317j)
47,(0.6889706882006413+0j),(0.02659523847730758+0.0566276131086274j)
48,(-0.44550348802011763+0j),(-0.5427953457737635-0.3396926927276395j)
49,(0.8282617242527759+0j),(0.35759449908409696+0.23871485006180151j)
50,(-0.12605429559546144+0j),(0.9862170335438998-0.067342238394448j)
51,(0.49167708645172176+0j),(0.5797957036608024-0.0042606915910133325j)
52,(0.5792552032282978+0j),(-0.1108817060328704+0.3259642923584383j)
53,(0.07501543374480524+0j),(-0.16029664162288446+0.2026095570361739j)
54,(0.20641276109794632+0j),(0.8899072890670128+0.06479051179354867j)
55,(0.24299693559956825+0j),(0.5342881612776315+0.14259223491755768j)
56,(0.26162617124712595+0j),(0.22726727796146867-0.3250041897393055j)
57,(-0.9822637240777534+0j),(0.1336479224304982+0.8314820388508979j)
58,(0.22148080405708875+0j),(-0.8090965504489985+0.12813798239828536j)
59,(-0.8372597606631624+0j),(0.3321349931398606-0.3265499821240823j)
60,(-0.6951071522472378+0j),(0.11621880393646401+0.051511651942894074j)
61,(0.9476180058927506+0j),(0.5039892461468678+0.6291176437929477j)
62,(0.3955903585493059+0j),(-0.22329733993574213+0.06146786651517208j)
63,(0.8903560017215943+0j),(0.08962476492697216+0.08867162225660408j)
64,(0.7684981716425221+0j),(0.2269913598602052-0.02623287237890541j)
65,(0.6465717116554504+0j),(0.001819312251129912-0.1082684877816864j)
66,(-0.10214933328295972+0j),(-0.09974867736753609-0.2884938040876174j)
67,(0.7994175103726824+0j),(-0.3721192065110809+0.21583766215147232j)
68,(0.03841291122151452+0j),(0.8472209936769171+0.3061619085170819j)
69,(-0.7176761066465569+0j),(0.36130138921868166+0.5172659625904j)
70,(-0.7019695339077839+0j),(0.05049665884852933+0.7316820954585341j)
71,(-0.8293462743147415+0j),(-0.6081075230330693+0.5422139517021209j)
72,(0.9771414841790727+0j),(-0.40225677786860203-0.2967666243616149j)
73,(0.9493982367301006+0j),(0.4413748256996597+0.07187570519279746j)
74,(0.49314910222066566+0j),(-0.027895877939196012-0.16136146576851454j)
75,(-0.665935275395049+0j),(0.014176103160611186+0.15471572531909894j)
76,(-0.2628311998074164+0j),(0.22782951068672624-0.52158879240723j)
77,(0.5170050300575812+0j),(-0.07447821393307774+0.3624427157511298j)
78,(0.7296467757030501+0j),(-0.578786882693131+0.34265458433209944j)
79,(0.5344108287993719+0j),(0.1374727889848465-0.775888847990901j)
80,(0.3599326353274345+0j),(-0.6632200824249201-0.14312353167572964j)
81,(0.5205753164321801+0j),(0.6345457592105676+0.5004817761852965j)
82,(0.6275293773708408+0j),(-0.293056012136761-0.3562722485972664j)
83,(0.08836813201295324+0j),(-0.03569598743189607-0.26768184224549485j)
84,(-0.5502399643018663+0j),(-0.06321435851093746+0.1627770976247743j)
85,(-0.5535727112778832+0j),(1.0491592273503045+0.422232050360216j)
86,(0.40605114201622333+0j),(0.6416193006011567-0.3643847631138616j)
87,(-0.4293507670589937+0j),(-0.1913626054457495+0.38886779188151244j)
88,(0.37662399299516114+0j),(0.5479237500483147-0.581003931733822j)
89,(0.7700240287673333+0j),(0.503545579706868+0.7334789853485769j)
90,(-0.8837724342750495+0j),(0.11109869944708761-0.8609172338668363j)
91,(0.3777580029484676+0j),(0.531484777465701-0.012357007860976432j)
92,(0.1500244114422401+0j),(-0.228991842565435+0.800997363087661j)
93,(-0.7469425654552251+0j),(1.0075768743200706+0.03869106809569535j)
94,(-0.451691693151946+0j),(-0.1743683312109151+0.409019786964267j)
95,(-0.7480757947734968+0j),(-0.4580846097330279+0.12986515307555452j)
96,(0.2774098501794956+0j),(-0.17627246725002105+0.16945523092951215j)
97,(-0.5964203075299558+0j),(-0.7862502613429407+0.1510100291294567j)
98,(-0.01968458665562417+0j),(0.4684442848626682+0.38716658929400827j)
99,(-0.6935242113716769+0j),(-0.7949776849200165+0.15316135712247336j)
100,(0.26670905452138083+0j),(0.24617793542316108+0.42573309348261934j)
101,(-0.4656387074995899+0j),(0.1998348714362812-0.30908065138934426j)
102,(-0.3874253427260254+0j),(0.4819476553187223-0.7780670959333023j)
103,(-0.5677858254064646+0j),(0.15504464730624168+0.09623213489197124j)
104,(0.02832201804162149+0j),(-0.5794587654963743+0.02662962618153039j)
105,(-0.8597691717833347+0j),(-0.17076062789564733-0.5908276268649486j)
106,(0.39114954114327527+0j),(-0.48933662535719535+0.5382397670871064j)
107,(-0.5481805582387238+0j),(-0.24736332472368777-0.1967509411420111j)
108,(-0.6981716146710508+0j),(-0.22026489339414407-0.4060414794176278j)
109,(0.14077819588214155+0j),(0.18026601461386493-0.3385091509857411j)
110,(-0.6074539616263244+0j),(-0.12796054414068145-0.11935304852280063j)
111,(-0.9138747147174826+0j),(0.5964245042728251+0.17915964472679127j)
112,(-0.6441903388318232+0j),(0.2689308598316526-0.261389243878278j)
113,(-0.5456163806212727+0j),(0.08917619188374729-0.15015514820252854j)
114,(-0.837372960155581+0j),(0.40227198155735455-0.47465497524155875j)
115,(-0.7527152695945338+0j),(0.9584644503165043-0.07239685694966314j)
116,(0.35347966849231294+0j),(-0.15477743078579298+0.5099107077293044j)
117,(-0.6023967624737809+0j),(-0.5169013547485571+0.21045775517417875j)
118,(0.4918724012645251+0j),(-0.2655271647644739-0.3869703600941228j)
119,(-0.5606792226761125+0j),(0.5342071874958154-0.16908462473648103j)
120,(-0.3850280420140156+0j),(0.003816991357209143+0.2784963660601788j)
121,(-0.7243001407495919+0j),(-0.5298853388855898-0.4373475683397842j)
122,(0.08374944799620258+0j),(0.010957713723510454-0.47646868706345447j)
123,(-0.505165044209937+0j),(-0.22380056170739304-0.34786252074547525j)
