,amplitude,c_0
0,(0.9216165863096049+0j),(-0.29278394948022063-0.3176945825983719j)
1,(0.9849463090801063+0j),(-0.7220511229499141-0.3929741351363918j)
2,(0.5970805987979797+0j),(-0.9497352105324249-0.8680429322129181j)
3,(0.3483534375099475+0j),(-1.6210825000915017-1.319282960005253j)
4,(-0.7073866342776436+0j),(-2.0228232871959086-1.1207571250595363j)
5,(-0.00558821626394812+0j),(-1.6479021351351184-1.3707542402589215j)
6,(-0.07252312343814726+0j),(-2.0143863120893486-0.9249021021667571j)
7,(-0.4633941464088088+0j),(-1.5773116379909307-1.4716432030883533j)
8,(0.4087904546354224+0j),(-1.6059751309959742-1.4994247553310773j)
9,(-0.05099073844942603+0j),(-2.148324215366987-1.02064453905851j)
10,(-0.5299052716140773+0j),(-2.1471446339741687-0.4648594578868327j)
11,(-0.5259844358014077+0j),(-2.2292577631191817+0.6589342893743061j)
12,(0.01648678469536269+0j),(-1.9536392031858263+1.0135480424293235j)
13,(-0.5158158765981969+0j),(-2.142547398411581+0.8776311136265565j)
14,(-0.7191314749752413+0j),(-2.113030308303401+0.8027274119630157j)
15,(-0.19698486857334435+0j),(-1.8391931548261367+0.9330713797517816j)
16,(-0.6159046330507808+0j),(-1.9355985266270546+1.3540449174897569j)
17,(-0.4458079267700216+0j),(-1.8638083569545685+1.4173499206421543j)
18,(-0.5071415037468547+0j),(-1.8430522620495327+1.3545165515021098j)
19,(0.008222078728437499+0j),(-2.0658634878559754+0.6965701223339955j)
20,(0.22805102018611445+0j),(-2.12235083032225+0.724983877193335j)
21,(-0.7468324125087487+0j),(-1.7256622610886234+1.4756489375928876j)
22,(-0.473017970246254+0j),(-1.7488757442486713+1.5054318301322804j)
23,(-0.04563181961280002+0j),(-1.8664603591511493+1.0376200968512428j)
24,(-0.5821953644481083+0j),(-0.8297564077063324+2.1680124345203993j)
25,(0.32555371916599035+0j),(-0.7698919387030909+2.1291444678304723j)
26,(-0.07595784565379446+0j),(-0.847004320652996+2.088511592723481j)
27,(0.2363527001812166+0j),(-0.717834829153952+2.1154477189705436j)
28,(-0.232470572733744+0j),(-0.7925083860501758+2.152295289890548j)
29,(-0.7781773802930927+0j),(-1.2305414616571604+1.8089454218267995j)
30,(0.5921227612080088+0j),(-1.0373981535167507+1.9565762157179751j)
31,(0.2940951076448038+0j),(-0.7569212796947002+2.1024013665185897j)
32,(0.02913978941091286+0j),(-1.1406111687835192+2.004822952832645j)
33,(0.46775797022019905+0j),(-0.8790733748312507+1.8903175256121165j)
34,(0.15381872218827208+0j),(-1.5846711683346422+1.599264070944293j)
35,(-0.32513869555841+0j),(-1.754142218707249+1.0703263335517952j)
36,(0.47988110748423884+0j),(-2.0965724506894468+0.5365990079918006j)
37,(0.9067313056166664+0j),(-2.1120738338785516+0.22904124884939256j)
38,(-0.3226911024382279+0j),(-2.171791964462788-1.0352744427233982j)
39,(0.4638809523990489+0j),(-2.1222368389352564-0.7770469332819644j)
40,(0.40760968673178555+0j),(-2.2371601247517865-0.7461314052723638j)
41,(-0.8610446233102511+0j),(-2.195191005424914-0.45890537405344173j)
42,(0.5922867041291737+0j),(-1.82006793541631-1.02948387185716j)
43,(0.4018432057268222+0j),(-1.9526936862530613-1.0537686544745934j)
44,(-0.00041571011532332003+0j),(-1.9702097603384392-1.1168344068926703j)
45,(0.37646975464485394+0j),(-2.1823531052630476-0.6841838857207624j)
46,(0.9310081777428312+0j),(-2.0162114665749735-0.6881840829674427j)
47,(0.3256117095969969+0j),(-2.3316664341498154-0.004624040176978947j)
48,(-0.31819641619576244+0j),(-2.240936344140189-0.626088226872892j)
49,(-0.6387201194685641+0j),(-1.8603293240104715-0.832420174278308j)
50,(-0.11481826950357046+0j),(-2.001191365663655-0.898309658289203j)
