,amplitude,c_0
0,(0.9936477019557622+0j),(0.003188087717101988+0.33250302725162145j)
1,(0.9936477019557622+0j),(-0.0030030824040010655+0.41207592185236674j)
2,(-0.11766683308915787+0j),(-0.050083238268872794+0.5052333541025644j)
3,(0.01972140639155258+0j),(0.011981636173691636+0.6352242395370044j)
4,(0.1118073690159237+0j),(0.0621737769906667+0.746424000494615j)
5,(3.8352023699152193e-05+0j),(0.20248775206305314+0.866047529039436j)
6,(-0.022530721234584043+0j),(0.25713402763106785+0.893299795730863j)
7,(0.014198577850240056+0j),(0.3562275889752232+0.977739043414045j)
8,(0.0537903583038587+0j),(0.34268349317624996+1.0244543421667311j)
9,(-0.026242943786449296+0j),(0.4066935812872977+1.0945004844283373j)
10,(0.045455342267754856+0j),(0.44686249968035124+1.1647506409493145j)
11,(-0.038160526167326916+0j),(0.521081711996251+1.1882500564693192j)
12,(0.044015359996287085+0j),(0.5385170377308305+1.2752141868856137j)
13,(0.053384588702805755+0j),(0.5747566950634061+1.3534222671335034j)
14,(0.027602704351365984+0j),(0.6164764941704973+1.407164264932968j)
15,(0.027602704351365984+0j),(0.6164764941704973+1.407164264932968j)
16,(-0.25334143553467925+0j),(0.6311068019607493+1.4818900729163882j)
17,(0.04212091078745696+0j),(0.6749110046815708+1.4986653230236326j)
18,(-0.043050060118161024+0j),(0.7200905707502908+1.5769560274399863j)
19,(-0.0460906801145064+0j),(0.7284184633582467+1.6272895437564112j)
20,(-0.04670080569009803+0j),(0.7486018158673845+1.669777776299605j)
21,(-0.04670080569009803+0j),(0.7486018158673845+1.669777776299605j)
22,(0.028064915415694478+0j),(0.7737888441231645+1.6843756865753754j)
23,(-0.029568150427045102+0j),(0.8352328296658476+1.719486902117332j)
24,(0.029559007866176858+0j),(0.8203356909447816+1.7331080910205545j)
25,(-0.012373870670101261+0j),(0.8167295277511071+1.7748689869834058j)
26,(0.024973880715157187+0j),(0.8497173517051829+1.7922999776119655j)
27,(-0.02627750595837286+0j),(0.8617981604924783+1.8164975228499995j)
28,(0.0163858781581434+0j),(0.8605385231159396+1.8436812258970336j)
29,(0.01128578442636705+0j),(0.8518841530599646+1.859080469400301j)
30,(0.05693334637358754+0j),(0.8461335617276673+1.8751957984128758j)
31,(0.005055252910598787+0j),(0.864797756741539+1.9168120642187216j)
