,0,-1,-2,-3,-4,-5
0.05,(0.931602444102153+0j),(0.9547374384249184+0j),(0.006255562045803299+0j),(-0.0032306233873894224+0j),(0.0027212534823281855+0j),(0.0048823047961859805+0j)
0.25,(0.11821239912473043+0j),(0.10838766419687228+0j),(-0.0020946392938524+0j),(-0.0035477816613726215+0j),(0.005997420980153827+0j),(0.009582496387152497+0j)
0.45,(0.015222809625884326+0j),(-0.018733633703484583+0j),(0.04215715826322626+0j),(0.016393063253101223+0j),(-0.008674226188887371+0j),(0.00804541898227713+0j)
0.6500000000000001,(-0.030536461128122673+0j),(-0.0035658988601378412+0j),(0.011158710385413394+0j),(-0.027977242394317255+0j),(-0.012440883211197379+0j),(-0.0050129905396298045+0j)
0.8500000000000001,(0.039203456639952956+0j),(-0.0284865245216499+0j),(0.047165008947941046+0j),(0.007591172690369461+0j),(0.000900925181218524+0j),(-0.004811608834723627+0j)
1.05,(-0.02643540275477772+0j),(-0.008553968435155221+0j),(0.041338607072091464+0j),(0.0009291687038554264+0j),(0.019016585920752196+0j),(0.02521841454870092+0j)
1.2500000000000002,(0.0501327114885439+0j),(0.04542950374250936+0j),(-0.010029862012922417+0j),(0.018413378317357437+0j),(-0.01647069239072041+0j),(0.010280583150922302+0j)
