,amplitude,c_-1,c_0,c_1
0,(-0.43416978422011243+0j),(-0.18747135038295132+0.19661466008429515j),(-0.6451702786552832-0.0874541510111833j),(-0.03369453260963773-0.12347048388431181j)
1,(0.2746862332603357+0j),(-0.14177355686927623-0.016209380522002638j),(-1.0741023103482112+0.0488529052460367j),(-0.028148856055553187+0.07311255498251563j)
2,(-0.18784496863996578+0j),(-0.12158862570324606+0.22891767728123874j),(-0.7193764001651475-0.22183495123083039j),(-0.18895909115773343+0.1701370714919369j)
3,(0.09576709339281109+0j),(0.040770920529522935+0.4873120837176716j),(-0.15759479337392698+1.0086092119099515j),(0.375770724980665-0.3637981021220492j)
4,(-0.04745819114453148+0j),(-0.29859206325826004+0.22444493226807866j),(0.08295325500267894+0.514645942847139j),(-0.00576055239304836-0.04137078800935306j)
5,(-0.3460173529470859+0j),(0.26675821915711373+0.13599552211881874j),(-0.31911117481310175+0.23239762543667536j),(-0.03437536779700233-0.3813591645381621j)
6,(-0.06993869213351323+0j),(0.30671610372363844-0.11952205410347792j),(-0.33629138462055796-0.16645996830575013j),(0.3286664660417199-0.10072952009635938j)
7,(0.45224416410464924+0j),(-0.3190008045505865+0.5380468291417801j),(-0.5669721944250573+0.34126644225688507j),(0.3433129979139894+0.08384773069535935j)
8,(0.3891476207187885+0j),(0.27119735218920565+0.15868799178618676j),(-0.714904153009894+0.20864850802368068j),(0.38230965035799225+0.14798049180871792j)
9,(0.1262687455827601+0j),(0.004153178283354923+0.21225538043445702j),(-0.6412547308517952+0.5685164668497691j),(0.15119577268115658+0.02742476856044352j)
