,abs_amplitude,abs_c_-1,abs_c_0,abs_c_1
0,0.30867447869609854,0.23832393755808653,1.0432758539973246,0.095462715930637
1,0.1150435071990244,0.2931563480703738,0.45121108841855606,0.3478304095689603
2,0.3466388729643594,0.46098504475110896,0.6854319318023424,0.24666105984018188
3,0.319758159916423,0.27757296587300084,0.7840312534121937,0.19465595357082527
4,0.11159510057471284,0.5522877807581876,0.12346620908657302,0.19798258109097885
5,0.03644261328297588,0.3621070931094127,0.8658430399672514,0.3212641357013737
6,0.06608695514138668,0.4096805770478784,0.7028727582273765,0.11466342363623191
7,0.49907416988848385,0.2902591649181276,0.6408082559400748,0.04260473322741093
8,0.12366636721713331,0.10264807514131488,1.3250405809597525,0.2308618852550273
9,0.6466844509734744,0.3126216054099637,0.506105661785161,0.326126987900973
