,amplitude,c_-1,c_0,c_1
0,(0.07084033825036352+0j),(-0.21034489171822718+0.0034952775273363454j),(-0.29885468437662527+0.7328062158080471j),(0.26194627963916867-0.5556665028979811j)
1,(0.23316099983600128+0j),(-0.38103795840404886-0.32921378833031767j),(-0.2143160923841712-0.18483964833372132j),(-0.07003504423097083+0.24623353562754352j)
2,(0.512001612896716+0j),(-0.0884309834913858+0.04393011053625455j),(-0.7953869280293484+0.13452212753786758j),(0.2207670315889387+0.13824710068496307j)
3,(0.20833876415267652+0j),(0.5238455881649181+0.12974659217635676j),(-0.15885802192947335-0.5227166154484373j),(0.14882193695165646-0.23978865952006226j)
4,(0.043255476533491766+0j),(0.09615857838363653-0.29248921619689217j),(-0.10567059877541299+0.3144634623859588j),(0.05830551890838042+0.407623933344297j)
5,(-0.23209056170380687+0j),(0.240015744394285+0.24188874432353924j),(0.2861152084911578-0.3611782117740405j),(-0.2919821274872805-0.025914146071613187j)
6,(-0.10562327239370789+0j),(-0.0745555239514166-0.1815788025920645j),(-0.09440112458349278+1.0167402571868935j),(0.16516437223461672+0.44984318036116216j)
7,(0.038274675456000676+0j),(-0.0862351599375222-0.27923912167158j),(-0.7312620577297718-0.19921894107551003j),(-0.17034918559602824-0.24883469714520418j)
8,(-0.44341782783726064+0j),(0.3065923446860605+0.17894936424944224j),(0.8065567355885395+0.4556855365886766j),(-0.26017610459235885-0.06720987951675533j)
9,(0.12900745395238+0j),(0.054136047019030624+0.038977757412487685j),(-1.023428794871467-0.19841281634340985j),(0.053890826277368666+0.2527703877269363j)
