,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(-0.3389219414956591+0j),(0.20681645017978043-0.11171623994786031j),(0.2807810944625559-0.1916470726226894j),(0.26071823984493314-0.9643200529792437j),(-0.3015947295311881+0.402152474641037j),(0.14251192024541592-0.10799570947406087j)
1,(-0.26427905258031126+0j),(0.04764019260573555+0.1895056900504244j),(0.31206807479905796+0.44254185822256537j),(-0.399716675614057+0.3971929251314204j),(-0.13261064126678102-0.35050001675697534j),(-0.2800133909835344+0.27770722797879294j)
2,(0.15515911189847617+0j),(-0.009804664007488681+0.1513215708322688j),(-0.56590418087472-0.3651090598830432j),(-0.4266435469271325-0.24992095412754514j),(-0.0589936045530402+0.3609111610268094j),(-0.038983203456947446-0.10877559277592086j)
3,(-0.01780273051700812+0j),(0.010613108119898879+0.0011136703965528225j),(-0.31373243454743543-0.01259457420158766j),(0.5078206452427598-0.464429045217689j),(0.06218232817476045+0.07503316492959192j),(0.08790295387992725+0.09003151052734858j)
4,(-0.239490204830273+0j),(-0.2990421452556122+0.07758368634087826j),(0.0037610398344496143+0.06627293798277417j),(-0.11363717523479439-0.26388467052194303j),(-0.15357340674348108+0.23851320106166782j),(-0.3201341855010553+0.14155162143035402j)
5,(-0.3586976911737546+0j),(0.21919675245351322-0.14679295652281873j),(-0.030206264007612366+0.26507542685868224j),(0.6528173688496519-0.4292163986678616j),(-0.11853918977010326-0.08417081945113589j),(0.1459320606099348+0.08557992520310585j)
6,(-0.027874902346595565+0j),(-0.07441238896800657+0.04655001170951797j),(0.026844355357996424+0.2944346095597313j),(1.0248471355994853-0.07964734256364313j),(0.199354479357378+0.1578163100090968j),(0.04640948297429488-0.05303319712450433j)
7,(-0.30086771283638164+0j),(-0.021194493428953236+0.08002298239935154j),(-0.1755830924781106+0.0750058347736949j),(0.893019740124626-0.6475872780009325j),(0.024088182045647555-0.4860197372362095j),(-0.09058204341016132-0.19648233423604763j)
8,(-0.20160140958416073+0j),(0.08378121815044012+0.04443571040565697j),(0.12036776849081195-0.20876691091976182j),(0.860817600429797+0.23516300343673985j),(-0.06284162797842896-0.15739331321121056j),(-0.13565443543805653+0.02265140634519894j)
9,(0.2824881564532776+0j),(-0.1256104614799392-0.1509405263930252j),(-0.19116266234066215+0.21236052348509601j),(-0.08776054068714942+0.5056745511240892j),(0.13900996134360166-0.5289797588947132j),(-0.008589405199887452-0.03469548207138462j)
