,0.0,0.1,0.2,0.30000000000000004,0.4
0.005,0.00827231777508503,0.0649397439520271,0.0696230171537696,0.10342954288795918,0.10612321660057858
0.10500000000000001,0.02315057074094556,0.12553912839156411,0.15406265719703063,0.22697823646291984,0.21846498752270668
0.20500000000000002,0.019548656878252798,0.14411479432231702,0.18564706436243666,0.2884131960248653,0.2581439337892705
0.30500000000000005,0.021470225670433316,0.16074443980560715,0.21033670835405413,0.5711396487964964,0.2699445993170475
0.405,0.023968553325054938,0.1789732592898628,0.23607981624708888,0.4634751166726304,0.2837679925731634
0.505,0.027104877827786884,0.19905653382605956,0.2828572275443134,0.3740345296533084,0.27990173044417893
0.6050000000000001,0.030209983809641343,0.2183790618135243,0.4703673790555895,0.3347197356774708,0.27409134327067164
0.7050000000000001,0.03386129689326132,0.26121899140912175,0.42797184601962607,0.3002716245317034,0.2686975370563052
0.805,0.03775509534827482,0.385043605231914,0.3358301582173217,0.2820117230029835,0.2557487368228017
0.905,0.041226496466892304,0.4058729099592018,0.30516777905722975,0.27063387410413414,0.24176849377969162
1.005,0.04490797184004588,0.32670701704993726,0.2749667095680043,0.2523212120359672,0.2417133435916275
1.105,0.06644732950386995,0.30858610240428636,0.25943080124313533,0.2387890378679928,0.22486956264739827
1.205,0.3495718510374458,0.2829435948240601,0.25052513161087686,0.23657774841911738,0.22056500053649886
