,0.0,0.1,0.2,0.30000000000000004,0.4
0.005,0.996170604580717,0.6563952837281528,0.47462733039921806,0.2254533878729478,0.00232529248355622
0.10500000000000001,0.9846866226629135,0.6717437061460625,0.478311760794138,0.21771417205077878,0.010261507811337167
0.20500000000000002,0.990301654857007,0.6696975201567538,0.4695575436678092,0.18868892295096593,0.013295349518139432
0.30500000000000005,0.9939468740135132,0.6649080375553279,0.4531856583289083,0.11028931133470285,0.014753340277254879
0.405,0.996686898692185,0.654826362160999,0.42454722522223776,0.04352720584905372,0.01642485048950681
0.505,0.9966180142570996,0.6417174567918762,0.3718645225490049,0.028750478652556494,0.015505242580621803
0.6050000000000001,0.9962098634489799,0.6157948782473713,0.22665273593344734,0.02226358095052173,0.015504902515089364
0.7050000000000001,0.9977327740361595,0.5721731632546792,0.03734412299181101,0.019237706007754363,0.014254281461020627
0.805,0.9946835252321503,0.44433474761809133,0.023007100663882344,0.01646960114238716,0.013805514696564235
0.905,0.9951776296262245,0.03333393803291215,0.01780987797803212,0.014994601970735807,0.012161868382805746
1.005,0.9948013119281378,0.022437457257077034,0.015944526033741947,0.013281228931648202,0.011331366533124266
1.105,0.9706193229031885,0.017704681309785513,0.014043265170335465,0.0118594265065861,0.010527791679376269
1.205,0.023272257456814507,0.015663489961148445,0.012245214661457521,0.011563956632777145,0.009386612147230265
