,0.0,0.1,0.2,0.30000000000000004,0.4
0.005,0.007568256328421586,0.041972835433857,0.06584742566911972,0.10314459078707217,0.10611468118607585
0.10500000000000001,0.012619316387861368,0.11196128197698496,0.15339111331556807,0.2267876128273292,0.21840252638487237
0.20500000000000002,0.015079745633336054,0.13200877689860357,0.18508792124312107,0.28789556486273443,0.25802755985966513
0.30500000000000005,0.019798289321474264,0.15034925108557046,0.20977015023080622,0.5688913081651449,0.2697681821138697
0.405,0.023512562000363887,0.16904129938247894,0.23554886343948012,0.4625263577287461,0.2836080054101416
0.505,0.026649478756161235,0.19174636781790463,0.2822836154160519,0.3735337021123819,0.2797484328929216
0.6050000000000001,0.02965292539850843,0.21096892519888583,0.46777244303719984,0.33439963190234995,0.2739553448942619
0.7050000000000001,0.033709091107478606,0.2554629883991967,0.427070651664202,0.30003540799064243,0.2685739637195383
0.805,0.03668483846758403,0.37967777878758285,0.33541758611963496,0.2818610765717201,0.25563676486319753
0.905,0.04041349063370515,0.4052108199047819,0.30497342370386626,0.27050811264737706,0.24168071205954939
1.005,0.044033023650224934,0.32638431758963543,0.2748299252820816,0.2522154994510168,0.24163748223326253
1.105,0.040323234347698265,0.30788138144613947,0.25931461037877995,0.2387068559605483,0.22481040753431034
1.205,0.34923499377188777,0.28279137046579783,0.250439709938938,0.23650708320282796,0.2205097754332673
