,0.0,0.025,0.05
0.95,0.5320066959509112,1.2727775711086715,1.3039804277700213
0.975,0.5695528127548803,1.3293243245145432,1.2116360411524913
1.0,0.6190607753086809,1.442516845050193,1.1594726205975123
1.025,0.7263110988906207,1.4585214376041162,1.1087975719913707
1.05,0.8940979438747872,1.3820530627914986,1.0657379635956488
1.0750000000000002,1.0322577604230825,1.3267196898815006,1.0401243339945565
1.1,1.0886994308818232,1.2513051466475218,0.9931838773922439
1.125,1.2189998558683102,1.2039580135255046,0.9658956849261731
1.1500000000000001,1.2570946673409122,1.1439739250879364,0.9427542120782341
1.1750000000000003,1.3056984153730975,1.1144250209845776,0.920871617694383
1.2000000000000002,1.3632009326443302,1.0496216486967405,0.8924551120744324
1.225,1.3541464886799757,1.032754402755778,0.8720704227515742
1.2500000000000002,1.3235837337149936,0.9777513672276437,0.8722966600478139
1.2750000000000004,1.2996962974248547,0.9755812419299306,0.8597471015090881
1.3000000000000003,1.2743703344293427,0.9272663820404317,0.8376654634611376
