,abs_amplitude,abs_coeff_-6_-1,abs_coeff_-6_0,abs_coeff_-6_1,abs_coeff_-5_-1,abs_coeff_-5_0,abs_coeff_-5_1,abs_coeff_-4_-1,abs_coeff_-4_0,abs_coeff_-4_1,abs_coeff_-3_-1,abs_coeff_-3_0,abs_coeff_-3_1,abs_coeff_-2_-1,abs_coeff_-2_0,abs_coeff_-2_1,abs_coeff_-1_-1,abs_coeff_-1_0,abs_coeff_-1_1,abs_coeff_0_-1,abs_coeff_0_0,abs_coeff_0_1,abs_coeff_1_-1,abs_coeff_1_0,abs_coeff_1_1,abs_coeff_2_-1,abs_coeff_2_0,abs_coeff_2_1,abs_coeff_3_-1,abs_coeff_3_0,abs_coeff_3_1,abs_coeff_4_-1,abs_coeff_4_0,abs_coeff_4_1,abs_coeff_5_-1,abs_coeff_5_0,abs_coeff_5_1,abs_coeff_6_-1,abs_coeff_6_0,abs_coeff_6_1,amplitude_squared,surface_energy,field_energy,amplitude,real_group_sampling_width,coeff_-6_-1,coeff_-6_0,coeff_-6_1,coeff_-5_-1,coeff_-5_0,coeff_-5_1,coeff_-4_-1,coeff_-4_0,coeff_-4_1,coeff_-3_-1,coeff_-3_0,coeff_-3_1,coeff_-2_-1,coeff_-2_0,coeff_-2_1,coeff_-1_-1,coeff_-1_0,coeff_-1_1,coeff_0_-1,coeff_0_0,coeff_0_1,coeff_1_-1,coeff_1_0,coeff_1_1,coeff_2_-1,coeff_2_0,coeff_2_1,coeff_3_-1,coeff_3_0,coeff_3_1,coeff_4_-1,coeff_4_0,coeff_4_1,coeff_5_-1,coeff_5_0,coeff_5_1,coeff_6_-1,coeff_6_0,coeff_6_1,complex_group_sampling_width
0,0.5751758317223405,0.05541832760492074,0.105611977474287,0.06973508714147973,0.11527781407337231,0.01605431861979358,0.03783896260741844,0.07335566133404016,0.03554461101471016,0.04947664918138954,0.12105625896019744,0.04202081440434904,0.12547952519119152,0.08250165589943693,0.014219307552415643,0.04404537257399533,0.051577446164968524,0.13049402500498547,0.09596248891425578,0.15710854619455056,0.05030205005198534,0.030480942863540732,0.021958195224974948,0.1394682010008094,0.04009256987970723,0.07563154158671125,0.11124098472301705,0.05041941031121776,0.20015888782222246,0.03627843168277514,0.09993145645597108,0.0004890053052380343,0.07319225842235894,0.04098267841495622,0.05355914262235456,0.06443151562818558,0.024559092879015462,0.07610019143006713,0.019081595518539336,0.11995625850437155,0.3308272373974862,(7.595240655521756+0j),19.62859582459824,0.5751758317223405,0.6361960748212637,(-0.05263946781377494-0.017328515885928392j),(0.09340352271741496+0.04929170041707478j),(-0.053006560225312103+0.04531320946159224j),(0.037269061971592764+0.10908708189924494j),(0.007358397149170032+0.014268676804137697j),(0.029643665843716065-0.023516806044863156j),(0.07250886654387417+0.01111383472420921j),(0.0014859705214553371-0.03551353634596843j),(-0.04078028399736706-0.028016196232043756j),(0.05282884240936853+0.10892075671388116j),(-0.03996653385140408+0.012977866354271011j),(-0.005444802471795495-0.1253613392089044j),(-0.06635816241483274-0.049021602453161166j),(-0.0076101426150569544+0.012011429417379043j),(0.00776339172651077+0.04335579077911974j),(0.04975764615879607-0.013579749689750282j),(0.006322987952083778-0.13034074721804986j),(-0.06925135440323772+0.06643078497154636j),(-0.01902107701044056+0.15595285799474184j),(0.012201642500469753-0.048799755734257204j),(-0.0279774736321779-0.012097472753068106j),(-0.0073429796094561205-0.02069403266628388j),(-0.036764754981585754-0.13453524401266062j),(0.03919616760840454-0.008430575565942476j),(0.033399056268015606-0.06785744707243531j),(-0.062316551738788084-0.09214772955170117j),(0.036749741312680044+0.03451917509996479j),(0.18797843278060522-0.06875819357412265j),(-0.011643969984567779-0.03435902455484247j),(0.02893718465838128+0.09565006708548816j),(-0.000392488015571514-0.0002916836405828721j),(-0.0723188018366188-0.011273756866334906j),(0.040449441844382095-0.00658958151491194j),(-0.04960310847891374-0.02020181644483567j),(0.0475990592444873-0.043425220381535325j),(0.01220091138698632-0.021314004888031143j),(0.023248187059975507-0.07246213448496566j),(0.0002586199196494045-0.019079842852348157j),(0.03698943236604491+0.11411084894787787j),0.28991424277066846
1,0.8007921426247506,0.05491755965723481,0.11494688988515998,0.03944822553411167,0.1088059763931956,0.00640735073436345,0.017081746413444433,0.05691710496580679,0.03937963123537797,0.06569707659287054,0.12858994675543758,0.00290152591478199,0.08275016946203259,0.061992044513682384,0.04294972237465455,0.029536036741461318,0.047785040229842764,0.140187063234161,0.12139152283404431,0.16381741179802967,0.09204749285090558,0.01880050361755997,0.034958560522044976,0.11823536246942133,0.01816989466751407,0.08409178549275625,0.11710741263407941,0.053198528429348114,0.20425893080086818,0.03667141664650464,0.0708514698859372,0.0008593928535759474,0.06001207810145974,0.047777324753583365,0.06605737066691324,0.06502496010357338,0.012445087702365411,0.060817184576292156,0.018236409609786876,0.08911547843607832,0.6412680556895389,(7.3378453367725145+0j),15.915970102141014,0.8007921426247506,0.6397904084263306,(-0.0521638100412722-0.01717193293383171j),(0.10165934487211646+0.05364853301296488j),(-0.02998511693709221+0.02563308916340451j),(0.03517673118347532+0.10296279950604564j),(0.0029367693823731224+0.00569469305826957j),(0.013382121173902577-0.010616256092437205j),(0.056260071724201895+0.00862329213678435j),(0.0016462965690449162-0.03934520382258945j),(-0.054149694564638924-0.037201027558466875j),(0.05611653697976645+0.11569921643626105j),(-0.0027596783959965+0.0008961181757009771j),(-0.0035906919996856962-0.08267222917617804j),(-0.049861764753918736-0.03683501050103346j),(-0.022986598422135986+0.03628077927828118j),(0.005205991228417011+0.02907361555986111j),(0.04609904716560529-0.012581252727411157j),(0.006792656689329202-0.14002240004127756j),(-0.08760222316493387+0.0840342329799554j),(-0.019833317034216542+0.16261237327960465j),(-0.02232773017542187+0.08929845130432593j),(-0.01725637545356591-0.007461664859765115j),(-0.011690395975592153-0.032945949610040694j),(-0.031167636064381644-0.11405340591334265j),(0.01776364645498594-0.003820724649961281j),(0.037135118714067626-0.07544807052172929j),(-0.06560289048661423-0.0970072515518806j),(0.03877538721548326+0.036421872183311735j),(0.19182897202892224-0.0701666323991741j),(-0.011770102921130893-0.03473121760156882j),(0.020516483398902767+0.06781596194068483j),(-0.0006897704218815689-0.0005126137355502019j),(-0.05929591021743037-0.009243622100786015j),(0.04715568122543589-0.007682088828856595j),(-0.06117818102739943-0.024915986546888213j),(0.048037468902663034-0.04382518702637778j),(0.006182696283117793-0.010800670099132192j),(0.01857931309923185-0.057909749304823455j),(0.00024716480251320906-0.018234734574880045j),(0.027479441285332563+0.0847729249438587j),0.29652171985872805
2,0.8007921426247506,0.03142269590504934,0.08665194698503885,0.024836849976765676,0.09107821910774291,0.02616070413579025,0.03142704215688305,0.04856476334203271,0.05418752768454391,0.07471821600498628,0.12890529758470676,0.005134343307882479,0.06936453614948082,0.04758623074222432,0.04635011953806804,0.011481273384776362,0.03618731181469248,0.16297356317594028,0.10834131724847058,0.1945610553012602,0.4640110318121529,0.009518692032418914,0.0785249299580685,0.08995542179025778,0.0340574289435103,0.09872700592234127,0.07149449174410413,0.06247349166393775,0.20378729659746098,0.040685273797266365,0.0817755474874033,0.018306788302256925,0.08171973524596043,0.051598670422124564,0.07095763568617795,0.037659736459829375,0.016957942989293123,0.06009279397324329,0.01179412396987236,0.0513734613487087,0.6412680556895389,(7.3378453367725145+0j),12.15094213358246,0.8007921426247506,0.6288958197161802,(-0.029847057123553702-0.00982542614874932j),(0.07663521971923909+0.04044258912188896j),(-0.018878817508745652+0.01613875355285667j),(0.029445386516683072+0.08618707100674187j),(0.011990596131295337+0.023250979448111823j),(0.02462046187208033-0.01953181599175927j),(0.04800414691739974+0.007357860912000581j),(0.002265352369068085-0.05414015455470339j),(-0.06158521482101675-0.04230925570625189j),(0.056254155797712924+0.11598295435488978j),(-0.004883339567021272+0.0015857098966589349j),(-0.0030098631414661545-0.06929920345214853j),(-0.03827480544331449-0.028275229875787712j),(-0.024806483621610104+0.03915318571360428j),(0.002023677348975501+0.011301520628801133j),(0.03491051982206238-0.009527703927346386j),(0.007896759077132196-0.16278213504663197j),(-0.07818453900243585+0.07500012589396325j),(-0.023555439253668164+0.19312986698464527j),(-0.11255399572372944+0.4501531247142482j),(0.008736900185209263+0.0037778397480207715j),(-0.0262593056309219-0.07400414510486152j),(-0.023712853665939483-0.08677371998756839j),(0.033295962249025715-0.007161519681862727j),(0.04359806446881086-0.08857895050723631j),(-0.040050797868278594-0.05922327194492098j),(0.04553573005669954+0.042771888535432824j),(0.1913860386205344-0.07000461753085183j),(-0.013058395441449596-0.03853271094087798j),(0.023679772136872754+0.07827201644528099j),(-0.014693490919782703-0.010919698829817344j),(-0.08074451406172493-0.012587238680734298j),(0.050927306345245754-0.008296520821918283j),(-0.06571649821144938-0.026764303185342328j),(0.027821292257465345-0.025381714822850347j),(0.0084246743451473-0.014717224351294394j),(0.018358015781476156-0.05721998902549473j),(0.00015985012314405207-0.01179304066620855j),(0.01584140083777648+0.048870057810935334j),0.31027674430838736
3,0.6263802596186898,0.003439039613658221,0.07425250021820737,0.021125085335358906,0.0629839096383789,0.025319144958239986,0.035434461217263735,0.09237803993933277,0.09235189340970336,0.05964788086903227,0.12326235713228832,0.02440089793601258,0.06903935805948712,0.008662616418911969,0.02984274200793744,0.02739898602118295,0.05247573830105055,0.15753648841730206,0.11658855309712764,0.18151623497260239,0.5392505278340363,0.009542574768622364,0.08149971027316426,0.09313537772358875,0.000694118634193765,0.09579999167904267,0.06857981787343698,0.07545392277748905,0.16940117285844608,0.049341843113316505,0.08751124876458954,0.0035800287578641662,0.05129922716798088,0.0463537017184388,0.06511276980500552,0.020615282812981986,0.02555358762071805,0.04850032768844901,0.04580171151012457,0.02311608569138706,0.39235222963997723,(7.544325586547602+0j),9.08041500744252,0.6263802596186898,0.6252771660032795,(0.0032665946966863157+0.0010753383429838843j),(0.06566911496988816+0.034655463172874997j),(-0.016057456210268366+0.013726883494861815j),(0.020362558488764317+0.05960150237307052j),(0.011604872713217107+0.022503022701992687j),(0.027759939895147846-0.022022415371061067j),(0.09131165676557666+0.013995842302572538j),(0.0038608438041595377-0.09227115530585435j),(-0.049163748190837735-0.03377566514510359j),(0.053791581665265285+0.11090570060982836j),(0.02320800601292892-0.007536065086473049j),(-0.0029957530269636196-0.06897433163915043j),(0.006967560844648215+0.00514723412109147j),(-0.01597177090850482+0.025208962386392524j),(0.004829316883045751+0.026970022866733133j),(0.05062424397582324-0.0138162597006812j),(0.007633309787464452-0.15735144665538778j),(-0.08413615883914885+0.08070933954057154j),(-0.021976107396370598+0.18018100416617783j),(-0.13080465213685313+0.5231455578982235j),(-0.00875882137791605-0.003787318482054144j),(-0.027254093725870378-0.07680766335328258j),(-0.02455111141861871-0.08984120163836926j),(-0.0006785993117329779+0.0001459577077462726j),(0.042305488496428595-0.08595280128525884j),(-0.038418014541922965-0.05680886883410355j),(0.05499691737732833+0.05165881862279279j),(0.15909244566451708-0.058192362886377205j),(-0.01583681855981378-0.04673128138327342j),(0.025340661039021186+0.08376198158140308j),(-0.002873421551488252-0.002135428410080116j),(-0.05068703608686015-0.007901587230515456j),(0.045750581329686076-0.007453185292059742j),(-0.060303351134156746-0.024559695308986124j),(0.015229628829773087-0.013894181917859539j),(0.012694974513752082-0.022177093190607733j),(0.01481658152735842-0.04618171388905001j),(0.0006207675316796755-0.045797504570972966j),(0.007128022321720712+0.021989650189864342j),0.32466983566829144
4,0.7092452343626394,0.008602768039894383,0.08593609904254057,0.020195397670221844,0.08078482596349036,0.006777161203740953,0.02659986037572617,0.10678860578057899,0.09762614286926553,0.0740646219000028,0.08524842159248679,0.030449850528670868,0.02090196029836526,0.0032676883460249387,0.018566207518473987,0.04833198902418997,0.07055668198296669,0.1473933843378647,0.11543262226023919,0.1982211707361863,0.5570522933693371,0.005845879493905734,0.09798063013581669,0.094917560962194,0.026437546934370178,0.13007909489498007,0.07573995197925905,0.055203029237325764,0.14285102421824794,0.04077040571804776,0.049607457349594965,0.004639775102815813,0.06444748986941248,0.030072539723563305,0.023739814040497086,0.007687782539485195,0.008528152880158115,0.051002619105364216,0.08532450918440697,0.0038788466290094643,0.5030288024661154,(7.452328613288474+0j),8.106776706272662,0.7092452343626394,0.6288098107635888,(0.007788893994771219+0.003652498909848583j),(0.08591042463704021+0.0021004897840209116j),(0.00721827239605219-0.018861352832572557j),(-0.02278288347717193+0.07750566641489533j),(-0.0006102654822165647-0.006749628880368647j),(-0.012305260857444262-0.023582475002390593j),(-0.10090123618472743-0.034967797485025535j),(0.08214241655137425-0.05275876396041482j),(0.05664701708515287-0.04771460649051581j),(-0.06905819653323983+0.04998258572329757j),(0.01287364140057236-0.027594614588862566j),(0.020722535634937523-0.0027328485455989106j),(-0.0008939489980477214-0.003143030753212045j),(-0.004326058204481525-0.018055173276113362j),(0.04534778094374805-0.016720045649227775j),(-0.00413265456620215-0.07043554882786067j),(-0.1472465986676587+0.006576391668304431j),(-0.07300083834725195+0.08941793937724944j),(0.07961727680155992+0.1815288455390165j),(0.30016116680483634-0.46926594963879203j),(-0.005819058673573824+0.0005593417656252833j),(0.01689753734962662-0.09651257489741781j),(-0.040667892666463194-0.0857640127622352j),(0.021687809313083367-0.015118955489925898j),(-0.015443631590214625-0.12915906925958764j),(-0.046917621793551016+0.0594581961638408j),(0.030801115585032297+0.04581119640103851j),(0.07356521516733452-0.12245233455343446j),(-0.03997691069526701-0.008004535818950909j),(-0.036648762665300955-0.03343303784872572j),(0.004334435082767309+0.001655350572533032j),(0.04850096982625703-0.04243977941013041j),(-0.018322745829262282-0.023846061115025782j),(0.02046531509223377+0.012031194822334617j),(-0.004534946713912988-0.006207757942798931j),(0.008524746406924518+0.0002410191796863311j),(-0.0462757834847381-0.02144339102102332j),(0.029069963776387056+0.08021975488369117j),(0.003285482245662624+0.0020618092988474385j),0.3245810368493947
5,0.7092452343626394,0.006030758670104542,0.08111186497543241,0.04029582864389034,0.04885789820916559,0.03634284736183494,0.007562917082496547,0.07685842202183249,0.12498504948341244,0.04753622019390496,0.0712089309071057,0.03006890507601266,0.017984094327271497,0.026281511844232237,0.0038537696906161723,0.03626518406682313,0.08364444192682893,0.14158699024337235,0.12932983607538018,0.1964274962184943,0.7116535516134525,7.353569160330892e-05,0.08828474106542869,0.09897576327440316,0.0566962315909436,0.10881350589309563,0.04995916220875826,0.05499190580233004,0.12890949743234567,0.044722661383710734,0.0776879120510943,0.008232996095681323,0.037518775644500936,0.03518950891563556,0.03103450081315785,0.03190363297909074,0.03387967510887317,0.04060271173383237,0.06608379761302036,0.003503995306534767,0.5030288024661154,(7.452328613288474+0j),6.228344379604181,0.7092452343626394,0.6181022037489305,(-0.005460212314415538-0.00256049440900503j),(0.08108763186576753+0.0019825736290338195j),(0.014402601638546873-0.037634012171692516j),(-0.013778872313743775+0.04687469354757139j),(-0.0032725775001708193-0.03619520397609342j),(-0.003498652482712541-0.006705008993426291j),(-0.07262113534045926-0.02516719566318037j),(0.10516213890687971-0.06754396445946294j),(0.036357237887791355-0.030624230333087008j),(-0.05768506036407601+0.041750995817176145j),(0.012712584611604452-0.02724938980900412j),(-0.017829716937511755+0.002351349123461948j),(0.007189893494252904+0.025278910110204892j),(-0.0008979557064458909-0.0037476948084886968j),(0.03402602822995571-0.012545635826645826j),(-0.0048992324348499025-0.08350083943769651j),(-0.14144598702705646+0.006317322226908193j),(-0.08178958661729582+0.10018318232246655j),(0.07889683165416923+0.17988621744202718j),(0.38346626152649443-0.5995034643727549j),(7.319831079097244e-05-7.0359958019576635e-06j),(0.015225404322133186-0.08696196046673142j),(-0.04240664927144433-0.08943085492893044j),(0.0465102553791113-0.0324231217063342j),(-0.012918875999324536-0.1080438878773845j),(-0.03094753847051644+0.039219481781595796j),(0.030683317025535575+0.0456359919370974j),(0.06638562773785184-0.1105016151832691j),(-0.04385224548795293-0.00878049012905106j),(-0.057393908150919874-0.05235791235355297j),(-0.00769118897417042-0.0029373179731011874j),(0.028235343364640432-0.02470675840621857j),(-0.0214404381420616-0.027903568768170583j),(0.02675382531590216+0.015728098158648677j),(-0.018819636845516453-0.025761658841530487j),(0.03386614225972716+0.000957493564846674j),(-0.036839721764219076-0.01707088458386419j),(0.022514675105422904+0.06213016748614062j),(0.002967973593595018+0.0018625562692011083j),0.3244922623174177
6,0.8198237612730602,0.004101777305584347,0.03858695539028724,0.05334342099684282,0.037271072978775695,0.03836616859058397,0.012260817912150002,0.05561787477778376,0.13794808387299978,0.06096743765833449,0.04784247315206267,0.031905781347065794,0.02288582074559243,0.017858610266704805,0.021684083021062363,0.030379776545628543,0.090071299444035,0.16099368695076327,0.0940130412120527,0.18328151479846677,0.7558112417631412,0.01751179725199984,0.08910688657700573,0.0921868558117577,0.062162809632691496,0.08168143230709797,0.062227749620262035,0.05709141519192828,0.08837682569365336,0.06479077081678976,0.10051508407114558,0.012499863552789443,0.030847635048124267,0.03452941247107438,0.06995830657541822,0.038972748973031386,0.04290175930314321,0.02266857180032543,0.034579457116817224,0.017812025432552794,0.6721109995479077,(7.312486565894032+0j),4.9658228642893025,0.8198237612730602,0.6145456562820425,(0.0037137242891123012+0.0017415019291014634j),(0.03857542709018109+0.0009431601678084834j),(0.01906609365064667-0.04981972136163732j),(-0.010511163484196607+0.03575819239276107j),(-0.0034547722374982945-0.0382103054307097j),(-0.0056719306268355595-0.010869998106681671j),(-0.05255160209298621-0.018212004619417438j),(0.1160692068223376-0.07454940021130689j),(0.046629867189932096-0.03927701542215494j),(-0.038756317734128916+0.02805084799069508j),(0.013489182394522726-0.02891402499988664j),(-0.022689366411839502+0.002992230443779058j),(0.0048856209845918016+0.017177330067649352j),(-0.005052545338975912-0.021087229359541708j),(0.028504009036782386-0.010509628527847696j),(-0.005275667115710096-0.08991666319443373j),(-0.16083335705302626+0.007183209383981973j),(-0.05945486370899649+0.07282562117334648j),(0.07361663258330668+0.16784726710290823j),(0.4072601206605579-0.6367023066513026j),(-0.017431453350235465+0.001675552772583978j),(0.015367189841061203-0.08777178767597336j),(-0.03949790870526624-0.08329664814605843j),(0.05099471463922462-0.03554931757846123j),(-0.009697622429878677-0.08110371448304043j),(-0.03854739731742571+0.04885070094537583j),(0.031854760554528565+0.04737830641370363j),(0.04551217069348197-0.07575688508943428j),(-0.06352977884823319-0.01272050244795225j),(-0.0742580583085713-0.06774232725608331j),(-0.01167725717570535-0.004459624837448978j),(0.023214871823744206-0.020313697700551515j),(-0.021038251313557146-0.027380144398180192j),(0.060308761683756006+0.03545444856533702j),(-0.022989638296824103-0.031469853725368944j),(0.042884622685543355+0.00121247202995173j),(-0.020567687286274474-0.00953070758970878j),(0.01178118193004163+0.03251065374342789j),(0.015087240851512548+0.009468020569176986j),0.3244035120657178
7,0.5801314176301009,0.014860218421477858,0.029099753912716127,0.06756296293980185,0.048480276278898615,0.022393201124606514,0.01812406321211245,0.06470088712014191,0.1377630958594759,0.0993856275269835,0.0617968933518669,0.028798604704293365,0.027629125461574717,0.041599073048229275,0.0035906507148732135,0.009979768665066892,0.058381262845859365,0.162114455986077,0.1031804357790695,0.2141962477056918,0.6075681571029394,0.019017678547860222,0.0887691460111078,0.06355391466067964,0.08101758284033017,0.0893777787211196,0.07508840808414735,0.04401560568633374,0.037440030554291515,0.04306538263940197,0.11526840015341543,0.013294512007074606,0.018338177238883178,0.043854148579032616,0.05595402345124524,0.07215724786764854,0.03746133734417349,0.005908421253098272,0.04048066027698107,0.01445894813190521,0.33655246172151054,(7.590516871894818+0j),4.844962963248449,0.5801314176301009,0.611009573116701,(-0.013454351609538288-0.006309240390169356j),(0.02909106002399835+0.0007112696118650323j),(0.024148465821149222-0.063099964815282j),(-0.013672375625373295+0.04651239977508189j),(-0.0020164486680849625-0.022302228394850073j),(-0.008384304371212866-0.016068139516680475j),(-0.061133858289009614-0.02118622582794388j),(0.11591355832473958-0.07444942966392921j),(0.07601334073021793-0.06402714260346226j),(-0.05006053984949091+0.03623255963797678j),(0.012175524784623365-0.02609820356141721j),(-0.027391954092670458+0.0036123987538020414j),(0.011380353856699997+0.0400121284683558j),(-0.0008366471164909953-0.003491818173772343j),(0.009363578293172038-0.003452417146853557j),(-0.003419514434349879-0.05828103269941767j),(-0.16195300994032064+0.0072332158084836j),(-0.06525242314885325+0.07992698918864445j),(0.08603380698490805+0.1961586515728574j),(0.3273810540235375-0.5118209755294323j),(-0.018930425681975126+0.001819637559779254j),(0.015308943799789232-0.08743910751646697j),(-0.027229985197191678-0.05742497692518189j),(0.06646206215765438-0.04633187912271471j),(-0.010611370628271211-0.088745626047208j),(-0.04651401855306944+0.05894671412942503j),(0.024558973973357382+0.03652711788946357j),(0.0192808131315183-0.032093708618571234j),(-0.04222722157191504-0.00845511325734303j),(-0.08515744337108126-0.07768535198111025j),(-0.012419610428264961-0.004743134650880479j),(0.013800683048072523-0.0120760047967586j),(-0.026719672676754815-0.0347742065278124j),(0.04823612849934498+0.02835716219541691j),(-0.042564845249162105-0.05826579072447359j),(0.037446373840968175+0.0010587170426614374j),(0.005360838863591692+0.0024841192368057325j),(0.013791715172398848+0.038058802517469945j),(-0.012247098666662806-0.007685685091789233j),0.3206371732022979
8,0.555454955477838,0.005301479001528416,0.016278641786938473,0.08478311756838232,0.037371804612941276,0.00923828361132942,0.015137870411025895,0.06942268856719994,0.12978959866735093,0.11975151328504183,0.051939463708415165,0.03955580182931064,0.020098671227657385,0.03371794809016971,0.0011569731004764483,0.002982593753452568,0.04446705074523266,0.12425928893565014,0.10048807919019677,0.22140365231460932,0.7456011646948748,0.0035344935586253384,0.12747515170594415,0.08913279312178062,0.07274080928098728,0.056389497391560815,0.05719921052528679,0.005175044888541577,0.02128497302002575,0.04950679963969028,0.11804434516439519,0.011460156203802786,0.020719652191632028,0.0454370061487993,0.0473754441452415,0.07738926659935003,0.03282222780807269,0.013544810458348207,0.04577008592859633,0.013023502955941183,0.30853020756488697,(7.6136015019718775+0j),3.6001103493725486,0.555454955477838,0.6074938365017329,(-0.0012893653904014792+0.005142296811122591j),(-0.011170855221496861-0.011840868720149533j),(-0.05832051970413558+0.06153774456424018j),(-0.03234953041408567+0.01871255359420529j),(0.008726914806462142+0.003030980376727892j),(-0.00036345873698191006-0.015133506478259584j),(0.052748772305797866+0.045133986175935364j),(-0.10133488789371699+0.08109611838922892j),(0.11964113760034052-0.0051403431552702805j),(-0.044173406013542804+0.027320653203766494j),(0.035207014577750814+0.018031294542592793j),(0.006060345785738643+0.01916321460702099j),(0.009226843550400913+0.03243093247977622j),(0.0011569664727710993-3.916134533827835e-06j),(-0.0006876179320198453-0.0029022486243771447j),(0.010451152458444194+0.04322143003498904j),(0.07369551770328936-0.10004669688319325j),(-0.09621939080564078-0.02897728234887853j),(-0.1204871690804323-0.18574826875433248j),(-0.04079691045347752-0.7444841898199079j),(-0.0034731463188153325-0.0006556671137578219j),(0.004269688322781316+0.12740362657349977j),(0.07844540700845577+0.04231988810202432j),(0.06717723983556931+0.027900605422237067j),(0.01010860709982349-0.05547604418642557j),(-0.03523613738936287-0.045057344646506j),(0.0029896692111502313+0.004224093702360385j),(0.016940273292691613+0.012887094988093453j),(0.02014876146930947+0.04522113025806971j),(0.03527084636241362+0.11265183008797454j),(-0.011207230772070973-0.002394401519608802j),(-0.016079815129816353+0.01306688686463348j),(-0.02444960746381076+0.038298018520957385j),(-0.004146471707107508+0.047193638134191924j),(-0.013210561954176048+0.07625339099109069j),(0.029140060402857534+0.015104817708361605j),(-0.010274870617214604-0.008825470194390719j),(-0.04500809469583601+0.008316981289010462j),(0.0006147114813509665-0.013008987625411288j),0.32422608437658823
9,0.555454955477838,0.001847505027626877,0.01992414211509202,0.0690684091222382,0.028071171413794456,0.03451583236733339,0.0017498666523429606,0.07180294869724067,0.12380027072126669,0.11962362507863188,0.06441160658949273,0.03513323646865793,0.024167997033206212,0.006009025575782244,0.0026700729588368583,0.001699541186283347,0.02813800630032854,0.11725666917667962,0.09049104403258038,0.19336467450579536,0.910711707578188,0.036029892934868385,0.11792141208945403,0.07222646535087468,0.06645400982679352,0.053554154897848864,0.03730651439537033,0.026975260175938796,0.031403671803961655,0.005442272086480172,0.10335789975483653,0.024436745473626294,0.02497317920313492,0.03979723693686711,0.023584588128146917,0.06361312497880718,0.06918419257311856,0.007031974722527104,0.028327323099091705,0.012226198531856728,0.30853020756488697,(7.6136015019718775+0j),2.844280288787946,0.555454955477838,0.5971492058141352,(0.000339839021297671+0.0018159802495374307j),(-0.018158757073656998-0.00819945001584225j),(0.057503669452499254+0.038259288260167376j),(0.024601803786196835-0.013518206797060848j),(-0.007819937222372531+0.033618317415480686j),(-0.0017408082541596607-0.0001778199179832043j),(-0.05174017472970718+0.04978571843970865j),(0.08303214372685802-0.09182684868153385j),(0.012884682549037267-0.11892769497708942j),(-0.05966445506231116+0.02426948424579795j),(-0.015022194339439777+0.03175969115074545j),(-0.007638865601783298+0.02292901683271562j),(0.005964662775679943+0.0007288253170843956j),(0.001972146570755155-0.0017999798634902827j),(-0.001433234726199109-0.0009133884515858363j),(-0.028111909950785583+0.0012115764425950067j),(-0.09282779333810025-0.07163886689771301j),(-0.03912512210360514+0.08159567311128936j),(0.08859582639588322+0.1718740145919758j),(-0.9056018372743591+0.09633860412775513j),(-0.016604573673020866-0.03197563631947457j),(0.10683819661636346+0.04991051164768902j),(-0.04694267573459176-0.054891233288732647j),(-0.053962085907780837-0.038784387407059175j),(-0.004248329289552513+0.053385383814957436j),(-0.012619004452648823-0.035107502659061395j),(-0.022837411251845578-0.01435678616103432j),(0.030127045968188784+0.00886293991864868j),(0.0009201703378718518-0.005363917599346772j),(-0.0974735732378688+0.03437670667723517j),(-0.021803797402865567-0.011033990581724629j),(0.02010792336134665-0.01480983111335508j),(0.004193468601259369-0.03957568557712414j),(0.008572963331940516-0.021971278908691955j),(-0.0523149748432492-0.03619078718015877j),(-0.04309075509558618-0.05412614273423303j),(0.007029634909021432+0.00018138782794715292j),(-0.026811202827439942+0.009143119648468506j),(0.006569719036271216+0.01031109704759058j),0.3204618054563445
