,0,1,2,3,4
0,(0.1750739350957589-0.12280529808683906j),(0.1476427297459496+0.48332353353978347j),(0.1-0.06j),(0.1-0.06j),(-0.31678681634671535+0.0829348420823563j)
1,(-0.1438027810874839-0.05344707888051023j),(0.012396744189975191-0.14775686916582198j),(0.1-0.06j),(0.1-0.06j),(0.38633513851599227-0.5445224060024195j)
2,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
3,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
4,(-0.018627562236402242-0.08508599702641007j),(-0.25875695725731584+0.559081855014511j),(0.1-0.06j),(0.1-0.06j),(-0.10630351648134322-0.062410532301710515j)
