,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
11,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
12,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
13,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
14,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
15,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
16,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
17,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
18,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
19,(0.10987887164058704-0.049151395330982305j),(0.10084319829605398-0.061029106031371884j),(0.0993921963140154-0.06821465671162537j),(0.10222168926088984-0.06904710195542192j),(0.10145298278560123-0.046098857158297035j),(0.0949475701456479-0.06363165756428875j),(0.09490222886508919-0.034389927056336804j),(0.08507192292876808-0.041578682203018365j),(0.09815925888862861-0.04969828383515613j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10020296512098974-0.05740357262878028j)
