,0
0,0.02740381703501658
1,0.026227265510398192
2,0.02648554375710767
3,0.02917681738795985
4,0.02732032416238744
5,0.03076425708005025
6,0.030501229457242172
7,0.034222939285084714
8,0.03800536688731024
9,0.035277593910251086
10,0.029717955322535742
11,0.028020718967005684
12,0.029803327295926788
13,0.031123926162624244
14,0.03169006955919723
15,0.032148843065485676
16,0.03165942171836408
17,0.026645094662738514
18,0.026821956124738373
19,0.02689372497927133
20,0.025444318561348215
21,0.024005702730676655
22,0.02570077048320482
23,0.022016135189146892
24,0.02397147477219164
25,0.021684634370630496
26,0.023634935938223887
27,0.025339574017143294
28,0.02877288276274848
29,0.026566427571144094
30,0.027781989734894784
31,0.02427657618450607
32,0.024775713760432527
33,0.02087793924129852
34,0.02244899469278176
35,0.024797888636765564
36,0.024449081120107394
37,0.02650739131703195
38,0.02350678390282553
39,0.026729262381807634
40,0.027991121335472255
41,0.02769813718586518
42,0.028344509648190856
43,0.029742118151979857
44,0.029382032025101062
45,0.022529895642486968
46,0.022848708221846526
47,0.02168549744477145
48,0.023622927054111276
49,0.02644281342318394
