,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,1,1,1,1,1,1,5,5,5,5,5,5,10,10,10,10,10,10,1,1,1,1,1,1,5,5,5,5,5,5,10,10,10,10,10,10
,,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105
0,0,(7.364017283683269+0.008084923516558096j),(6.772707657019634-0.002383433652283773j),(6.2506246686910085-0.013683446117830234j),(5.952623621702035-0.012640540737971051j),(5.775032602611712-0.02867234917758532j),(5.557204846485931+0.003652334377687083j),(36.77894346854262+0.003915412002009289j),(33.8469891076285-0.039868891811845164j),(31.271529178217385+0.0925563646860752j),(29.833206833573378-0.16238357806519738j),(28.895820844587508+6.05397505424321e-05j),(27.81128806292754-0.04595085066942595j),(75.85382841366729-6.206626539025137j),(67.64447799239177-0.08749079058059905j),(62.363805353104+0.05284450345301295j),(59.7150833396834-0.03279378759626894j),(57.853477955223646+0.12828737937022794j),(55.6708886423644-0.023131496505190086j),(7.377916299028517-0.0020462102179526938j),(6.76980394361558-0.00817274152129932j),(6.257401069794952-0.003857072118495175j),(5.987529210299161+0.0027066368671371244j),(5.798620664414001+0.0025474026900664803j),(5.5813322289864-0.008615314960032094j),(36.79683201545328+0.009790208027673497j),(33.825342981880155+0.03357742250430462j),(31.1689836733207-0.04576998485377026j),(29.92427102035901-0.002349828229647688j),(29.21426582692139-0.21099825762681768j),(27.77794965613921-0.11979823823381075j),(73.55269505040783+0.004436638801321946j),(67.48684145402596+0.06945824617499596j),(62.455346215921764-0.10562913475682123j),(59.65109261835837-0.11213403127502186j),(57.93311622935549-0.03175463632431175j),(55.708525564062+0.0010367980232226515j)
0,1,(0.4920593698056517-0.009604949428562881j),(0.40211107668439894+0.00047223852713220577j),(0.33110373962287076+0.03634546387117765j),(0.3170863255440202-0.020168727641721534j),(0.2609731585784483-0.014168583253694175j),(0.26063085017508636-0.0021391491755286124j),(2.4659232162761597-0.015249645948293034j),(2.1618637853094924+0.18392122946152722j),(1.6718716224720152-0.10312627463140045j),(1.2526779542111584+0.22125294087093833j),(1.4878067543063023+0.0796468054331545j),(1.3433754699931038-0.005571222191152414j),(6.976230291864596-3.3603627995470724j),(4.020746221587425-0.005200585058668494j),(3.4980778728158803+0.14920478178285923j),(2.970394395960005+0.08263623481872773j),(2.8585473482392825-0.08398531322226965j),(2.633901100690485+0.07912294878176751j),(0.490160854241444+0.0011157303708140263j),(0.39292832536461525+0.004962296691940391j),(0.32942632666657584+0.012412264307133047j),(0.31337815642973127+0.004915869907868534j),(0.2643669536793003-0.02545998194756771j),(0.2634940508061312-0.006629063485774023j),(2.437146872802471-0.03221289321403296j),(2.070682496724545+0.05399046607044533j),(1.6315945949737658-0.0017071968327400724j),(1.558832937313411+0.01025081383941294j),(1.326202330076631-0.05378746798074607j),(1.438746507284825-0.009429939038186202j),(4.919148133690349+0.05079519658367628j),(3.8441631162951913-0.040214723427892896j),(3.431946294227036+0.052346276787701984j),(2.665675556034774+0.201194877713962j),(2.848119384454403-0.14107315835469691j),(2.3814294479721525-0.07562153672527198j)
0,2,(1.125304955818097+0.0020623339868113266j),(0.9571964362483714+0.013068434824137866j),(0.8256138675054705-0.04004751203368978j),(0.7501049351369475+0.002358348621634865j),(0.711263184378353-0.009687866925105704j),(0.6429811257786011-0.009823596959904257j),(5.686609504445059+0.0015497853644603765j),(4.753170059949078-0.0015721395056941811j),(4.241478717096606+0.04553496743981178j),(3.601804279332761-0.20434859180081538j),(3.404141026807441-0.008811244913039973j),(3.247997139202803-0.02285043626769645j),(15.473501939889147-5.317582822745018j),(9.589954975565119+0.024054127676954362j),(8.238123951095833-0.0035791692924647123j),(7.472623743536044-0.0732526958828088j),(7.033642079315781+0.015532788704329725j),(6.481883708094937+0.018244372710720658j),(1.1226344347932005+0.00201749873553917j),(0.9335331281417029-0.007452656763338537j),(0.8063073764774018-0.002508994913659246j),(0.7381742062846449+0.0006129994917683512j),(0.6852121706677554-0.00014404528000400152j),(0.6394168196569106+0.0009731802622364172j),(5.632091865498529-0.023736579338128255j),(4.816123185577071+0.07166119190278408j),(4.021330962209645-0.10972739577594003j),(3.789229087367213+0.08856535728844572j),(3.6715209017032926+0.1671057976758792j),(3.147885310004111-0.055862586376786594j),(11.352540096247113+0.0180898891233178j),(9.415230971976353-0.02511168658905838j),(8.164780958184256+0.12908849917936482j),(7.814950292291742-0.1276115690681342j),(7.043749052501072-0.03816994474321689j),(6.52059911013229-0.05523317291553542j)
0,3,(0.4769331798175358+0.0015813824763183937j),(0.4079770977797388-0.0003873589637479538j),(0.3679722464634585+0.0314238755265837j),(0.3070199930036366-0.0036958447670802086j),(0.30265735518581016-0.040709304940976784j),(0.2640913329128834-0.004881084950453571j),(2.4618199737795834+0.001088733591054103j),(2.1504552058413395+0.05483311527630064j),(1.8070567844167662-0.0369069801427383j),(1.5232470327440524-0.0039026518929084625j),(1.388786608526618+0.010747196476729282j),(1.3021247366634685-0.008011501691539025j),(5.9011245765753415-3.850368863361365j),(4.019899102604516+0.012390856522218385j),(3.19211812212745-0.08284074493800397j),(3.1560017045363713+0.027796533805831247j),(2.8404766350449444-0.004169801923430638j),(2.630991462440929+0.05558146883177595j),(0.4901425872828145+0.0008029988462778533j),(0.40158517884490336-0.014720172193868288j),(0.3384313777272612-0.0009757372496579375j),(0.3218867126519069-0.0018205354348220792j),(0.2925672233454432+0.008292629738310603j),(0.26660658000722487-0.008511943217405588j),(2.4439136196805173+0.019965346134405565j),(2.0375213694498133-0.018974659112258596j),(1.7380766464805055-0.08280925174320514j),(1.5297221546365252+0.04028018752424105j),(1.4931655805362276-0.029894833088436323j),(1.3148817609825145-0.028513812879749162j),(4.8949900140168685+0.048768180891480224j),(3.897408471564856+0.15491559492175933j),(3.277773603729385-0.13612793870690043j),(3.0973170596065036-0.1459713911481469j),(2.892105838515619+0.02222590948902159j),(2.763151597712798-0.01013674494837849j)
0,4,(-9.458314789419985-0.0021236910004605036j),(-8.539992267657588-0.010769880926488562j),(-7.77531452191204-0.0140383812573448j),(-7.3268348754038275+0.034146764511439276j),(-7.049926300250166+0.0932381048087696j),(-6.7249081548703495+0.013191496929890079j),(-47.39329616294114+0.008695715002318138j),(-42.912478159172906-0.19731331328177326j),(-38.99193630214578+0.0019419225170214105j),(-36.21093610023627+0.14938187795647212j),(-35.17655523460209-0.0816432966484335j),(-33.704785408658964+0.08238401097071524j),(-104.20468522443247+18.734941019468945j),(-85.27507829240562+0.05624639118246222j),(-77.2921252987706-0.11562937113763638j),(-73.31410318355974-0.00438628498150706j),(-70.58614401786761-0.05566505299518809j),(-67.4176649136825-0.1298172937767319j),(-9.480854175464684-0.001890017749626341j),(-8.49785057585213+0.025383273871039225j),(-7.731566150338888-0.005070460109837249j),(-7.360968286111905-0.006414971006242887j),(-7.040767013255008+0.014763995758785065j),(-6.7508496789432275+0.022783141516766303j),(-47.30998437410733+0.02619391800372406j),(-42.74967003405811-0.14025442208753347j),(-38.55998587756482+0.24001383025143408j),(-36.80205520020237-0.13674652993203518j),(-35.70515463793544+0.12757476172210502j),(-33.67946323450473+0.21360457621660878j),(-94.71937329457084-0.12208990562117217j),(-84.6436440143465-0.1590474305179299j),(-77.32984707209614+0.06032229763438224j),(-73.22903552714196+0.18452211409264763j),(-70.71709050523836+0.18877182958662786j),(-67.37370571914548+0.1399546565309664j)
1,0,(0.48070522797163345-0.01834134442533225j),(0.40581275298492053-0.004386570336699383j),(0.35021604774453985-0.002746030679640417j),(0.3024438242114377+0.013814999863715038j),(0.30053439708140284+0.005509761173001615j),(0.2557607559793734-0.0027574372399858937j),(2.465737825896216-0.016383620671519106j),(1.9951265278585368-0.08107029030168111j),(1.6974211271072857-0.03741605453458652j),(1.5846137886965632+0.23134681878782792j),(1.4267106571992314-0.016193756102076712j),(1.287474521369618+0.028813225141996468j),(2.3308204153415364-4.8897909598910045j),(4.0846965878598525-0.09412949871806298j),(3.627495232276699+0.1515727307074557j),(3.0104348396181906-0.039287872938440827j),(2.9211443931984347+0.13978419465188596j),(2.6526356530009947-0.0014180584105984995j),(0.4894167373119724-0.0008694939247330807j),(0.4016693476292294+0.0043736450885306435j),(0.34564107876258054+0.00601031732210186j),(0.305654547131482+0.002959013492173028j),(0.27854200073034785-0.0006266056710458878j),(0.26382697979868985+0.00596028796258824j),(2.4857262885876166+0.008959318000464345j),(1.9827343087815033+0.02170770075388484j),(1.7484781277420673+0.022862959176669917j),(1.4410224812906312-0.025955259353794533j),(1.3441148262882892-0.05944567094173814j),(1.2319288707315723-0.05328696176850167j),(4.905748263698825-0.005875235418851266j),(4.055127114951151-0.02731019910496927j),(3.3919970888236204+0.031112788809494973j),(3.1102493082566154+0.017534034904785334j),(2.8712088021710276+0.041136892950817794j),(2.619465075078078-0.007037261114279714j)
1,1,(7.34099379439679+0.009055802401050528j),(6.754820565827032-0.004972676606264104j),(6.263025342524896-0.014073788399020515j),(5.941914525436934-0.007873877292468023j),(5.7952911169801125-0.020391949778554852j),(5.564553636363193+0.002517293360660311j),(36.74260617707926-0.03684552424699561j),(33.74925034946715-0.20022418015070542j),(31.32427224533316+0.07680672487053286j),(29.906120825855144-0.23590509224390566j),(28.89219862672193-0.12410059984353916j),(27.835902324040898+0.038625705526297516j),(72.63342425413731-3.156513515467374j),(67.67531704030678+0.024846038839161366j),(62.75603484400533-0.14163589608143567j),(59.65905266799434-0.036718686719387605j),(57.828463077757455-0.08761128612419j),(55.63005308113945+0.09004627547653143j),(7.375971201703649-9.59538507263602e-05j),(6.7787193409506905+0.0010142247963546014j),(6.279260488405755+0.008698373581576435j),(5.987901902071145+0.0034705777102424507j),(5.7976004800467305-0.010502423859795051j),(5.574682330271386+0.00338648198432967j),(36.774469974169044+0.016265130474305778j),(33.78389149791169+0.0048523023281443756j),(31.29290339276678+0.15605043739309465j),(29.810562028800014+0.021729985349492387j),(28.9154418651725+0.05962208785772205j),(27.898076347072468+0.014031827395315943j),(73.59006786779834-0.014268415715907423j),(67.74313647570551+0.018222343341425362j),(62.42448140515733-0.007619276986626566j),(59.17229026702873-0.26389425699178304j),(57.85932257623664-0.0023460188457420372j),(55.8373564145372-0.5743329358073019j)
