,0
0,0.01815793427070873
1,0.017837447610401902
2,0.017261989507754212
3,0.017596030068487766
4,0.01653697978388492
5,0.018061983560866003
6,0.018051271685280378
7,0.0181250689211555
8,0.019586519589504102
9,0.01900397076628745
10,0.01767621154781918
11,0.017664217301505702
12,0.018187556795676588
13,0.016630345108353397
14,0.017722782268558137
15,0.017630434131044266
16,0.017889788946282303
17,0.01829995495027587
18,0.016850371214005243
19,0.018095383884524318
20,0.018713111667730018
21,0.018947971481106524
22,0.01858194000455036
23,0.016920581243950874
24,0.017586057158920913
25,0.01759652852392811
26,0.01735488809545254
27,0.018794914626932415
28,0.017275672425418557
29,0.017298006671728327
30,0.01774635090093606
31,0.018385275788055707
32,0.01876216499903848
33,0.0180214423498397
34,0.018250610011656006
35,0.018357773721613832
36,0.018732664076968816
37,0.016727002773289677
38,0.018086543445574463
39,0.017661047222550862
40,0.017040596390329597
41,0.01636166711031424
42,0.01721466189094863
43,0.01805513421246701
44,0.019251312818683322
45,0.017979760751860207
46,0.017434974628723378
47,0.0178946773901737
48,0.019912492697208798
49,0.017418538306241408
50,0.01774091241914661
51,0.0197378951537002
52,0.018114611347611966
53,0.01856036428370318
54,0.01886797602934737
55,0.018416267432681342
56,0.01802183430796628
57,0.018288027588339324
58,0.01720994565315685
59,0.017439386939385477
60,0.017611362594653568
61,0.01761823019729937
62,0.017491862481874485
63,0.017428685910500716
64,0.019105541624828658
65,0.018689911977914284
66,0.018480185973984452
67,0.0160002866190029
68,0.019846018899207344
69,0.017514068718557856
70,0.018385063275564984
71,0.019221188167540006
72,0.017743205756946184
73,0.01832417998600742
74,0.01916679412837557
75,0.015737538371223117
76,0.0166767717162792
77,0.01764050375180601
78,0.019095798202052948
79,0.017847828878112235
80,0.016394375539349908
81,0.018102052495104812
82,0.018810507302514247
83,0.017854852295054787
84,0.017877844436974613
85,0.017424539467035163
86,0.01638023368430732
87,0.01924151065236742
88,0.017324534665356946
89,0.016833821054096615
90,0.017645048887962707
91,0.016507546913615518
92,0.018681014590878276
93,0.019269499577633444
94,0.017611807184160687
95,0.019857736792287792
96,0.01773377146850848
97,0.01889232703845517
98,0.01718306182010983
99,0.019308884978202368
