,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,5,5,5,5,5,5,10,10,10,10,10,10
,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105,0.12566370614359174,0.18849555921538758,0.25132741228718347,0.3141592653589793,0.37699111843077515,0.43982297150257105
det,0j,0j,0j,0j,0j,(-0+0j),0j,-0j,0j,0j,(-0+0j),(-0+0j),(1.0363335705253867e-243+0j),0j,0j,0j,0j,(-0+0j)
