,0,1,2,3,4,5,6,7,8,9
0,(-0.0008450012912144936+0.007772603547543607j),(3.540172841959919e-05-1.3027614914380832e-05j),(0.018395790034547412+0.009407181057047381j),(0.02003425224226672-0.02152176438224141j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(3.670541368914564e-05+0.008267224825234534j)
1,(0.03416711913244716-0.015663570083873535j),(0.11565912381381357-0.0345723631696197j),(0.13345917844068506+0.014408272050694447j),(-0.028483593052208264-0.01171380552469922j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(-0.001659462877434666-0.0397875996519438j)
2,(0.0026051491232150286-0.014863706044027307j),(0.18553627093863667-0.023467297073976136j),(0.15891111932714805-0.01706271735755066j),(0.02165704997368263-0.056768603541083505j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.07070304830156886+0.0436056924240035j)
3,(0.02906525078062048+0.024320989019026136j),(0.07338649968347848+0.013468752506629447j),(0.10056353553904714-0.015283499294513284j),(0.037677103742353016-0.022081298918701527j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.045104248107962666-0.015394471090112577j)
4,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
5,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
6,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
7,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
8,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
9,(0.0243774345673834+0.01897242779863328j),(0.04719650002586926+0.020956442532217904j),(0.05090416620962542-0.0378060482723413j),(0.10790104844957384+0.012893576403918156j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09808598510639824-0.0594654004773084j)
