,ampiltude,real_c_0,img_c_0
0,-0.0010776272689444367,0.0,0.0
1,-0.0008098231844462312,0.0,0.0
2,-0.0005944301826543168,0.0,0.0
3,-0.002869858792162532,0.0,0.0
4,-0.0021768719524408596,0.0,0.0
5,-0.006784125125054729,0.0,0.0
6,-0.006080368377857212,0.0,0.0
7,-0.00638269576834899,0.0,0.0
8,-0.0009652127036801352,0.0,0.0
9,-0.008631251055700782,0.0,0.0
10,-0.0266769184403543,0.0,0.0
11,-0.034432136289889316,0.0,0.0
12,-0.04172143665337222,0.0,0.0
13,-0.06991541027160421,0.0,0.0
14,-0.09590799917490674,0.0,0.0
15,-0.10877740702036168,0.0,0.0
16,-0.13561021927024863,0.0,0.0
17,-0.1594726661051265,0.0,0.0
18,-0.18557678408689018,0.0,0.0
19,-0.21836875113345203,0.0,0.0
20,-0.24844181819176428,0.0,0.0
21,-0.2559368171684297,0.0,0.0
22,-0.29848258641194053,0.0,0.0
23,-0.3394642321319004,0.0,0.0
24,-0.4198771140374544,0.0,0.0
25,-0.4604881126580777,0.0,0.0
26,-0.5129289487746679,0.0,0.0
27,-0.5885694144488184,0.0,0.0
28,-0.6124353581377293,0.0,0.0
29,-0.6319497796775952,0.0,0.0
30,-0.6705688397171689,0.0,0.0
31,-0.7376369163111177,0.0,0.0
32,-0.8391768471589429,0.0,0.0
33,-0.8724180109832819,0.0,0.0
34,-0.9128429454349969,0.0,0.0
35,-0.9613693238544606,0.0,0.0
36,-0.9938119996789531,0.0,0.0
37,-0.9967384548951203,0.0,0.0
38,-0.9967384548951203,0.0,0.0
39,-0.9967384548951203,0.0,0.0
40,-0.9967384548951203,0.0,0.0
41,-0.9967384548951203,0.0,0.0
42,-0.9967384548951203,0.0,0.0
43,-0.9967384548951203,0.0,0.0
44,-0.9974633094368487,0.0,0.0
45,-0.9974633094368487,0.0,0.0
46,-0.9965315024118926,0.0,0.0
47,-0.9965315024118926,0.0,0.0
48,-0.9967057043755748,0.0,0.0
49,-0.996510541257273,0.0,0.0
50,-0.9974868546133066,0.0,0.0
51,-0.9972915897414568,0.0,0.0
52,-0.9964242894814542,0.0,0.0
53,-0.9964242894814542,0.0,0.0
54,-0.9964242894814542,0.0,0.0
55,-0.9958549181129355,0.0,0.0
56,-0.9973553492902796,0.0,0.0
57,-0.997245168257681,0.0,0.0
58,-0.997245168257681,0.0,0.0
59,-0.9972287602967261,0.0,0.0
60,-0.9972287602967261,0.0,0.0
61,-0.9965503644865824,0.0,0.0
62,-0.9965503644865824,0.0,0.0
63,-0.9977081146016656,0.0,0.0
64,-0.9967460688830102,0.0,0.0
65,-0.9967460688830102,0.0,0.0
66,-0.9971625800009815,0.0,0.0
67,-0.9972278960257686,0.0,0.0
68,-0.9972278960257686,0.0,0.0
69,-0.9973344460442899,0.0,0.0
70,-0.996627514038124,0.0,0.0
71,-0.9970585618578666,0.0,0.0
72,-0.9972767327126365,0.0,0.0
73,-0.9967316265647195,0.0,0.0
74,-0.9972983236449287,0.0,0.0
75,-0.9970361389808898,0.0,0.0
76,-0.9972962223412449,0.0,0.0
77,-0.9966433063165646,0.0,0.0
78,-0.9964061467790118,0.0,0.0
79,-0.9966821809568449,0.0,0.0
80,-0.9971443454659039,0.0,0.0
81,-0.9973595179267755,0.0,0.0
82,-0.9967091431382725,0.0,0.0
83,-0.9970413516978486,0.0,0.0
84,-0.9968941185310933,0.0,0.0
85,-0.9971117097575126,0.0,0.0
86,-0.9966513321838573,0.0,0.0
87,-0.9966943321108636,0.0,0.0
88,-0.9975607751602997,0.0,0.0
89,-0.9973996942571338,0.0,0.0
90,-0.9971095152607928,0.0,0.0
91,-0.9976519306733868,0.0,0.0
92,-0.9969603812855875,0.0,0.0
93,-0.9967534447224692,0.0,0.0
94,-0.996905358660212,0.0,0.0
95,-0.9973005174823889,0.0,0.0
96,-0.9971357674346985,0.0,0.0
97,-0.996701460864582,0.0,0.0
98,-0.9967513407565314,0.0,0.0
99,-0.9971546276841262,0.0,0.0
100,-0.9969542616364726,0.0,0.0
101,-0.9974628404801935,0.0,0.0
102,-0.9975975369777186,0.0,0.0
103,-0.9971391250946351,0.0,0.0
104,-0.9966491949959498,0.0,0.0
105,-0.9969269817738713,0.0,0.0
106,-0.996996827646551,0.0,0.0
107,-0.9965445901665098,0.0,0.0
108,-0.9970266117203409,0.0,0.0
109,-0.9964959913013874,0.0,0.0
110,-0.997297479328006,0.0,0.0
111,-0.9968104417640196,0.0,0.0
112,-0.9971038778102931,0.0,0.0
113,-0.9966077091240926,0.0,0.0
114,-0.9972477128993947,0.0,0.0
115,-0.9970232925682027,0.0,0.0
116,-0.9968100080729663,0.0,0.0
117,-0.997351901137971,0.0,0.0
118,-0.9972763788633744,0.0,0.0
119,-0.9968599265624902,0.0,0.0
120,-0.9972109947868336,0.0,0.0
121,-0.9970881531169754,0.0,0.0
122,-0.9972852720474789,0.0,0.0
123,-0.9969268661206714,0.0,0.0
124,-0.997287981422518,0.0,0.0
125,-0.9965047535354575,0.0,0.0
126,-0.9969732136976646,0.0,0.0
127,-0.9971522657866703,0.0,0.0
128,-0.9973508189587883,0.0,0.0
129,-0.9970121874715934,0.0,0.0
130,-0.9967903020157566,0.0,0.0
131,-0.9972031426217457,0.0,0.0
132,-0.997179189273852,0.0,0.0
133,-0.9975039230761674,0.0,0.0
134,-0.9973184333330285,0.0,0.0
135,-0.9965827619700705,0.0,0.0
136,-0.996720047010511,0.0,0.0
137,-0.9975759649076897,0.0,0.0
138,-0.9970008207319093,0.0,0.0
139,-0.9969668199248649,0.0,0.0
140,-0.9971577990967906,0.0,0.0
141,-0.9975216899691612,0.0,0.0
142,-0.997654455359865,0.0,0.0
143,-0.9971174827936271,0.0,0.0
144,-0.9972193198991316,0.0,0.0
145,-0.9968775054023196,0.0,0.0
146,-0.996603792521206,0.0,0.0
147,-0.9971684017914506,0.0,0.0
