,0.0001,0.001,0.01,0.1,1.0,10.0,100.0,1000.0,10000.0
0.0001,1.3959768093547143e-05,5.987866425926301e-05,1.3707833897463539e-05,3.253859186008379e-05,3.6618545604370095e-05,2.256627782390706e-05,6.198695561453238e-05,1.4695997164597114e-05,4.6715497575632514e-05
0.001,5.236568421945135e-05,2.992998041905262e-05,5.125866899256979e-05,3.162210597990325e-05,2.0457057153936976e-05,7.492944130020981e-05,3.777230877130299e-05,3.0980634652019867e-05,2.433791894141361e-05
0.01,0.0001467898206269063,3.0321386197633513e-06,2.2535504055383777e-05,2.844669495412175e-06,5.203632303424619e-06,1.5203801780775783e-05,5.332223442187796e-05,3.1644501502308645e-06,5.5353613242953356e-05
0.1,1.2903733101297123e-05,8.057576048251696e-05,7.56425016700499e-05,4.2713056700023666e-05,7.942445869684207e-05,7.675604744408204e-05,6.358084438510522e-05,0.00013263544501586257,3.6111799511497263e-05
1.0,9.200065096028262e-06,7.3541908922307235e-06,2.2195847233420393e-05,1.214180490294395e-05,5.079154767742303e-07,1.1234191738151318e-05,6.962260195370013e-05,1.7204666473422186e-05,1.7818045584612573e-05
10.0,3.2659654030535154e-05,2.6906546557178913e-05,2.3640241022612934e-05,4.0824647358977805e-05,2.845581614517566e-05,1.8992188429634272e-05,4.788321479089329e-05,9.44803937290681e-05,0.00010835337951736825
100.0,0.00010294960551707364,3.699292108579829e-05,1.9094557218158713e-06,4.156595321795531e-05,1.9846329357278998e-05,9.824871120668386e-05,4.0428354707741376e-05,4.119046127193332e-06,2.967829273077738e-05
1000.0,0.00011279910418693554,2.6962738773561414e-05,1.575654462908915e-06,2.7045683877034198e-05,3.706831296216897e-05,9.657477024653206e-06,5.971056446374871e-05,2.4829741564245695e-05,3.121878537321844e-05
10000.0,1.1704897874102296e-05,3.625790849512216e-05,7.770938274692551e-05,1.436462549138825e-05,5.6209759676113983e-05,0.00010249824455042114,6.38338867666782e-05,2.6143342201064475e-05,2.015245201689254e-05
