,0.0,0.3,0.6,0.8999999999999999,1.2
0.005,-4.2331918791552396e-288,-4.191279088272521e-290,-4.149781275517347e-292,-4.108694332195351e-294,-4.068014190292413e-296
0.305,-4.027736822071689e-298,-3.987858239674929e-300,-3.948374494727621e-302,-3.909281677948139e-304,-3.870575918760511e-306
0.605,-3.832253384911389e-308,-3.794310282091e-310,-3.75674285359e-312,-3.7195473746e-314,-3.682721e-316
0.9049999999999999,-3.646284e-318,-3.6245e-320,-2.846e-321,-7.95e-322,-4.2e-322
1.2049999999999998,-3e-322,-2.6e-322,-2.5e-322,-2.47e-322,-2.4e-322
