,0.5,4.5,8.5
0.05,(0.05000000000001167+0j),(0.05000000000001167+0j),(0.05000000000001167+0j)
0.45,(0.4500000000000002+0j),(0.4500000000000002+0j),(0.4500000000000002+0j)
0.8500000000000001,(0.8500000000000003+0j),(0.8500000000000003+0j),(0.8500000000000003+0j)
