,amplitude,c_-1,c_0,c_1
0,(0.28807247467641683+0j),(0.22851418140204485+0.44772580486624153j),(0.30682514938698824+0.04118273669397521j),(-0.06940934022573705+0.24603708671297408j)
1,(-0.11684993355638221+0j),(-0.27287001779259396+0.16494171107813654j),(0.3688530987644909-0.35267120664971763j),(0.12210604220514568+0.08745783492009751j)
2,(-0.3647250837418281+0j),(0.019169037575372617-0.3200156233657715j),(0.2077624846391951-0.914644831171718j),(0.1253373492401809+0.17120356035621856j)
3,(-0.6905130546448515+0j),(0.1357063239697267-0.1756428380217151j),(0.17242563178918946-1.0233148379336416j),(-0.41460937897545647+0.18311902770439992j)
4,(0.3254871037181706+0j),(-0.17480063855278327-0.19842299127819774j),(-0.4847219559209116-1.0258397164991104j),(-0.10046245176875293-0.05618498137664757j)
5,(0.03729612746576638+0j),(-0.19912653573513878+0.059138242490729964j),(-0.44320334155416596-1.0045214110175196j),(-0.1053297588900322-0.1029813192304174j)
6,(-0.05785626470158588+0j),(0.06310232298966834-0.23072885735367038j),(0.31596953731345706-0.9134866534983355j),(-0.1391567092806169+0.0024171160905827067j)
7,(-0.005557652763146459+0j),(0.18109677836481172+0.33140521442589405j),(-0.17898030515004137-0.3537002609494781j),(-0.2386396244465641+0.2806092317596006j)
8,(-0.16260199119264007+0j),(0.39721803036389464-0.4802792537967261j),(0.12903172134580984-0.7805490445507806j),(-0.015815477621085317+0.2650471562167645j)
9,(0.028486124211203778+0j),(0.026507330313008764+0.03956358794042881j),(-0.23602659522097555-0.605076328169677j),(-0.012420625172049383+0.2904352790190824j)
10,(-0.10033453990994382+0j),(-0.18234755660784202+0.28822937261449605j),(-0.16823109848966059-0.9132166402403219j),(-0.36615409882743105+0.059591248416724585j)
11,(0.045830426138594865+0j),(0.07348739870182963-0.1212149688763084j),(0.06554430985671907-0.5919706853462469j),(-0.38637713059670714-0.05205107586874817j)
12,(0.1706279732770487+0j),(0.3037071801008544-0.031695496225476835j),(-0.5018286649204842-0.3495195560704815j),(0.355742201499227-0.11435870513444628j)
13,(0.5354246202827884+0j),(0.14181910444666945+0.006367480995956642j),(0.09073879622898967-0.8256820155713414j),(0.006489649572248513+0.03694193976963351j)
14,(-0.21286840958372588+0j),(-0.045310155313689586+0.29427560353501925j),(0.1979791679938303+0.06930786393269635j),(-0.24613040730770955+0.35577702013033624j)
15,(0.11758258162599725+0j),(0.1940683682930111-0.44614699265494395j),(-0.082343464391474+0.15066316818411168j),(-0.13807499296618408+0.10180532526470126j)
16,(0.03224990414454729+0j),(-0.0065615569457400935-0.10739864829707713j),(0.4615166069304739+0.4871586565708087j),(-0.4049534396133984-0.12770377086400655j)
17,(0.13609620808564368+0j),(-0.37797097688902626-0.13394135566359774j),(0.26725589982592324-0.3119826083950088j),(0.25253324832794305+0.22281120934027543j)
18,(-0.07964308672909717+0j),(-0.2480210696552252-0.015539242612689321j),(0.6772901419993711-0.07761621634208209j),(0.301315668249295+0.41977952878652924j)
19,(-0.1743877859740402+0j),(0.18635335325675603+0.09024491121014949j),(0.8635851481245176-0.7062104241841596j),(0.014774897051733099+0.2540499789453497j)
20,(0.11882571031594835+0j),(0.3702844591809837-0.009856846784534926j),(0.0484876227347673-0.9796949867804949j),(0.22918563781910578+0.11799063219838382j)
21,(-0.4607742243106693+0j),(0.16803675542565472-0.00017888454032655848j),(0.07648916114598056-1.0715665378867867j),(-0.19678488093061985+0.1978649883752256j)
22,(-0.18287596216315705+0j),(0.42968479045854735+0.017403686128686896j),(0.25539501024431865-0.7197799944988045j),(-0.26022392573624087+0.2809030071746311j)
23,(-0.11480229113182991+0j),(-0.04344567594889831+0.06435633351152559j),(-0.3525110073852995-0.13975038412439378j),(0.3713977988936888+0.319920512706019j)
24,(-0.13592766186690683+0j),(0.15810504691738575+0.1363320968274102j),(-0.767243428462097-0.46356244405672126j),(-0.27406991658289476+0.09902454395740579j)
