,amplitude,c_-1,c_0,c_1
0,(0.30752307120828404+0j),(0.17020513307429497+0.31755661012247266j),(0.7389453117875815-0.761595786450644j),(0.32226065409188787-0.0036052231355920526j)
1,(-0.20985051717762096+0j),(0.0274158193092916+0.4213396961365193j),(-0.5082493854717767-0.1470099589403429j),(-0.17611434310363575+0.0568334278808834j)
2,(0.05617645453526071+0j),(0.08690768579479052-0.0369550386065612j),(1.182478664439811+0.35529950944589606j),(0.12143019059770233-0.29845024280793875j)
3,(-0.19237080200460366+0j),(0.0994234618937096-0.07389681830160912j),(1.2931145395352426-0.2592441308812063j),(-0.059632581701912185-0.12133322136842925j)
4,(-0.04058237574532095+0j),(-0.1550748676877147-0.24234247344657944j),(-0.7211421262760587+0.04387914189249442j),(-0.12599481688649866-0.11599387234400499j)
5,(-0.20655355154685562+0j),(0.019850095968316772-0.06422541953449916j),(0.060795095786146613-0.4519697337203169j),(0.07902973733088689+0.36655620567247077j)
6,(0.40282613805357287+0j),(-0.23556066493398867-0.37387090373482446j),(-0.6683706788721372+0.3009421862896532j),(0.5014736122563759+0.017391826804281273j)
7,(0.2842370637915452+0j),(0.05026077321199485-0.21511013354233768j),(0.18317707281334772-0.7018627839066064j),(0.24264570927222254+0.33649426116877323j)
8,(0.09879856682290206+0j),(0.045305958653206-0.3246244797567228j),(0.6837928702867627+0.06539755600522065j),(-0.009528767171729197-0.09919969130098068j)
9,(0.061426745452269976+0j),(-0.43826533570460247-0.06766122836578523j),(-0.7415796100470227-0.7316469604440329j),(0.06228481981201636+0.2633010552320736j)
10,(0.1807173480248342+0j),(0.004725876537503865+0.04238738541097792j),(0.8177695984814123+0.11176604339615043j),(-0.15614115672198509-0.05024286388135846j)
11,(0.47642729477141754+0j),(0.12046690160349408-0.5348449725498857j),(-0.012547201186375284+0.1429265221123669j),(0.321323483880719+0.12442173727924832j)
12,(0.07736857375389644+0j),(0.06106784565002249-0.5343037360613054j),(0.5309710903516922+0.048379571415782974j),(0.15197674217445167-0.31326293781334236j)
13,(-0.5716074394669792+0j),(-0.21983372333530152+0.06433281105276706j),(-0.08799465727562694-0.7497889828490963j),(0.1286000801487181-0.11794312057377618j)
14,(-0.145092722148455+0j),(0.0531534953329689-0.06283847091149128j),(0.49354709035755456-0.33597820353799274j),(-0.09158976747452321+0.6665194719072995j)
15,(-0.5057633511941517+0j),(-0.30216936843418357-0.2231907237426643j),(-0.47900644493007394+0.7331855647461555j),(-0.4169476479120985-0.3280817321789072j)
16,(0.07915635580087813+0j),(-0.46653674966263736+0.3497509289149942j),(-0.269930533105799+0.7984139606316463j),(-0.3445315508529399-0.3556050213919678j)
17,(0.11508337157829657+0j),(-0.1386629883194479-0.3460912089089403j),(-0.505570993177459+0.33125009271659456j),(-0.19736926793656548-0.030509390728585585j)
18,(0.22533747359912737+0j),(0.36813348653948397-0.41457788051617506j),(-0.36128190706684765+0.12122847500329825j),(-0.30351821730544165-0.3651864348198199j)
19,(0.3118878961384105+0j),(0.23703035754450374-0.4522783603759527j),(0.10234836456159524+0.39364581428172624j),(-0.22783713085590718-0.12314464654616308j)
20,(0.42126753314754567+0j),(-0.16928898088034172+0.165767026206164j),(0.9376837649947963-0.016924002192054602j),(0.07340563261657686+0.22627615883067106j)
21,(-0.07620525310140738+0j),(-0.18825165695027854+0.30399966186101746j),(-0.5531392109833501-0.05837017298822706j),(0.18033863059435123-0.004443283880336275j)
22,(-0.049932742157314136+0j),(-0.030203714931177822+0.09294373318760998j),(-1.0988777587357283+0.2756585426280135j),(-0.2232294379632162+0.09069136635727437j)
23,(0.3211700354237619+0j),(0.00781173350178424+0.054950129214931004j),(-0.34482369653413986-0.13362051399389727j),(0.3535229936822935+0.22049897388222728j)
24,(0.3419772326988273+0j),(0.2525082579701528+0.07302694122569935j),(0.2605958476770889-0.2578590143637259j),(0.2807820548965959+0.49403585687402146j)
25,(-0.3112654795109634+0j),(-0.26175104432238655+0.24239653083324264j),(0.07665018881476493-0.11578985702537806j),(0.10314354358278541+0.4185815655961215j)
26,(0.2905032668677906+0j),(-0.038685492564581994+0.08630184783501083j),(0.7302308969567712-0.41506453137085375j),(0.02950624788967668-0.5645484158668778j)
27,(0.22868855921482312+0j),(0.3107421730965556+0.019083692444560207j),(-0.46315818079296794+0.7551368485885472j),(0.22053805399511472-0.09786932713279753j)
28,(-0.2588563222640031+0j),(-0.14758085308895244+0.2660135466812715j),(-0.35324964747674675+0.56992811996564j),(0.3724427511583785-0.17239579806519087j)
29,(-0.2627444405483781+0j),(0.019661491338529402+0.26439021265311485j),(0.5512466364795445-0.934448355651779j),(-0.2824567486202374-0.27287920097790513j)
30,(0.5485114187845839+0j),(-0.1674038416445226-0.020363942315852507j),(-0.964737936596539-0.016095172684695666j),(0.17112872473326315-0.31132359445156044j)
31,(0.1486044389480814+0j),(-0.2125670920251316+0.19946946528543907j),(-0.8784323062666384-0.07442661018567664j),(-0.05041229291798638-0.20604996697532732j)
32,(-0.31202701846734415+0j),(-0.19371867572832746+0.1496545708521349j),(0.6075736258961306+0.17568919790772042j),(0.6087030984727548+0.001956785196813804j)
33,(-0.19896378637338136+0j),(-0.007830641579387357+0.16639466503931732j),(0.4632538987127724-0.7071064622842571j),(0.1253316884346493-0.07490560208466368j)
34,(0.025824599760208972+0j),(-0.1577143420866056+0.052080777778001575j),(0.12420282916438685+0.5657067605889144j),(0.472219173097001-0.07536584830809463j)
35,(0.14604362051702238+0j),(-0.06427915566540343-0.02311545767001283j),(-0.14114715994163857-0.6224736766069657j),(0.5281351731467502-0.10654410664977987j)
36,(0.2998232331015305+0j),(0.13241364104496775+0.10862743083857034j),(-0.7116212880086425+0.45804168194455025j),(0.22107526378558717-0.27909354564191935j)
37,(0.28014271982487066+0j),(-0.036386679907916525-0.3130813153542614j),(-0.6326205328662176-0.27565604560439416j),(0.21248198699101728+0.3309682013927443j)
38,(-0.10836434023855773+0j),(0.1089242635944884-0.18848058302679294j),(0.5471820738514851+0.4874319311783915j),(-0.19765746738308437+0.14836898174691318j)
39,(-0.20372162687020767+0j),(-0.24524783449475773-0.08830705719248177j),(0.6926060211260654-0.03495566481490281j),(0.28790784045132173+0.08316551419160668j)
40,(0.0940666987093488+0j),(-0.04573493104947207+0.0895865968418173j),(0.1324082266420721+0.011992331720176108j),(-0.07991046337153863+0.03234541611412275j)
