,amplitude,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3
0,(0.4130262655325659+0j),(0.053964860160996-0.07112178853217237j),(0.1344085211453193-0.31547912544707996j),(0.0771163228410678+0.42689215301788286j),(0.9054022934935922+0.020724064562156558j),(0.06560501282290823+0.05524942718118209j),(-0.17800580112462389-0.14336241538103994j),(-0.02814932279713489-0.061790558431250184j)
1,(0.08005417010047744+0j),(0.10423064057692714+0.03730782735710888j),(-0.06816952528143728-0.1855761998536885j),(0.055068022383294446+0.24255220469099006j),(0.6805169118407871+0.5447717578517415j),(-0.1964076825806394+0.04133168367116878j),(0.003887139430449528+0.19133295574555043j),(-0.09188846188429517-0.04974439332707311j)
2,(0.167502057590193+0j),(-0.08191667822282389+0.0466149662589251j),(0.2046643161897731+0.009909865281099179j),(-0.19140342522606782+0.25166014071729814j),(0.3793197898358076+0.9053026252250452j),(-0.10546645393895507+0.10408951704067602j),(-0.03522462600637439-0.1534291078742445j),(0.10353545273754382-0.02983985876330793j)
3,(0.024557409155455345+0j),(-0.13507237453792825+0.19041299981552873j),(-0.004427538824023854+0.07134702153568662j),(0.3675074618412562-0.07992385738425878j),(-0.6117071483725826-0.0537980510456009j),(-0.2882935621973701-0.45029270517251385j),(-0.19632032711941858-0.22111878469504345j),(-0.11356633363582884-0.06029723541099989j)
4,(0.5364060711562894+0j),(-0.06399671576865122-0.14651014891837036j),(0.32341550099688343-0.204471199028228j),(-0.01258651141149894+0.8024839148523844j),(-0.13768577995696785+0.12681669312216967j),(0.1465068086317733-0.330315302959647j),(0.07338749818786133-0.12271898355285714j),(-0.0735804682502004-0.08114249997403693j)
5,(0.03755174098635483+0j),(-0.032443702040011284-0.04127808599073898j),(0.08072811763238731+0.08398929379414691j),(-0.31743178954187456+0.05872349808104063j),(-0.6839818349527762+0.6422047975038975j),(0.05347814429488889-0.17807650737284386j),(0.04307559197135901+0.049390089509620774j),(0.0018798288936444363-0.05446810637568734j)
6,(0.23257407655984141+0j),(-0.11662063929193792+0.056973726357360345j),(0.12394432390434974-0.002459972092641164j),(0.08229594610973931+0.024188284644476504j),(0.8992332892374643+0.6501383081730809j),(-0.022979493640111148+0.09891070894814033j),(-0.026871195510565-0.2407588044601804j),(-0.08106875303109035+0.025084791989443113j)
7,(-0.29796025138159293+0j),(-0.05978985308589012-0.10432757600080289j),(-0.20481308906167123+0.0659521153944303j),(0.0637914548810016-0.218017986914391j),(0.6152409684972142-0.15020217737509797j),(0.04617528304439232-0.0608094896941875j),(-0.06384440336800576-0.04937765111209903j),(-0.06473944935778236+0.1641615982579234j)
8,(0.2893713915221943+0j),(0.0599263437045048+0.01632953571953289j),(0.017029797603607594+0.09103341023999015j),(-0.07128260697586021+0.009650248315448619j),(0.1901612357986212-0.3894549442791548j),(0.19245259078400373+0.04132475441956271j),(-0.14900072039117182+0.15474459581452216j),(-0.042576089523068406-0.09923009512274177j)
9,(0.23183546296505883+0j),(0.0018072228329711892-0.09450929938120775j),(-0.02498981397424698+0.021045755542618026j),(-0.08453094574230852-0.0533210546162801j),(-0.21621713373577886+0.6660692475280893j),(-0.35337119819150786-0.10859390051286708j),(-0.13688010481287552-0.03913336999079622j),(-0.048943644255163114-0.017782152609897316j)
10,(0.27425354446387407+0j),(0.01314852435608416-0.03107093774364878j),(0.2056549498191504+0.04469706156529578j),(0.4529159185335906+0.21483603748580488j),(-0.3362756431405438+0.5989790243097035j),(0.3425972561055125+0.14888415667555174j),(-0.11523635788539156+0.02415302988459975j),(-0.05736674133672858-0.08542340159658234j)
11,(-0.07955780489392544+0j),(0.11333063820914029-0.15901682675565432j),(0.06796506104165315-0.10042948154247444j),(0.0368203830876824+0.2637845922390343j),(-0.30964155454400055+1.1226220105082099j),(0.2303728114685693+0.11947137923137824j),(-0.03945060000155173-0.15377793245616794j),(-0.05543173969053995-0.06850352280051558j)
12,(-0.41912462096371617+0j),(-0.12500133947688924-0.019262507873672292j),(-0.013107631951164293+0.14662879051928066j),(0.09352962843913143-0.1335634535506711j),(0.7137997009136592+0.22434940966096537j),(0.376164885830129-0.22547592978530606j),(-0.06087919457604448-0.13042553413181324j),(-0.13820808844402385+0.0917687875778236j)
13,(0.19493466310962854+0j),(-0.21342678778794505+0.19174368132466602j),(-0.014653793653100412+0.06666859780065534j),(0.41727525346491023+0.2918605596515578j),(-0.42576326661694575-0.2532507915821332j),(0.07444595655033731-0.17222433215674102j),(-0.08260894362220439-0.03941958459304415j),(0.1307781297601831+0.04887381300695339j)
14,(-0.3179031922039899+0j),(0.0020054986562171584-0.15087926491029616j),(0.007885252859296763-0.08446647358176648j),(-0.13990557058052114+0.25831680787908573j),(0.33802498560838234+0.6024820091625682j),(-0.40895856910008926-0.0353015188484262j),(-0.06902437626312392+0.20774932140503333j),(0.20590837420358934-0.013893763673519658j)
15,(-0.11726320121699427+0j),(0.014836372410795513+0.0022740056001842365j),(-0.1066145578757198+0.15235604890938775j),(0.06124073124406518+0.20997975524803364j),(-0.37397158839799943+0.12235732755335733j),(-0.03681385632153023-0.32593391225492363j),(-0.15586882356173193-0.008965353388376784j),(0.16198562185005871+0.13071691290276627j)
16,(-0.3585268861567966+0j),(-0.1197806296691393-0.013933393577020635j),(-0.039180395184909074+0.12998551991798804j),(0.12471735122738914+0.3294144880497292j),(-0.5662006161364646-0.6324092876222016j),(-0.2376630138415473-0.20741099292152892j),(-0.03449049465380616-0.040001396617700705j),(-0.0028523899878893644+0.046684734433100124j)
