,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
10,(0.17218323536496624+0j),(0.20718567822122141+0.08822401423391073j),(0.023599796790441618+0.08177368841942043j),(-0.12155623398189336-0.12003833761481837j),(0.1731222924834229-0.3298170055568957j),(0.3908915912311476+0.3511856457457486j),(0.31564587487935525+0.009610390038075373j),(-0.01867934965657143-0.16469231853276006j),(-0.15676879210013517+0.13025523465120573j),(-0.030687878600240137-0.06868004610087002j)
11,(-0.09637946906723706+0j),(-0.022763944916583848+0.048465301270006894j),(0.09343061095382446-0.038347332158100336j),(-0.23383304674796154-0.15516989945239143j),(0.2432476020747837+0.18678446514454553j),(0.2620936830786152+0.8852353642101839j),(-0.05858856310832538+0.13842517654738806j),(-0.06581817187542124+0.0977357706438994j),(-0.020543922141165544-0.16985771121477955j),(-0.049121038148586066-0.08415909177174687j)
12,(-0.022243720008282203+0j),(-0.17433412992724875-0.036724231993989775j),(0.09036983374021598-0.024969334988893893j),(0.11674029040387633+0.11457806311079412j),(-0.08100263757299435+0.2769130271562042j),(0.49600408060689516+0.32136059912321197j),(-0.5855661245062234+0.25062507495502284j),(-0.026179701823651112+0.18618608970598965j),(-0.11548201742951385-0.0234577437370664j),(-0.0073532094112412506-0.10402539973846944j)
13,(-0.026319913767676797+0j),(-0.10610571294034872+0.11996046098681068j),(0.07010455984454511-0.0855769708612873j),(0.14888143321344285-0.06715841165841906j),(0.6347643483904363+0.17195853758971436j),(-0.2879285294727925-0.43737448072012536j),(-0.7237304226084533-0.015765395055157914j),(-0.05449216318399814-0.051800100375265494j),(-0.03201321408565108+0.10146248354122614j),(-0.0601338011078827-0.013737514812365306j)
14,(0.2628364739347675+0j),(0.019642109535825805-0.02854120603591137j),(-0.06158678576990452+0.00016207641763415267j),(-0.10770879801512956-0.02483812446470411j),(0.14081396480077743-0.026122259142694892j),(-0.24734801278296314-0.4840769544751296j),(-0.4660110920759867+0.1326050596843747j),(-0.10544274637906409-0.0013453328427148643j),(0.021255820014385765-0.1174326900233303j),(-0.015068465537087673-0.018393932998792065j)
15,(-0.03387023779351689+0j),(0.013580654457282704+0.057050979882619736j),(-0.0689997391807473-0.03034052175842991j),(-0.1322763087346407+0.12830715163312986j),(0.033887128792297674+0.20884496833061783j),(0.2861863202989596-0.6579467559852532j),(-0.18973206204070805+0.05834008287587194j),(-0.22195988976424358+0.03516131125340502j),(0.02826927437951024+0.014874853049897802j),(0.029263646836311958-0.009631276272128078j)
16,(-0.3476531686726153+0j),(0.07227549521821143-0.0018550312554229953j),(-0.004066446779517551-0.06409603832040096j),(0.07853970175643764-0.05431950655110858j),(0.012343043529055542+0.0008505584376793524j),(0.4891419821759164+0.1632069060716028j),(-0.11893464938472628-0.2438179929366526j),(-0.05600167484286911-0.1186323378306608j),(0.16087529819151034-0.15312405800428716j),(0.01863317556245158+0.06609545426512808j)
17,(-0.42220217365992263+0j),(-0.0014282109901812608-0.023994957335517125j),(-0.07683637655303943+0.057929119934310866j),(0.01989453672753045-0.05152383989909804j),(-0.11646053159075459+0.022076855620800143j),(0.5266733606784104-0.010399944622704771j),(-0.3176621349572371-0.1000260077828304j),(-0.05104947556711592-0.30873908850255544j),(-0.07323736363601291-0.06643144505812562j),(-0.048008226114886726+0.054863091138994693j)
18,(0.3185083707963893+0j),(-0.10429781467289954-0.03309376408133745j),(-0.24674915636191086+0.004077295358879851j),(0.08986375947209577+0.01359408706203228j),(-0.219588184855974-0.06996166214999429j),(0.18574901672266586+0.39809855188929966j),(-0.2411157620177196-0.023619855489406705j),(0.1533709212248413+0.2877255400254917j),(-0.047470271069180316-0.005803390508560619j),(-0.06311609489425439-0.033633166170856155j)
19,(0.2772884855502215+0j),(0.06059304936784811+0.13167859370440888j),(-0.04754906460751204+0.1297633102933252j),(-0.036064594762740515-0.1985207379071474j),(0.09655311024930738+0.014923186979479072j),(-0.5057771815627898+0.5447088305482757j),(-0.036054278307138324+0.16687283537366554j),(-0.10330567264925022+0.1656023805778325j),(-0.0567080469369418-0.13580512815062581j),(-0.10577362826352185+0.02770654222896659j)
