,amplitude,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3
67,(0.08451359908429001+0j),(-0.1088588926631413+0.16240462861870503j),(-0.2644980665909097-0.24586282276874608j),(-0.02241260668066044-0.4608366847830011j),(0.5806748217675683+0.42414460554781275j),(0.05219975200697781-0.18311332623177853j),(-0.07080426375823415-0.24261923232141422j),(-0.0955742774772194-0.03918047171057378j)
68,(-0.42861285505611024+0j),(-0.01761866008244653+0.011107885303330886j),(-0.05993844854478253-0.24768424125282787j),(-0.12881098934134744-0.36729443380588367j),(0.6934346931945697+0.2654659420998027j),(0.11301567788991093-0.5759146447731477j),(-0.08056971555352921-0.19445372738404712j),(0.028895112380197634+0.13186042009169732j)
69,(-0.03143063760135267+0j),(0.01830400514623011+0.021071428351102744j),(-0.10749613003272136-0.0620165597580421j),(0.06177872392682615-0.4990690182558769j),(0.8691929969683904+0.26881378390704086j),(-0.10894748004387295-0.5324219093922895j),(-0.05126497167981543-0.01643809744947887j),(-0.10852797299730665+0.14468378649080613j)
70,(0.33213577763997193+0j),(-0.06688925149344958-0.020850028412253915j),(0.07140877905899169-0.1481511343751751j),(-0.07533674631023302-0.18302069997697576j),(0.853182954893036+0.2994719318567188j),(0.0042325214053966845-0.4104763719960683j),(-0.07021001947211858+0.0585260684944021j),(-0.050721059355148354+0.13887538847568356j)
71,(-0.07653073944554369+0j),(-0.09858942170375158-0.023618154992442266j),(0.08623753789135219-0.18262600433469506j),(-0.0666801685915204-0.17171033003790476j),(0.7604626583673381+0.17554229409798722j),(0.05822260974298028-0.4164696112272571j),(0.11806735660841325+0.00970354114685841j),(0.26740238890192003+0.019504553969232202j)
72,(0.5258048063770476+0j),(0.0060140891600574745+0.08935064305090432j),(0.01597311426183745+0.1541745361036162j),(-0.09944092464254066-0.01863328645517135j),(0.6102634838687824+0.043668916266122335j),(0.14433690140468416-0.3068144782223719j),(0.060593419131711-0.06051054034726442j),(-0.0832530242369058+0.06296155917376418j)
73,(-0.04130273965553735+0j),(-0.11751227163130681+0.0869759470521743j),(0.048945534819089975-0.023490328371684844j),(-0.16618196257331713+0.10365452891119713j),(0.6412192725551196-0.16542741392733756j),(-0.07678699125672142-0.37246984346016465j),(-0.07833242267085543-0.12286949555593056j),(0.03952123940406444-0.004292156319670394j)
74,(0.43230088563568564+0j),(0.06692427440880108-0.09400485312256524j),(0.133642113791255+0.1276712912858471j),(-0.1562413939893014+0.20539401901569776j),(0.6471153181877131-0.46884794074425196j),(-0.10402436778851938-0.12406140740062008j),(0.003324177815881407-0.13010473145548354j),(0.07245424221952451-0.004092939895728051j)
75,(-0.055319021374792665+0j),(-0.11315762585861067+0.17964115783232038j),(0.014503864595434006+0.21432463795935383j),(-0.19912276128471182+0.05487068629084943j),(0.8684132068595073-0.4896868806335758j),(-0.17373644010825479-0.17753927682051893j),(0.11165296523851653-0.12085005058944848j),(-0.16681824385950073-0.03336724260515275j)
76,(0.20331230572448644+0j),(0.1536637487164382-0.04687148766101696j),(-0.11057566307676814+0.07624555756133858j),(-0.08748401057202371+0.16511954199875797j),(0.326431250982738-0.16314809690898235j),(-0.08739263676298287-0.3038863236692584j),(0.00850946548279503-0.17372980244721092j),(0.07052928740138883-0.1563369834451388j)
77,(0.30673062145444985+0j),(0.04832965486112131-0.03537304515824429j),(0.031397526833659886+0.09654191612683931j),(0.01658418782874717+0.33494125556656795j),(0.05047650187591665-0.1540325238638894j),(-0.25436418189037324+0.009278367354952105j),(0.15076845464130373-0.19708867244877357j),(0.08900505960458731+0.098861556708897j)
78,(-0.20461676298897136+0j),(0.009985841567863175-0.036318776572018124j),(-0.16723485372802666-0.10917469570939237j),(-0.11413292707570016+0.24141310718476483j),(-0.09361505258561365-0.520086658883954j),(-0.6368140882680347-0.12416430837885044j),(0.054686424566645644-0.17887755470102862j),(0.1370755007762645+0.04401667825427642j)
79,(0.31473628624548516+0j),(0.06577313483772207-0.04317904756218445j),(-0.18806994087223383-0.05051423935140183j),(0.013674353389290392-0.009450761582614958j),(-0.2367611788652207-0.32237510741278474j),(-0.499795571996824-0.25968418180301883j),(0.13134168857848577-0.06383065224443775j),(0.03326284507421952+0.012660055995044332j)
80,(-0.1623282488606258+0j),(-0.11975982278588578-0.10686609860697185j),(-0.0691345449126689-0.08409008766915427j),(0.2981555628994385+0.2586234481695616j),(-0.3434871516349915-0.7300258472627397j),(-0.2039499062168354+0.03942827088888349j),(0.07122942217136266-0.1234057106907629j),(0.13840342840942887+0.08029030094960919j)
81,(-0.37973148787922634+0j),(0.049353439201198675+0.06682690985724986j),(-0.2689257124554831-0.12830910439365245j),(0.16426279465932808+0.3158901802634635j),(-0.28703018869870506-0.8161250058745735j),(-0.043809196151678116+0.1355059973237178j),(-0.05417556904567785+0.09866180299954358j),(0.14990360978232306+0.12488570520723145j)
82,(-0.46771701213782924+0j),(0.04042036594196413-0.17174659359885985j),(-0.13036394613985733-0.12448220027071658j),(0.061221388942026986+0.5524632057883835j),(-0.33432002096626295-0.8570038838273664j),(-0.18937661760752203-0.12042625955145757j),(-0.11395740846139128+0.0542212434008858j),(0.09583454407056652-0.014041517390914499j)
83,(0.03265972517199295+0j),(-0.04906972834911612+0.03105157876132439j),(0.10826661653350891+0.06931673750280129j),(0.173511543264872+0.3429853669615679j),(-0.34578964133012535-0.7674849926776641j),(0.011825311307088372+0.08963732806413935j),(-0.118463183248812-0.23738348562681358j),(0.11061458948622559-0.03994888933659546j)
84,(-0.21160242867020362+0j),(0.03585351139706339+0.15882651228179162j),(-0.056858419024478996+0.05021591255895236j),(0.3674156833397733+0.4002596201966838j),(0.07895113024261646-0.6860712897740942j),(0.26095566650135044-0.022169368710252973j),(0.11581375931444679-0.07279658857474688j),(-0.018246801163227733+0.10024026923138889j)
85,(-0.21163469638894578+0j),(0.05771626760750521-0.015470952395054582j),(-0.09498818620049929-0.17027322502354375j),(-0.14625683865883782-0.23003352687210774j),(0.12957342401976527-0.22187854720690492j),(0.1656707198001839-0.02818100497905429j),(0.030834019264460364-0.0455226080147781j),(0.15039006777137476-0.020982649559573505j)
86,(-0.006433812414996576+0j),(0.04829610822603022+0.1334108119599468j),(-0.016808238437474393-0.19644028919565903j),(-0.03790968425437691+0.12573578367650615j),(-0.6049810797520643-0.14234606506705558j),(0.23179676479004532+0.10978331223448469j),(-0.26907195870993106+0.22660135511147877j),(-0.007153390580440608+0.07649250510624178j)
