,amplitude,c_-1,c_0,c_1
0,(-0.17894453033409802+0j),(-0.029989474285295428+0.26106752697920654j),(-0.7525360912262355+0.4917288379139109j),(0.4324360974677848+0.1531377313234451j)
1,(0.08083871487036948+0j),(0.012814386735974626-0.05640089144490554j),(-0.6270942548287672-0.021147185121191014j),(0.1356969580425941+0.03467631082341649j)
2,(-0.18399478035417255+0j),(0.43299830805759576+0.18547606780117715j),(0.25693995866441166+0.3074923804669806j),(-0.23212641867135614+0.1715240043894996j)
3,(0.1365826866914251+0j),(0.08222258492962253+0.014292859305395783j),(0.8879665232045516+0.46759031823028513j),(0.4490255532997928+0.04830580630310091j)
4,(-0.3702566925787991+0j),(-0.2407749849591251+0.24250243850704012j),(0.14081675436774047-0.9219871399626811j),(-0.06084088796424279-0.24359796178603726j)
5,(0.37495001435573666+0j),(0.19728863713762457-0.27420034045164177j),(0.19428765124152717-0.0057778482669925135j),(-0.36431716869328223+0.11353980133036487j)
6,(-0.1948869895392315+0j),(-0.17821985103794388-0.008569642939544209j),(-0.6106736142899338-0.757760438044252j),(0.14980595803696584+0.177943969965695j)
7,(0.0021569862167416243+0j),(0.26285631403511955+0.23622267704030975j),(0.25995262488045656+0.15405868538395617j),(-0.1019023070549464+0.13558690909053692j)
8,(-0.4971523433492392+0j),(0.33292225733246505-0.497198817262675j),(-0.48105016626657365+0.03498408714118531j),(-0.2463681898597775-0.029749998609557682j)
9,(-0.128956183595536+0j),(-0.20801969418387492-0.1975129567489407j),(-0.205966786719067-0.022794010876544313j),(0.063547327977788-0.3312973312974907j)
10,(0.11669962238096843+0j),(-0.2144061144489732-0.07849591175884552j),(0.3812976061668709-0.8940556931008975j),(0.06556500562534884-0.11129840320744612j)
11,(-0.12132620051823542+0j),(-0.36601051677945307+0.3930603082980604j),(-0.18607774052083104-0.09601375785734767j),(-0.44951527039496353+0.285500538681842j)
12,(0.34119041233736963+0j),(0.22503576662548957-0.22413020374116566j),(-0.5744231000313733+0.18734456841605995j),(0.14041643916623292-0.08420058078851511j)
13,(0.036029331044646784+0j),(0.2654385194570381-0.21825538529483796j),(-0.37920033854736+0.6187758981343783j),(-0.15278988432112395+0.01819181017986672j)
14,(-0.1737075874349316+0j),(0.017343609497598347-0.25741983005129926j),(-0.275013255189031+0.053984969037607106j),(-0.3247373172945863+0.18435304057060506j)
15,(-0.15718861745282475+0j),(0.1423753004806047+0.07672436840267731j),(-0.013671734275251167-1.0206856632594028j),(-0.030013714718744564-0.20804506635235206j)
16,(-0.3908761150575529+0j),(-0.4780190516058767+0.3356435611816231j),(0.6494029637284566+0.05337414723426187j),(-0.04850318537052027-0.5630610257012316j)
17,(0.3268124541513638+0j),(0.10088359927636967-0.3960908618642212j),(0.08807948252803033-0.19547523635021943j),(-0.6571717055956848-0.2926424595696677j)
18,(-0.2156168491123674+0j),(-0.0709201700348126-0.018008257299647487j),(-1.0993911735887556+0.3382657834313139j),(0.46145165960982715-0.43751884710148636j)
19,(-0.2536419227873402+0j),(0.19218671321658426+0.07305417376070338j),(-0.36996410650079126+0.5804581478946614j),(-0.0006923671229167577+0.013849666947592876j)
20,(-0.26902625484899656+0j),(-0.07842005733300811-0.21608692810718977j),(0.5600297588333274-0.1459320696645252j),(-0.1828631257638516-0.18824142677320188j)
21,(-0.023892291519851838+0j),(-0.510987283475828+0.44931302917313165j),(0.0018433167802521244-0.333539857473078j),(-0.0891511324716291-0.26784177820184446j)
22,(0.1763461378423028+0j),(0.022618362409083492-0.07933010521698997j),(0.7718200010948263+0.19081195910203486j),(-0.09550414612824595+0.0985960992508505j)
23,(0.10504229100637269+0j),(0.3292901407400636+0.061861323669573004j),(0.31317689774238067-0.2431311965916012j),(-0.09562939612513915+0.41531317246030863j)
24,(-0.5364162883138432+0j),(0.04564859799844302+0.3989832554261429j),(-0.7056932830226105+0.12196931549019785j),(0.22091752890586847-0.2518366491317518j)
25,(0.06429298368422583+0j),(-0.06644193423879563-0.006441356739684517j),(-0.053398359814879726+0.7033014906272138j),(-0.4438545936358805+0.047528527750300364j)
26,(-0.36305236910632277+0j),(0.1565321116036074+0.17532161923497513j),(-0.2130268300570154-0.8571471183402989j),(0.07469607359546726+0.2135952358998131j)
27,(-0.09667005897562048+0j),(-0.11720500515695503-0.2980869805213198j),(0.893122749001671+0.1566092179291833j),(-0.11614950969584109-0.2351903859060858j)
