,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(0.25705585492810645+0j),(-0.011212247303471923+0.27113232790468356j),(-0.10733880909419102-0.1473455249841385j),(0.20161685391079978-0.14204124940124158j),(-0.11041417227200655+0.3065327954083377j),(0.11166867400996353+0.14954523219929566j)
1,(-0.33770183183811986+0j),(-0.13527530880423447-0.07077812805586597j),(0.05721533931368035-0.09548848275710392j),(0.11499122901325454+0.6985479821884162j),(-0.06718445134672003+0.21996373664648317j),(-0.21285007079190052-0.007223288848188849j)
2,(-0.14429026855143212+0j),(-0.15073959919535557+0.12268130829642734j),(-0.17647694165413058-0.14013990579118563j),(0.06067971671975684-0.29881976588340414j),(-0.4607847427316114+0.5857591313135169j),(0.05788666167210976+0.07694545143671078j)
3,(-0.16360553488626123+0j),(0.15839738956744928-0.01921314732379077j),(0.004184647976099437+0.08052025941202384j),(-0.3778877518959848+0.35330790924850475j),(-0.06201597502809238+0.028026539078059694j),(-0.1381879121831263+0.030685031288805925j)
4,(-0.05841925337487408+0j),(0.10643103622789393-0.046721744981821134j),(-0.07492499842579114+0.05440950053070334j),(0.6552933339601358+0.5282814335373363j),(0.013789106316865224+0.09398254104437695j),(-0.2594360927026397-0.05271906197060096j)
5,(0.2780795331288153+0j),(-0.14229842146419908-0.14406030496099295j),(-0.07006277206996489-0.25090672099767275j),(-0.13513402079824174+0.29268864574045106j),(0.17318836614716704-0.1567435911320227j),(0.01198648285164642+0.03116695747840431j)
6,(-0.4342429714357836+0j),(-0.1615885996164782+0.09120095486741174j),(0.18608297848548683+0.609898307191102j),(0.20361826896102408+0.5225855498446204j),(-0.26891412968553596-0.37055017262428697j),(-0.1086593020648372+0.2211011635467949j)
7,(0.24835646794717253+0j),(-0.07011926327648361+0.01116424074476468j),(0.23393021835080857-0.031033182097290613j),(1.2182276795408211+0.039664225313594356j),(-0.3311916793751338+0.08861231979033868j),(-0.12837402089330402+0.022617630440530966j)
8,(0.6131784400946128+0j),(-0.14693567511135253-0.17519613353657126j),(0.23780298923560877-0.4321475117317121j),(0.26093346276471757-0.2515782489710071j),(-0.47131295953498675-0.2402068370110806j),(-0.13428605973974753+0.1612397051552964j)
9,(0.061758758085124814+0j),(-0.12309719071264816+0.09275385571915172j),(-0.513208817841251-0.41150662635908863j),(0.39265595339583864-0.6203232909317241j),(-0.4743213671720119-0.15035365761590297j),(0.027270897024462993-0.0605013281264459j)
10,(0.1314364749610078+0j),(0.029845071103512658+0.04443367428643652j),(0.020488758500892087-0.3477835212013988j),(0.055078841313972046-0.9696816505687975j),(0.010251868599322991-0.06680517295550434j),(-0.0886249166231818+0.2006727553815001j)
11,(0.1589589293084891+0j),(-0.02977232211486989+0.015308911273604342j),(0.0070671990167964355+0.1179232472028743j),(-0.17939227772676872-0.3282503858257308j),(0.5013374408088733+0.7480725578699444j),(0.15330035412458368+0.07026066891138215j)
12,(0.15922613918961345+0j),(0.08602575023780103+0.07883524823567195j),(0.2339578911950174-0.02656475203643929j),(-0.7591145984738761+0.26646496360661737j),(-0.11280352982397825+0.15755076382142694j),(0.057391670268979705+0.014397513387534049j)
13,(0.23639011826992373+0j),(0.15986422755273066+0.17558305059710022j),(0.41249917855618146+0.16136899643487218j),(-0.44294153881462406-0.05910184087446622j),(-0.04207649737975824+0.1535740440595036j),(-0.006225862999191076+0.1930273507461136j)
14,(0.2198859733004862+0j),(0.1377912239863813+0.19606689264165955j),(0.4068813485492379+0.12179533306037293j),(-0.5673493425424125-0.02822513329473164j),(0.23130987587616023-0.1225849258091565j),(0.03874824588470313+0.20425659750347047j)
15,(0.2350573196836806+0j),(-0.05723434969768614-0.13211337554839128j),(-0.1057923508200297-0.07708580690135604j),(0.1324799370839078+0.17004123322088488j),(0.6327205671695038+0.3474081436022474j),(-0.00838155542453943-0.10205445934277577j)
16,(0.16789180066114015+0j),(-0.057099555872884455+0.14979145879227695j),(0.010839956765604668-0.5656883737181623j),(0.008838119528207851-0.5267687240489346j),(-0.05639016502011304+0.29472238855008176j),(0.3768054130873787-0.02365122561196914j)
17,(0.4840291825784299+0j),(0.0094810457662199+0.12942469257614544j),(0.23324366534423163-0.2935849272235292j),(0.7695109313574621+0.6085093236877124j),(-0.15577726750039614+0.0466325870498514j),(-0.18024607029144968+0.12466873531809308j)
18,(-0.3579455578110424+0j),(-0.05629369224443512+0.17429181341510697j),(-0.14257059402939665+0.12013412911382684j),(0.08339520653966766-0.23778310976562117j),(-0.372144161166153-0.1524263927940338j),(-0.08094098049616195-0.030761567951149163j)
19,(0.007733817861894254+0j),(-0.14115663726788497-0.007810445182636745j),(0.28954950070576246+0.2802633419302757j),(0.3530354468890576+0.26773602480392417j),(0.18442013300755805-0.4633199415348163j),(0.16265379993042178+0.1390077866131008j)
20,(-0.19222985732416104+0j),(-0.04867141222986283-0.0690440221928741j),(-0.10903955369603141-0.2434389685023413j),(-0.3132422078714034-0.34925480510956197j),(-0.16272002285653914+0.41779774474093206j),(0.1956596771707873-0.05413711756018486j)
21,(-0.5396262342984225+0j),(0.10092477324555396+0.14527656065746525j),(0.36162923183277007+0.28973519524200314j),(0.3334881850961958+0.46735220206852307j),(-0.03431437040462887-0.22108026674622439j),(-0.12356057524107966-0.177300639331376j)
22,(0.33489723600350063+0j),(0.045780708966091585+0.12518098791010904j),(0.02744813224989544+0.6360541499979331j),(-0.6848711899937682+0.019194914115538364j),(-0.054837555698824224+0.10697709525022447j),(-0.022866449828630654-0.016914012961872806j)
23,(-0.19253816427107057+0j),(-0.09571773937821396-0.18784312380011292j),(0.12042044039585152+0.24567569734643102j),(-0.6797724184865118-0.03646091936867609j),(0.0068664580643990804+0.051068065269148595j),(-0.05214671259813284-0.11629621565308429j)
