,amplitude,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3
0,(0.45347976436521115+0j),(-0.18178587923670558+0.0989688262517139j),(-0.001194764720052685+0.10338001328261998j),(-0.5750286991280746-0.28610670089948254j),(0.3322787167412168+0.5255183584666676j),(0.162622881172589-0.09646048130140464j),(0.03882098928770637-0.1711300622599611j),(0.08174310174692885+0.029138725698951994j)
1,(-0.08579527306937323+0j),(-0.06430123470754957-0.0051343705131199555j),(-0.22073772744146225+0.13299675573789993j),(0.33887075523266696-0.11430181657454919j),(-0.5326948223640199-0.08443083162905952j),(-0.37750799419883785+0.004902118164080191j),(0.046041650000471904-0.07829960792228982j),(0.24034489486344474-0.09052771467488166j)
2,(-0.031406790940876256+0j),(0.037059705017245946+0.029899195607652643j),(0.0011844045991755425-0.11359924561995238j),(0.41036481115915485+0.1043184640974063j),(0.046892739797530836+0.3324689361989269j),(0.1795517669176436-0.381379020451859j),(0.010686790558255457-0.21934138409749554j),(0.16195332284334504-0.1551336790607129j)
3,(-0.25679918771049104+0j),(0.044823495263683066+0.08735887131629691j),(0.22011413580976724-0.1446231798605157j),(0.02146926489997219-0.15942088125289114j),(-0.5963439334935083+0.7285870457800057j),(-0.32552493347149714+0.10067032739792012j),(-0.08551681860800142-0.1793667643834595j),(-0.08187692944897251-0.006639574684264302j)
4,(0.5544365953470803+0j),(-0.02180714938709231+0.012548593036822545j),(-0.3882856130882544-0.0334567582164536j),(-0.04055328625349941-0.37120061570754515j),(0.22251828833659004+0.6813531794669865j),(0.08851814433111195+0.24118415020470962j),(-0.06296454696887123+0.01577852096125j),(0.11536214015792282-0.09478542632562587j)
5,(0.21281496029806185+0j),(-0.01286376947389427-0.014245382881007879j),(0.0070144021266582215-0.009816458833449917j),(0.02942410142410004-0.08926341645285665j),(-0.6556189962658565+0.584089499138637j),(0.04266369636640054-0.6302207689781951j),(0.3644438846473345+0.061780013342708245j),(0.07648099442906367+0.11256549651263814j)
6,(0.1691220110897105+0j),(-0.08579197173119298-0.12375504659154099j),(0.41038273603717784-0.10369423566187111j),(0.2579423654311137+0.23722463753197526j),(0.3247116298583922+0.45126162029844097j),(-0.4968787541164642-0.3505199642846405j),(-0.02428518602104903-0.2574044206899857j),(-0.0002725524555041688-0.09132659441961405j)
7,(0.033819669286998505+0j),(0.074358917236708-0.04363764674747818j),(0.02096967193673091+0.2724394760880536j),(0.0749782869106191-0.19000968826953435j),(0.3332525718643633+0.31299552993186674j),(0.5007763364519999-0.004172236812173394j),(0.058995477450687145-0.09520640010317996j),(-0.14525069847065444+0.017619104463766973j)
8,(-0.3962686745238671+0j),(-0.05882016292523485-0.03885653956067392j),(-0.1621680613884788-0.07187665812129124j),(0.11900781326554785+0.2140693822675781j),(0.20414981403911764-0.9475714077603375j),(0.1913610581831787-0.2697652564353315j),(0.017657925691495588-0.18822740343899141j),(0.0036133906650945673+0.013503633389334468j)
9,(-0.329296257507655+0j),(0.14973441762929643-0.056316426725656704j),(-0.06692263641349729-0.17656306204617778j),(-0.3275853084374594-0.19567219690316479j),(-0.26779282441954655-0.09697667195923629j),(-0.13771867894082798+0.010523737200508556j),(0.26371213653358205+0.130963418339746j),(-0.017907605009663145-0.11867273585262039j)
10,(-0.37086507190879375+0j),(0.002509526668060036-0.025339893446976958j),(-0.12213403138536745-0.06118033148508478j),(0.07381136796948048-0.1780846335033774j),(0.8060495920883696-0.36677265893147226j),(-0.10868768734124135-0.024648498267862737j),(-0.006517291690330787-0.17550906351466136j),(-0.18850903420862847+0.1819495957587765j)
11,(0.33648814341295874+0j),(0.010498700374272044-0.11711493470467509j),(0.083750475771079+0.19544469611596985j),(0.014234874584970691-0.09675291087652316j),(-1.015722529455043-0.5296480290267224j),(-0.1819113470655997-0.11938594040434417j),(0.09535282799359696+0.011179443308146693j),(0.0141308013631537-0.04064947952004376j)
12,(-0.20172852361402743+0j),(0.03571110177206572+0.027003203173452582j),(0.07350244527428058+0.10242922902526751j),(-0.01013344882122048-0.02466458072752087j),(-0.5625292773611944+0.647767024893229j),(-0.3047912551411185-0.19572382538690458j),(-0.2575764917482711+0.13286225064057375j),(0.09684970335381525+0.08507000634194598j)
13,(-0.07685413585204852+0j),(0.01612737388855938-0.04287036417581776j),(-0.14909297474106353+0.23837968492809614j),(-0.3426031087763569+0.27577448404807003j),(0.003928094865792351-0.49717124047596506j),(-0.2103439894899365-5.467068398200964e-05j),(-0.011204550455608031-0.14618436597778345j),(0.126895230280343+0.043381491551443094j)
14,(-0.08234069794592044+0j),(-0.16957687661421866-0.1452180116156438j),(0.05119050636959631+0.1563695675472155j),(0.2205988348743205+0.13363988204692073j),(-0.8900456250463269+0.19799715409637098j),(0.15216611563932742+0.3548754736707104j),(-0.05103513103019747+0.10581545380894093j),(0.11235235556602757+0.06107536344688639j)
15,(0.006236936229240958+0j),(-0.16145567944890465-0.006328528684558535j),(0.04738449246874143-0.15840955529498815j),(0.0720131931517885+0.11278401561969609j),(-0.4097064950052732+0.4198396304893678j),(0.21852831441722634-0.032211502409964204j),(0.23029717629216315-0.07740373729761328j),(-0.09580664624174123-0.1430774279758681j)
16,(-0.36381113373130414+0j),(0.02375071944178679-0.07691454774640857j),(0.1956417330259199-0.09314372268158962j),(-0.25590955876816923+0.15393350144552673j),(-0.4611154796954567+0.3678147236284788j),(-0.09543970313613986+0.2105784721681356j),(-0.2237820601998021-0.2587702570836112j),(-0.12561256517815877-0.02584477368380665j)
17,(-0.3267621533038792+0j),(-0.06536221626698051+0.08777170866300454j),(-0.20637981766109903+0.11722298421809627j),(-0.17877595549105207+0.1314749846388139j),(0.9819288173106431-0.06026053693104974j),(-0.28988304937890075+0.1970014823616482j),(-0.10108835896501293+0.19866736141798727j),(0.0042140356989979035+0.13347417879103857j)
18,(-0.250979868786758+0j),(0.037621135475711616-0.12317660405434731j),(-0.10895827135739009+0.006253481695885304j),(0.06722481929966478-0.09059519417116729j),(0.4212230550822655+0.8200884924810532j),(-0.5133839072929889+0.133612870600198j),(-0.2719153790367452-0.2283890309081361j),(0.17075040341561878+0.015004376662965531j)
19,(-0.1060938841542417+0j),(-0.1456677262819936-0.08335176290707774j),(-0.03610738393378663+0.07807751220836207j),(-0.1383573074200817+0.11075165503987358j),(0.48895834891540657+0.2703454916836541j),(-0.379513493645088-0.26714159240314467j),(-0.2790537659933289-0.09533839656785696j),(0.2839091326758492+0.05682938388795189j)
20,(-0.1484450930797943+0j),(-0.07756263409385619-0.05458900621919757j),(0.04538988949453821-0.021292311890066015j),(-0.3746516149363948-0.06898743238028844j),(-0.07746794770259013+0.3506445947607739j),(0.26038451657031175+0.3996946575650669j),(0.031044260895574594+0.22882360090925397j),(0.004757689094125689-0.10872911396816917j)
21,(-0.08403820185836824+0j),(0.05689443820896435-0.08712514161200356j),(0.07133387098352298+0.03559032046202677j),(-0.3696963043670853+0.030990056289197376j),(0.39900702837468627-0.7035456669352336j),(0.01937618488323911+0.19241410062666553j),(-0.44208284617764315+0.12471340155695415j),(-0.06447212403663974-0.18527437291164112j)
22,(0.1117598539436392+0j),(-0.19622843906857695+0.13021445194321518j),(-0.09819088951513869+0.1408267110347936j),(-0.28517011101438766-0.31851108941728196j),(-0.5629794092557375+0.8787179218179451j),(0.08375523465926621-0.3083981574483419j),(0.04980335747825566-0.01824894988577891j),(-0.023407295906063965-0.07342975038824791j)
23,(0.16414381280537255+0j),(-0.0071928408164950094-0.026462960665917093j),(-0.17511032423101142-0.05551408367406566j),(-0.04235853327658606+0.1594656660763303j),(-0.35042150252895754-0.6554751197919526j),(-0.11215813314949097-0.22995469050994563j),(0.056931139463529276+0.43501400823769654j),(0.3251781527489386-0.0620096453215796j)
