,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
0,(-0.14795025122607208+0j),(0.0492884610153441+0.015146759251711321j),(-0.16338159282088888-0.26699432682768937j),(0.1721585811756328-0.024973843445460584j),(-0.04601197130416493+0.04333460931992852j),(-0.05870578128340792-0.13992752582433005j),(-0.009538338151258683+0.15141937339543077j),(0.01936303938713731+0.16215713981124982j),(0.014948318080587119+0.015739803170386216j),(-0.019939501471282386+0.07053911159791523j)
1,(-0.14653765404471825+0j),(0.01842172026215899+0.09863290530303405j),(-0.11896440751339928-0.11822090025456525j),(0.17515793127619908-0.06599720524029316j),(-0.10129891494474262+0.009757083264097827j),(0.05257176864881932-0.24529567180338943j),(0.28766401320870977+0.051797270616497595j),(-0.008160393847397612+0.14885040695622592j),(0.08909515751488888-0.050525573376312416j),(-0.0697403662186897+0.14098931794339245j)
2,(0.12476306384450667+0j),(-0.0296819507991158+0.08105926298435609j),(-0.02993082858322496-0.0011587695025354824j),(0.2855729748226945-0.05213413399572427j),(-0.2897069228176415-0.1230406397461958j),(-0.10586652859333075-0.1776152019355754j),(0.106301449493001+0.1897071384189428j),(-0.04573687028263927+0.09521471478137422j),(-0.026144666005766974+0.037502158129244276j),(-0.09889323232501813-0.030902088547730182j)
3,(0.12701901391868176+0j),(-0.008055925979604889+0.05413887610827173j),(-0.09336296153375659-0.014731466112623864j),(0.3461769156812246-0.051151281269460364j),(-0.38537235616542-0.10774032571039346j),(-0.31055377439298953-0.0976289603295988j),(0.1534265455053289+0.12510492479403038j),(0.05855186914387906+0.07094168217316682j),(-0.012344953697192964+0.08230678675055882j),(-0.1298906315328092+0.013908780733066945j)
4,(-0.05644631565657654+0j),(-0.04254841466438067+0.005644665478363824j),(-0.07297383199694528+0.08450704418012754j),(0.06741752607201705-0.006910398984931735j),(-0.2709936203857177-0.22326350256767544j),(-0.3580379973270813-0.26611619689179566j),(0.2719859429703972-0.09605362134667676j),(-0.04604288443765582+0.1899259083518371j),(0.06800330323319756+0.06673166195629263j),(-0.021431076490455482-0.0003846299757898847j)
5,(0.2062346671901267+0j),(0.041504326657171374-0.0707129756100482j),(-0.23018794968132697+0.14297574230561555j),(0.07835895918466013-0.0043309516653251j),(-0.32937420400025713-0.12942618906822864j),(-0.4366130791425419-0.3091767915436302j),(0.1363685612705771+0.18228686677660233j),(0.019275063293789835+0.02697949558071322j),(0.05546088000377873-0.20316795626028816j),(0.0523080007617711-0.07392820652252483j)
6,(-0.052160928934324585+0j),(0.09425432951200635+0.06541712759181956j),(-0.11535253826727092+0.21726130112518752j),(0.26955959961149073+0.04189832623215706j),(-0.31314300235126574+0.078325259705561j),(-0.4274074121706913-0.31271455333869624j),(0.005365464017575011+0.33293072949941593j),(-0.09254859121723756-0.0005092146717337737j),(0.055607792017830726-0.03770144780613857j),(-0.015011941696168804-0.022252362829653927j)
7,(0.1960791438101651+0j),(-0.050531489088241+0.09036915598378406j),(-0.11202309253351869+0.10363377220051095j),(0.011019413474446599+0.03663230492229341j),(-0.49523013583148484+0.09388637387541506j),(-0.3598402734258041-0.1346904153991399j),(0.09803868601798034+0.29985396657821767j),(-0.17279311163369832+0.3248582979681819j),(0.1692928916124927+0.03920177943061419j),(-0.007186787645273411-0.018355649887950663j)
8,(-0.19458595383311614+0j),(-0.045637680571874534+0.04328745208534873j),(0.11193607570761004+0.02669448661066996j),(0.13809749199402546-0.13027904508002308j),(-0.7903434149950592+0.0851178637798809j),(-0.17936967535677745-0.2145716589385725j),(-0.04732270244732617+0.29652610966257803j),(-0.17821480665003078+0.20463785905055762j),(0.17168840983988398-0.059288494314245335j),(-0.06762755250103242-0.13061673578665728j)
9,(-0.37854361059872565+0j),(-0.03941436338874888+0.015050873390619156j),(0.08362866650098243+0.0062161845132901765j),(0.1032023216417671-0.1584754069841717j),(-0.7664624981102487+0.10411863248873167j),(-0.07932094133363565-0.15427969661316382j),(0.12681744439186593+0.3628293594386204j),(-0.12705463619650004+0.15492127754320423j),(0.07123386922768592-0.027264260659982005j),(0.008031393243073393-0.09652423558235929j)
