,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(-0.31500155018591686+0j),(0.02287708799302335+0.19072141655880384j),(0.5124881438268796+0.6483540432089882j),(-0.40628248946301676-0.7838414859474824j),(-0.10974713510468131-0.12358364217264245j),(0.08427587176548185-0.09867229152711879j)
1,(0.3977124819822286+0j),(-0.11997918688105674-0.10216829405832549j),(-0.03691472087432937+0.31772811528937467j),(0.905102192988452+0.227210541685102j),(0.0016682670991421018-0.17801991809110712j),(-0.11828733095870458+0.14652528041118193j)
2,(0.22255731095207618+0j),(-0.05716601620684089+0.026431733558970157j),(0.14509533246200135-0.07303403585294503j),(-0.7216420180392308+0.3179391486178106j),(0.15685390046241843+0.2923152951510549j),(-0.015190646125356897+0.03988832116491431j)
3,(-0.36195332529443264+0j),(-0.07848525449982227-0.11121378449749238j),(-0.1538150066394305+0.16580435398165877j),(-0.5948437315823414-0.42775566310090796j),(-0.37259658533397577-0.2293273448816338j),(-0.05479232180281778+0.13434558788609663j)
4,(-0.36610070431832537+0j),(0.02449008557352917-0.027852764227860663j),(-0.22866808787895723+0.25312880783627045j),(-0.5240795565371903-0.857842753841295j),(-0.20203061533826266+0.0926566721107787j),(0.1345663673078491-0.04818653901638719j)
5,(-0.39978211591553536+0j),(0.003771174744129192+0.09019678260223349j),(0.24449019964262914-0.4885226959561333j),(-0.4077121805489178-0.39575426919381396j),(0.09078693331547708+0.06842207977440845j),(0.057166773719538246-0.1269943985597759j)
6,(-0.011625525462795813+0j),(-0.09780091794624528+0.23459619726523262j),(0.2702300017139977-0.4032562626123604j),(0.24532631117609852+0.4118937662259142j),(0.33513032271605003-0.04311736860007906j),(-0.04210599619423372+0.12068435816138447j)
7,(-0.06130805033485903+0j),(-0.09724224750009752+0.0004607374996972724j),(0.22780414924967154+0.36622259576151606j),(-0.012044991746873108+0.06258472843849144j),(0.02049290178542726-0.4386860461963642j),(0.2951282392318438-0.059696329734738485j)
8,(0.14857482326177918+0j),(-0.28527552655944066+0.11359077195094919j),(-0.3952972880476871-0.4256935421164563j),(0.5183849972113524+0.5063724951139279j),(0.1882690011520039+0.16036156514381686j),(-0.117571205441165-0.0798368720663166j)
9,(-0.33476855515463955+0j),(0.13075210048238975+0.03526144060247507j),(-0.20853425439349316+0.65487401351939j),(-0.7627519593510723+0.6539338834334656j),(0.32513343937567735+0.1575907583063938j),(0.045828542985529276+0.024157508523523538j)
10,(0.52169334525798+0j),(0.07164333066491817-0.1290008648576733j),(0.1459685630734231+0.23723824725911588j),(-0.6332495256389042+0.29852147274531293j),(0.06210338239579283+0.035297639754152496j),(0.09240674184376194-0.21475091732075943j)
11,(-0.24911830149348613+0j),(-0.22233353962960734-0.054733521479365346j),(0.22881873353417517-0.35903914120549546j),(-0.3761305907090726-0.2884828765771658j),(0.09639185685681506+0.1925530212751546j),(-0.062900725861399+0.038556162239304206j)
12,(0.39886577556224967+0j),(-0.1411843244571266-0.197311291444988j),(0.32923469478729267+0.07971150983494227j),(-0.5873005208907278+1.078036467116545j),(-0.188163623989344-0.32590693649300284j),(0.0142655157728339-0.1519817846212077j)
13,(0.2302785983020591+0j),(-0.020532332561549627-0.3901919174015533j),(0.4339954204479187-0.4511552566453423j),(-0.44672162109588964+0.2764977327644254j),(0.051943671980686223+0.5487263935872622j),(-0.1839507023874479-0.22142159226223052j)
14,(0.13697284901900644+0j),(-0.07858317793060149+0.23768078787789237j),(0.5404045790929715+0.19839444319011643j),(-0.2994837321350151+0.6833621552612781j),(-0.02892372012956817-0.169585995675688j),(-0.13988878796892207-0.08391116565966186j)
15,(0.7285576005707309+0j),(0.07378636545124267-0.06297561041332518j),(0.3197802248425764-0.022283040146891583j),(0.14425863498872643-0.6959259633514078j),(0.10976265078784739+0.08282028285664293j),(0.060927245460296264+0.09326078179755211j)
16,(0.3240361511282654+0j),(0.08753259507626268-0.12375689628452075j),(-0.025693141056469915+0.4626843833797507j),(-0.10601949382340367+0.03983220954804191j),(-0.03132273629442873+0.2926305743985368j),(0.11156177712810646-0.3519666537773823j)
17,(0.014113701051692074+0j),(-0.0010400120679295195+0.07018602690626247j),(0.1824151581152387-0.5766992748371748j),(-0.42182842559326467+0.5301866740010044j),(-0.03535555533905791+0.3675744246474401j),(-0.16991376531379757-0.02645552693449975j)
18,(0.12367982713140968+0j),(-0.07560203199132441+0.08111120228064377j),(-0.1845198528555424-0.09473408319274201j),(-0.2583393703208635+0.2994304980123522j),(0.40023975778894766+0.11756126259876923j),(-0.02550136695683153-0.06404876185790473j)
19,(-0.1700978856592352+0j),(-0.3476496173568205+0.1742611714630402j),(0.02089844491519958+0.151200635102736j),(-0.7432883190751591-0.015117309231754694j),(-0.052178179037667416+0.0719748808952243j),(-0.04982694748440801-0.14093520497142353j)
20,(-0.06697954885832286+0j),(-0.05698920794876525+0.017052751718947434j),(-0.14623567987434893-0.09133880675849429j),(-0.2567932537602493+0.40292090568280886j),(-0.3224543839979912-0.07976281848028954j),(-0.2221444867117415+0.1614359004439384j)
21,(-0.051024389289167665+0j),(-0.020532317236326654+0.03985386699137656j),(-0.002476285764889688+0.1904234401237321j),(-0.737232570106714-0.04641004283572402j),(-0.07602780150269983+0.13089186063612462j),(0.12226369166295276-0.04603790640789088j)
22,(0.3082023539755078+0j),(0.20074371332964996-0.052533122147412084j),(0.0006942501960009034+0.29557491012412934j),(0.2010017901638447-0.48035719202794547j),(-0.0941194638931999+0.035082147301118374j),(-0.16399553131603795+0.0816167650138519j)
23,(0.275925637253065+0j),(-0.047968043695125584+0.06121400692214119j),(-0.17230324977006034+0.1487716784379382j),(0.21173532917622648-0.7286628761175094j),(-0.043933750193293514-0.2894444636146246j),(-0.12744318583580055+0.20997121738974472j)
24,(-0.341015043490717+0j),(0.11016596481243246+0.13904969360578093j),(-0.0904963194016532+0.009028109772809628j),(-0.20513816288073272+0.5996189554032211j),(0.06285196853511624-0.25957338283964726j),(0.022204519481544893+0.0161828615297753j)
25,(-0.03764479213324229+0j),(0.2847857597682719+0.33174111110861665j),(0.17905293173823544+0.47895627736677804j),(-0.28192199393699147-0.5113745549736235j),(-0.11622868083181415+0.12431569016578303j),(-0.013368807322077857-0.025144088813619344j)
26,(0.08520454612905742+0j),(-0.04946663107504654-0.04847995362353162j),(0.3004366724455933-0.0049373283690167385j),(-0.17113632243975627-0.08136080564487058j),(-0.22670682320583752+0.23943328517385792j),(-0.05970703052193619-0.2936903532037787j)
27,(0.20370144718958705+0j),(-0.2086076332006112-0.015217826155716055j),(-0.2679153574640188+0.3385198523304165j),(0.35550576169115444-0.44894338334409134j),(0.1099877177549558+0.20165324231721152j),(0.011396673179125561+0.22006378597749648j)
28,(0.20341834681509974+0j),(0.06944606172391402+0.21073682895712256j),(-0.23047328945030077-0.084410788990719j),(-0.9514891063239412+0.8491763969004706j),(0.026349186815064818-0.4157183166173994j),(0.01468714095142164+0.07841090437795725j)
29,(-0.3684812357401642+0j),(-0.08803771898432475-0.22298350922717358j),(0.16401510461009405+0.26645445791564637j),(0.23960156324076798+0.7765992172857598j),(-0.1543574893560647-0.36186662193109476j),(-0.09985601587368094-0.08253161965241383j)
30,(0.12585419971957973+0j),(0.11616817793296456-0.35382416862761884j),(-0.3948383171747325+0.14085462066907284j),(0.42144454082694216+0.6717857287497114j),(-0.014714343900990847-0.041218062569254935j),(0.153117041004173+0.015106759018665802j)
31,(-0.022170751096173114+0j),(-0.08728070026778308-0.1720292998265484j),(0.05060233995942259+0.312804906190764j),(-0.2371109239466575-0.475670581618371j),(-0.09967673638101862-0.015600969483178434j),(0.05890043080110764-0.13859257074208953j)
32,(0.011177075647588519+0j),(-0.05459693913496435-0.1678013553396529j),(0.012175384067072782+0.32523781111960753j),(0.7971339373063809-0.22624386305111552j),(0.22306117168446604-0.1568173871870704j),(0.05234963367338377+0.06943963406922914j)
33,(-0.2829164653113081+0j),(-0.18521752494879418-0.1559783083049067j),(-0.04325724128976602+0.0029137711515339615j),(-0.7966183265166092+0.16820009389929502j),(-0.0583862912720553+0.1316477226078347j),(0.11446635235696315+0.2737346082321081j)
34,(-0.20742407649658468+0j),(-0.014600219918628851+0.18623586360395467j),(0.07186730394360354+0.5187135470007236j),(-0.5247738275583795-0.3116485223531619j),(0.13958684472208505-0.231380011189957j),(-0.3403990952630689-0.12934844249964575j)
35,(0.3111430204258412+0j),(0.008595398940722712-0.06691392635079882j),(0.0681737449386524+0.05455083755163089j),(0.29370808695907535+0.5900157793253639j),(0.0334768011419834-0.3947152929716134j),(-0.054983323776824446-0.19018058599796098j)
36,(0.0473592028535976+0j),(0.21494794105394444-0.05728556012402286j),(-0.41225272960397796+0.003643718937531251j),(0.33165514802315277+0.2587990740367849j),(0.5221765743735459+0.22600560383307342j),(0.017423349096229855-0.09913296827792845j)
37,(0.3893674218336647+0j),(0.04795683961973808-0.028765683368728756j),(0.04951998308538357+0.3450737180319037j),(-0.057694624637922354-0.5341456279995527j),(0.32467509291791463+0.05899837076418554j),(0.08307912999105715+0.046655149180674094j)
38,(0.3289202436774724+0j),(-0.1007916682024661-0.2326338979793215j),(0.23956126895812535-0.31321459169020793j),(0.1870880361754429-0.11886773825020694j),(-0.12628023695978563-0.14706618201074056j),(0.19378399822832232+0.03723189409145188j)
39,(-0.3954966161434659+0j),(-0.016271328364324544+0.041382608809383645j),(-0.17216552555125347-0.3439001128094485j),(-0.3163400227587676+0.5474776612742791j),(-0.20958554277810376+0.03734534410807676j),(0.26614091017161823+0.20005875774052068j)
40,(0.4890871652719038+0j),(-0.25995083173181277+0.05826343221005581j),(-0.02027888434418204-0.135636359423891j),(0.42909044606333824-0.20812815201202692j),(-0.1416802418355171-0.0240112429973798j),(-0.10304050461296242-0.33112402796778884j)
41,(0.011141769469443744+0j),(-0.06266677197395007+0.09964636206310948j),(0.3922663699467712+0.10072002585750188j),(-0.13392297747737136-0.6448007662630134j),(0.2226078017463467+0.22436229582775274j),(0.22148162270581395+0.09122178201686805j)
42,(-0.07142943406063956+0j),(-0.04726314585970312-0.1548269086804243j),(-0.3237230014844111+0.4024022615749281j),(-0.4790592320274254-0.8439734309754453j),(-0.20530899293135912-0.18655020006751816j),(0.08072596183592129+0.0028443542197359173j)
43,(-0.2536818053923085+0j),(-0.06928618651386809-0.0671886364294956j),(0.08949481118428118+0.2799037166412979j),(0.5082719538590417-0.20056074906488827j),(0.28121431288313736+0.09892978946674894j),(0.05997539133102103-0.024130753063479407j)
44,(0.006594514120240369+0j),(0.021161153979301614-0.05401108652092384j),(-0.0876192912446409-0.12621475680377198j),(0.4727362942608001+0.8386325014830266j),(-0.20576414945232355-0.08313564889096757j),(-0.028755994117148742-0.16396847032220682j)
45,(-0.1896192347809993+0j),(0.02033757885952389+0.3201506872657495j),(0.08755900144812943+0.1767453180134999j),(0.10894228765152178-0.5418015797849633j),(-0.30872333566587074+0.04029345072070852j),(0.15732483799433994+0.0008535122713059957j)
46,(-0.39721805879246974+0j),(-0.26209389740351624-0.019986924366728474j),(-0.13322799015181197+0.4872598957264369j),(-0.3072114038318857+0.22119862670528762j),(0.03852454138629677-0.01887260807943695j),(0.2724045852659491-0.16947010238761134j)
47,(-0.15320014197571363+0j),(0.21358819036772242+0.13343025616859097j),(0.14225639994777783+0.5516338594963307j),(-0.5355390755936685+0.6552272115648037j),(0.32974116770319406-0.09817387584818721j),(0.15857227884488817-0.1533308486836797j)
48,(0.5250921659368766+0j),(-0.11219129436033395-0.038493042785201104j),(-0.2095759273955541+0.11855319432273334j),(0.49265413941931635+0.04771691262364425j),(-0.1640058520590501-0.13881417862727435j),(-0.12853645010737602-0.2626779482542584j)
49,(-0.1578934329034899+0j),(-0.009387505292671044-0.14633949490091128j),(-0.042596830009634525+0.03205739085101075j),(-0.5992319094494467+0.9173395714707788j),(0.3070690385615876+0.21401101859050833j),(-0.10283713440888262+0.12321063912169392j)
50,(-0.03468464231223872+0j),(-0.011787136822371341+0.024079969225186224j),(0.1557267337458737+0.1442271875578268j),(-0.3663463442913729+0.5128827063022628j),(-0.029364106374555762+0.15053692854904788j),(0.038854218714944364+0.17707101402996298j)
51,(-0.24700062382819274+0j),(-0.21369281839209303+0.23321322765890729j),(0.07327164225652194+0.5431380742221059j),(0.40123636422171893-0.14644771034913634j),(0.31960103971603243+0.23766505305193858j),(-0.05776479964304654-0.07171413958357079j)
52,(0.22169631508130694+0j),(-0.07984422438041983-0.07825814216085186j),(-0.04348636058037689+0.2496489299630729j),(0.01880997485710296-0.9709237026379579j),(0.3771586880536564-0.0393255429046343j),(-0.05974535145495566-0.036397026348620784j)
53,(-0.4638844583609891+0j),(-0.04148232762548115-0.12703487450442422j),(-0.00879963307301223-0.07958775371270113j),(0.07849946913732489+0.6371719843017586j),(-0.18646084411245964+0.3380450006690018j),(0.17439189680345907-0.02927268988692963j)
