,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
0,(0.3742998826844334+0j),(0.029977647797257687+0.09748901886529338j),(-0.08782369457981638+0.04433269738168999j),(-0.008752171913650592-0.10351222346087098j),(-0.17522890764527982+0.08777844812881899j),(0.6282694049613159+0.7388940489284255j),(0.32492741920391166+0.0014868392947049724j),(-0.06525910449871476+0.05305754674829564j),(-0.038681660722859876-0.16742939007682778j),(-0.09837001557336944-0.044303647466349044j)
1,(-0.3808375588750598+0j),(-0.0549568786141554-0.028202490702665235j),(-0.05901653876161565+0.00689935079631579j),(0.02434585522080943-0.10535808980224254j),(0.08777964214704989+0.01721813448143246j),(-0.2767183579210035+0.7777863739686892j),(0.06579226132148297-0.012975989218264058j),(-0.198233510674986+0.07350878616221863j),(0.041022689338373046-0.07794805904369807j),(-0.030356360287513068-0.0998406784429913j)
2,(-0.40979636641126177+0j),(0.08757656775713886-0.04474141111597392j),(-0.2309680697512632+0.07602499973479003j),(-0.1429869005252274+0.14258480293819836j),(0.261430586654173-0.09342292442335422j),(0.05592735422069536-0.894341831903034j),(0.01727120809567162+0.16652666683920933j),(0.11902440294402512+0.114722177376083j),(0.19864789823083892+0.08289772984589526j),(0.09675526792423854-0.11267462206167764j)
3,(0.04195862154195493+0j),(0.09064822190008515-0.15850918238891004j),(0.13450881743317528+0.009507933918648803j),(0.19403797973954207-0.12664298656315706j),(0.41348117418261976-0.29784932383958296j),(-0.933995314229366+0.6032427105881601j),(0.20172292397864822+0.23073127654236733j),(0.014367324566880913-0.06938386110146395j),(-0.09147544176386826-0.027530196839820085j),(-0.007069811721495175+0.18207477619095425j)
4,(-0.22533309292117876+0j),(0.061104873900729946-0.009765177744161975j),(-0.17100058041880165-0.08066022179349897j),(-0.060673306748325856+0.18174108848029466j),(0.11632103023772286-0.010571053603754276j),(0.28824740011374583+0.3115518538098907j),(0.2547103324002134-0.4011804162415937j),(0.0008340049404259864+0.1464623679863856j),(0.03852061868079089-0.16835430056300071j),(0.003957884448813825-0.022715366983581738j)
5,(-0.050153905587955794+0j),(-0.029896032187303606+0.08967614633886146j),(-0.03661418260994122+0.17085492498631782j),(0.21546647377006878-0.1413232844143588j),(-0.08535430130502952-0.024742123582205074j),(-0.3674798743241987-0.554370861986687j),(-0.26846676141680775-0.4477226224159525j),(-0.11112616336450415-0.1451833279788855j),(0.08161995426498593-0.03001437610562255j),(-0.07947931331194488+0.09748880125766592j)
6,(-0.24022785458166582+0j),(-0.05024117122353774-0.09225757408239922j),(0.11222207126663553-0.02621351984828206j),(0.0022784148458834773+0.03444737055409366j),(-0.18694348070908226+0.14549318698254932j),(-0.483103772998154-0.5175974873811569j),(0.23680476889022684-0.2165663133419342j),(-0.30113512138481957-0.06151718884759097j),(-0.06918148141547106+0.003531660776014689j),(0.04349388199526878-0.014134271070762417j)
7,(0.24515727041451718+0j),(-0.1027157857687376-0.010707350058036962j),(0.02178034089448791-0.055617706283183965j),(0.07686282576437094+0.14140487940737378j),(-0.29933057408323155-0.2331537292822368j),(0.3268080950539787+0.04324422792882083j),(0.1269324495076113+0.0007488449000655623j),(0.2809658963958393+0.013636214806413855j),(-0.09385233815531699+0.03332180903478826j),(-0.03447162978248959+0.04037773405177377j)
8,(-0.45199292250533635+0j),(0.10152445706174928+0.039431503883659944j),(-0.10344552242248209-0.11286457560273465j),(-0.011300397900898464-0.013911078660197636j),(-0.09486085635791514+0.02811330899761691j),(0.28023737967453105+0.08948223150586404j),(-0.14408961245045038+0.3997427428301594j),(0.0756994594586225-0.12042752212716312j),(-0.045453372376210215-0.029184896615753853j),(0.03449362393707994+0.05038874949619879j)
9,(-0.17691224533131583+0j),(0.11935205075664379-0.0683322563166453j),(-0.0733871190984318-0.04521981715803632j),(-0.22336140099221+0.11062786525489526j),(0.3217004289449713+0.11545649107673417j),(0.23934690085333493+0.7211458387123888j),(0.2811765987719673-0.0336234435465001j),(-0.14230594465333288+0.14491932048527276j),(0.05190535476407255-0.07728581242602658j),(-0.017192062023672627-0.017672178034532943j)
10,(-0.2778199063939166+0j),(-0.05818402931282754+0.06588621925466144j),(-0.034823036692356105+0.13609894145558235j),(0.01967324351382712-0.060953205068248736j),(-0.16331917296248571-0.13216404203997134j),(-0.399282274709838-0.20786713345117086j),(0.6767351165239966+0.3670521455439604j),(0.2667099378821137-0.09350067956765891j),(-0.026810423344478723-0.11028331547060688j),(-0.003962459056659581+0.06301020890942986j)
11,(0.11591593823010693+0j),(0.050097799817220776+0.06328002660485217j),(-0.03978691743945872+0.11988199044651818j),(0.04110019990557494-0.11217327148554473j),(-0.13436214695144458+0.005415043166364885j),(-0.4819987930626631-0.7676779159113694j),(-0.29678002560372285+0.0679720578242147j),(0.3305036139299003+0.02076214867501685j),(0.17290490954889143-0.008834000635701993j),(0.11452304538659405+0.1167623934526695j)
12,(-0.5199601806010323+0j),(-0.003295632475443981-0.12762726008104544j),(-0.0978985645486756+0.02282554223365349j),(-0.0314831025808616+0.11593286029870788j),(0.365666614957187+0.2864282477124399j),(-0.6659799284713184-0.06641284944610143j),(0.10279105291369958-0.5251650442910328j),(-0.23268517019897084-0.17842599349117388j),(-0.14746987498016215+0.05959150668556165j),(0.04188009020298809+0.09286938236551703j)
13,(-0.056295626199466126+0j),(0.031530598505351295-0.014908079070837583j),(-0.1111074171539487-0.1947980266815443j),(0.10573266775943693-0.1516098827069911j),(0.25374885642287337-0.24252834145499738j),(-0.07517730611187592+0.41326001557378883j),(0.4073335145222815-0.16721359651130044j),(-0.003178754694683872-0.05834598005403696j),(0.052262007930595454-0.014159982343893047j),(0.0494024014930001-0.026464605556008887j)
14,(0.226582997628717+0j),(-0.03057358882427481-0.01518704063683863j),(-0.10426962835318579+0.04588674769396926j),(-0.2636511039551836-0.012569930559294767j),(0.47675854161776027+0.12449196269926593j),(-0.8797023603279183-0.28265660745971677j),(-0.19544074476660195-0.34357298691427757j),(-0.09317721888181717+0.026998858520317318j),(-0.1411298643267071+0.031982055905704396j),(-0.019343940650737752-0.016603900740874207j)
15,(-0.19419518498037763+0j),(-0.06008340179895656+0.0008124284134070365j),(-0.03634160073366957+0.05521328807108393j),(-0.24060092134984523+0.24309961183351794j),(0.2975619407283746+0.328811639790241j),(0.7516849762275473-0.7078377600684781j),(0.05418672486181188-0.0516737494879714j),(0.14320260068255244-0.04770401723053028j),(0.1483247397503338-0.172460203411328j),(-0.09721051866389296-0.06007500393720261j)
16,(0.2380258748204147+0j),(-0.026773044173932246-0.0009924796869536607j),(-0.04964746851696493+0.0023849742786655886j),(0.16531174480817784+0.0914984641168675j),(-0.23064300284615982+0.3308080210131505j),(0.2530760955767805+0.4203571836058104j),(-0.3869296077711254+0.1867867854387515j),(-0.1338521124429441+0.03572678284669813j),(0.006694226427221832-0.022682795694339935j),(0.08530468068627992+0.042619868690862185j)
17,(-0.5295180588306162+0j),(0.13959555614901523-0.04138708172590077j),(0.05199339077387154+0.06807865124778897j),(0.10920207606216742-0.03189061026183051j),(-0.1985432685785255+0.18829893335047795j),(-0.07573675032041127+0.04080326365482114j),(0.23167107472088763+0.07075027730516785j),(-0.032758966956550256-0.24666015543696657j),(-0.25767158138184726+0.032476919574214065j),(-0.05577271633741604+0.06383204668488604j)
18,(0.11966678029672548+0j),(-0.007307092691463414+0.011534732462191482j),(0.0010091683066249975-0.12664911680383076j),(-0.10845370520245139+0.18108608906065643j),(0.051164577884729126+0.1051219937486863j),(0.7650956645884832-0.348399430316016j),(-0.08980312269324461+0.16163792328593754j),(0.2456714403426422-0.34519007262713086j),(-0.13218462895082037-0.08226314101966287j),(-0.02168139468442778+0.06291750925140761j)
19,(-0.6528264308748692+0j),(0.13417026701307808-0.20933150217161978j),(-0.2553502128747671-0.13078669142783245j),(-0.19821621614090995+0.007962378610018361j),(0.34883982887838216+0.4662687435999921j),(0.35243239867769627-0.46408986713042216j),(-0.3025348959531639+0.26509234376072577j),(0.014102011357798759+0.06399965372757627j),(0.22507381619909145-0.024941114281658943j),(0.020693368511629395+0.08687559341201802j)
20,(-0.20758647415675638+0j),(-0.13593643608643377-0.2602689407790529j),(-0.19029989728133617+0.15722542342367465j),(0.2382042402805415+0.19973853966207095j),(0.10273320932267524-0.3309007322905272j),(0.7854745592214343+0.1631963751993798j),(-0.13197834942232162-0.25607004398351807j),(-0.05201505742053925+0.08352847365799793j),(-0.12636878309360952+0.07242377546666787j),(-0.046834604050709897-0.05036259421136101j)
21,(0.5611159300279535+0j),(0.0861082336760032+0.09150963519097921j),(-0.04302637379733004+0.13334611137830832j),(0.05191294332119244-0.3327666499411669j),(0.5477180817404725-0.18542898930745824j),(-0.1214523449417512-0.4520488472451382j),(0.19766355829891852-0.42469237814740457j),(0.14772942732936364-0.10376680741432211j),(0.0784301725800378+0.1316532566267775j),(-0.02491135113065117-0.04768116062266736j)
