,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(-0.002467193988755452+0j),(-0.09103409901821011-0.11106536262968188j),(0.4215894989068305+0.2985725308019742j),(0.11556172722925032+0.5972576143555414j),(-0.09731792533728648-0.20369514462467392j),(0.08298687597880551-0.14362723812768435j)
1,(0.2476170260631799+0j),(-0.032171960436619434+0.11466559924880286j),(0.37633953624369576+0.17676481160985524j),(0.28635525469612094+0.4348301921689106j),(0.17627241743997943-0.007923957689725009j),(0.10999531423216011-0.016403370677852483j)
2,(-0.1705252088142643+0j),(-0.04311235106562557-0.10591779716400147j),(0.2852049810834279-0.2983621304596501j),(-0.07904392091493018+0.5071586783809371j),(0.4134665638716254+0.01948236888120515j),(-0.014315504318424398+0.0899422015773192j)
3,(0.06570252183941082+0j),(0.203817802325372+0.08611113462533129j),(0.48927844261972486+0.16191673687072278j),(-0.5224339742551721+0.5575819177051394j),(0.15495830011057843+0.12070984892236952j),(-0.10097305205010099+0.1305274776027751j)
4,(0.13797694740965755+0j),(0.23614023416199834+0.1340604887785279j),(0.20683706361053922+0.26543458955539956j),(-0.31856281706491196+0.5324109272486036j),(0.16524213179591207-0.18988411802172458j),(-0.12856742719881878+0.1955597654902314j)
5,(-0.21692691969202282+0j),(0.16869094049998662+0.1777296562191172j),(0.1537317428268441+0.09189572949398775j),(-0.3692212644031434+0.6198286123365125j),(0.07923434123141042-0.2413168685037413j),(-0.0535297822002247+0.057523212444931734j)
6,(-0.5510658162935617+0j),(0.19569199689162256+0.0356465159937852j),(0.30297906314199485-0.01715936006589113j),(-0.0886179663816361+0.662310112332381j),(-0.34059469852780055-0.4973830051114873j),(-0.2307283808977948+0.08651832878489059j)
7,(0.2114507388073738+0j),(0.19568826349418483+0.03166197358203318j),(-0.12079413849222546+0.20090276090877973j),(0.3860363428873031+0.38446234111767885j),(-0.39455625145821627-0.3388480887878535j),(-0.20710086590255852+0.3726877013504717j)
8,(-0.4626415701923637+0j),(0.1904555137144186+0.20628833899107546j),(0.031410769409746214-0.014811468168694001j),(-0.15583012466234247-0.06652720238966031j),(-0.2562649835789449-0.40969187097715865j),(-0.32662715352946364-0.03189546950562551j)
9,(-0.14572914016396044+0j),(-0.030877272944004247-0.0746721564386287j),(-0.14054195684431714-0.1670864224305961j),(-0.005790524121103452-0.03645541984815004j),(0.17262079054988777-0.6680365713232521j),(-0.014857494195297999+0.2935187006870469j)
